policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,34,737.660000,1,0.002
sarsa,0,1,,17,578.730000,1,0.001
sarsa,0,2,,40,542.700000,0,0.001
sarsa,0,3,,35,743.950000,1,0.001
sarsa,0,4,,40,734.600000,0,0.001
sarsa,0,5,,38,599.820000,1,0.001
sarsa,0,6,,26,762.440000,1,0.001
sarsa,0,7,,40,990.500000,0,0.001
sarsa,0,8,,40,656.800000,0,0.001
sarsa,0,9,,36,760.040000,1,0.001
sarsa,0,10,,40,610.100000,0,0.001
sarsa,0,11,,40,440.400000,0,0.001
sarsa,0,12,,36,612.440000,1,0.001
sarsa,0,13,,40,939.000000,0,0.001
sarsa,0,14,,32,759.280000,1,0.001
sarsa,0,15,,38,839.220000,1,0.001
sarsa,0,16,,16,691.740000,1,0.000
sarsa,0,17,,40,934.700000,0,0.001
sarsa,0,18,,40,831.200000,0,0.001
sarsa,0,19,,37,1010.330000,1,0.001
sarsa,0,20,,40,650.700000,0,0.001
sarsa,0,21,,37,628.030000,1,0.001
sarsa,0,22,,40,637.300000,0,0.001
sarsa,0,23,,25,581.950000,1,0.001
sarsa,0,24,,40,822.900000,0,0.001
sarsa,0,25,,16,577.940000,1,0.000
sarsa,0,26,,40,550.700000,0,0.001
sarsa,0,27,,40,732.500000,0,0.001
sarsa,0,28,,40,756.100000,0,0.001
sarsa,0,29,,40,694.600000,0,0.001
sarsa,0,30,,13,706.070000,1,0.000
sarsa,0,31,,21,875.190000,1,0.001
sarsa,0,32,,40,767.800000,0,0.001
sarsa,0,33,,34,783.860000,1,0.001
sarsa,0,34,,26,766.840000,1,0.001
sarsa,0,35,,40,675.200000,0,0.001
sarsa,0,36,,40,760.600000,0,0.001
sarsa,0,37,,40,711.700000,0,0.001
sarsa,0,38,,40,554.600000,0,0.001
sarsa,0,39,,28,727.220000,1,0.001
sarsa,0,40,,21,641.390000,1,0.001
sarsa,0,41,,40,735.700000,0,0.001
sarsa,0,42,,40,548.600000,0,0.001
sarsa,0,43,,40,705.900000,0,0.001
sarsa,0,44,,18,526.220000,1,0.001
sarsa,0,45,,40,316.900000,0,0.001
sarsa,0,46,,40,887.500000,0,0.001
sarsa,0,47,,40,554.200000,0,0.001
sarsa,0,48,,40,866.000000,0,0.001
sarsa,0,49,,38,1112.320000,1,0.001
sarsa,0,50,,33,661.570000,1,0.001
sarsa,0,51,,40,541.700000,0,0.001
sarsa,0,52,,40,946.800000,0,0.001
sarsa,0,53,,32,698.280000,1,0.001
sarsa,0,54,,40,954.800000,1,0.001
sarsa,0,55,,33,931.570000,1,0.001
sarsa,0,56,,26,784.040000,1,0.001
sarsa,0,57,,40,1049.500000,0,0.001
sarsa,0,58,,40,638.300000,0,0.001
sarsa,0,59,,21,522.590000,1,0.001
sarsa,0,60,,40,864.600000,0,0.001
sarsa,0,61,,34,1204.360000,1,0.001
sarsa,0,62,,40,594.300000,0,0.001
sarsa,0,63,,25,865.050000,1,0.001
sarsa,0,64,,31,939.490000,1,0.001
sarsa,0,65,,30,1053.900000,1,0.001
sarsa,0,66,,40,903.100000,0,0.001
sarsa,0,67,,27,808.530000,1,0.001
sarsa,0,68,,40,685.600000,0,0.001
sarsa,0,69,,40,1102.000000,0,0.001
sarsa,0,70,,37,1128.030000,1,0.001
sarsa,0,71,,20,595.600000,1,0.000
sarsa,0,72,,38,1197.620000,1,0.001
sarsa,0,73,,35,888.350000,1,0.001
sarsa,0,74,,31,670.390000,1,0.001
sarsa,0,75,,40,749.600000,0,0.001
sarsa,0,76,,40,480.800000,0,0.001
sarsa,0,77,,40,888.900000,0,0.001
sarsa,0,78,,40,692.300000,0,0.001
sarsa,0,79,,31,787.890000,1,0.001
sarsa,0,80,,25,711.750000,1,0.001
sarsa,0,81,,30,810.300000,1,0.001
sarsa,0,82,,31,706.790000,1,0.001
sarsa,0,83,,34,614.960000,1,0.001
sarsa,0,84,,40,882.900000,0,0.001
sarsa,0,85,,25,990.850000,1,0.001
sarsa,0,86,,30,615.000000,1,0.001
sarsa,0,87,,40,565.400000,0,0.001
sarsa,0,88,,40,423.600000,0,0.001
sarsa,0,89,,40,864.300000,0,0.001
sarsa,0,90,,40,936.600000,1,0.001
sarsa,0,91,,16,467.740000,1,0.000
sarsa,0,92,,33,727.170000,1,0.001
sarsa,0,93,,33,727.970000,1,0.001
sarsa,0,94,,40,940.800000,0,0.001
sarsa,0,95,,22,763.280000,1,0.001
sarsa,0,96,,19,577.210000,1,0.000
sarsa,0,97,,40,642.100000,0,0.001
sarsa,0,98,,40,1254.000000,0,0.001
sarsa,0,99,,25,920.850000,1,0.001
sarsa,0,100,,24,696.560000,1,0.001
sarsa,0,101,,27,1047.830000,1,0.001
sarsa,0,102,,40,546.800000,0,0.001
sarsa,0,103,,32,1271.780000,1,0.001
sarsa,0,104,,32,826.780000,1,0.001
sarsa,0,105,,40,1234.500000,1,0.001
sarsa,0,106,,25,1135.050000,1,0.001
sarsa,0,107,,36,768.640000,1,0.001
sarsa,0,108,,22,748.380000,1,0.001
sarsa,0,109,,40,732.500000,0,0.001
sarsa,0,110,,19,465.410000,1,0.001
sarsa,0,111,,34,1068.260000,1,0.001
sarsa,0,112,,29,922.110000,1,0.001
sarsa,0,113,,40,693.900000,0,0.001
sarsa,0,114,,31,937.890000,1,0.001
sarsa,0,115,,40,694.000000,0,0.001
sarsa,0,116,,27,1203.330000,1,0.001
sarsa,0,117,,40,936.700000,0,0.001
sarsa,0,118,,18,634.620000,1,0.000
sarsa,0,119,,29,711.110000,1,0.001
sarsa,0,120,,40,919.500000,0,0.001
sarsa,0,121,,40,647.900000,0,0.001
sarsa,0,122,,28,695.820000,1,0.001
sarsa,0,123,,35,744.950000,1,0.001
sarsa,0,124,,40,1014.900000,0,0.001
sarsa,0,125,,34,652.860000,1,0.001
sarsa,0,126,,32,716.380000,1,0.001
sarsa,0,127,,18,691.720000,1,0.000
sarsa,0,128,,35,867.750000,1,0.001
sarsa,0,129,,40,973.200000,0,0.001
sarsa,0,130,,40,768.200000,0,0.001
sarsa,0,131,,20,802.100000,1,0.000
sarsa,0,132,,27,713.430000,1,0.001
sarsa,0,133,,40,1046.100000,0,0.001
sarsa,0,134,,40,578.900000,0,0.001
sarsa,0,135,,32,598.480000,1,0.001
sarsa,0,136,,35,814.750000,1,0.001
sarsa,0,137,,40,903.900000,0,0.001
sarsa,0,138,,34,937.760000,1,0.001
sarsa,0,139,,40,955.700000,0,0.001
