policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,37,823.930000,1,0.001
sarsa,0,1,,24,654.960000,1,0.001
sarsa,0,2,,40,644.400000,0,0.001
sarsa,0,3,,34,970.960000,1,0.001
sarsa,0,4,,27,655.930000,1,0.001
sarsa,0,5,,40,697.600000,0,0.001
sarsa,0,6,,34,773.260000,1,0.001
sarsa,0,7,,40,601.200000,0,0.001
sarsa,0,8,,40,595.200000,0,0.001
sarsa,0,9,,24,585.060000,1,0.001
sarsa,0,10,,22,470.680000,1,0.001
sarsa,0,11,,28,711.820000,1,0.001
sarsa,0,12,,40,770.700000,0,0.001
sarsa,0,13,,40,559.900000,0,0.001
sarsa,0,14,,34,757.360000,1,0.001
sarsa,0,15,,26,498.440000,1,0.001
sarsa,0,16,,17,526.730000,1,0.000
sarsa,0,17,,40,807.300000,0,0.001
sarsa,0,18,,15,524.750000,1,0.000
sarsa,0,19,,23,725.270000,1,0.001
sarsa,0,20,,40,575.400000,0,0.001
sarsa,0,21,,15,354.750000,1,0.000
sarsa,0,22,,33,670.870000,1,0.001
sarsa,0,23,,30,782.200000,1,0.001
sarsa,0,24,,40,726.700000,0,0.001
sarsa,0,25,,40,425.800000,0,0.001
sarsa,0,26,,36,638.440000,1,0.001
sarsa,0,27,,21,639.590000,1,0.001
sarsa,0,28,,40,752.800000,0,0.002
sarsa,0,29,,29,641.510000,1,0.001
sarsa,0,30,,27,671.730000,1,0.001
sarsa,0,31,,40,667.600000,0,0.001
sarsa,0,32,,33,669.070000,1,0.001
sarsa,0,33,,19,638.710000,1,0.001
sarsa,0,34,,29,769.310000,1,0.001
sarsa,0,35,,38,658.420000,1,0.001
sarsa,0,36,,25,807.850000,1,0.001
sarsa,0,37,,40,533.400000,0,0.001
sarsa,0,38,,30,809.000000,1,0.001
sarsa,0,39,,40,669.900000,0,0.001
sarsa,0,40,,21,597.790000,1,0.001
sarsa,0,41,,39,887.410000,1,0.001
sarsa,0,42,,32,994.080000,1,0.001
sarsa,0,43,,19,697.110000,1,0.000
sarsa,0,44,,30,894.300000,1,0.001
sarsa,0,45,,40,642.100000,0,0.001
sarsa,0,46,,40,471.300000,0,0.001
sarsa,0,47,,21,710.190000,1,0.001
sarsa,0,48,,31,868.190000,1,0.001
sarsa,0,49,,40,483.800000,0,0.001
sarsa,0,50,,25,695.350000,1,0.001
sarsa,0,51,,40,946.500000,0,0.001
sarsa,0,52,,40,578.800000,0,0.002
sarsa,0,53,,16,692.940000,1,0.000
sarsa,0,54,,29,745.010000,1,0.001
sarsa,0,55,,40,897.600000,0,0.001
sarsa,0,56,,31,698.090000,1,0.001
sarsa,0,57,,40,733.800000,0,0.001
sarsa,0,58,,23,695.670000,1,0.001
sarsa,0,59,,40,719.200000,0,0.001
sarsa,0,60,,19,581.210000,1,0.001
sarsa,0,61,,37,890.230000,1,0.001
sarsa,0,62,,16,538.940000,1,0.000
sarsa,0,63,,40,616.700000,0,0.001
sarsa,0,64,,40,826.300000,0,0.001
sarsa,0,65,,34,639.060000,1,0.001
