episode,return,steps,epsilon,avg_mastery,frac_mastery3,mastered_hard,mastered_soft
85,421.9999999999992,100,0.15492391103204772,1.0,0.3333333333333333,0,0
86,492.9999999999993,100,0.15445913929895158,1.3333333333333333,0.3333333333333333,0,0
87,553.9999999999991,100,0.15399576188105474,1.3333333333333333,0.3333333333333333,0,0
88,636.9999999999992,100,0.15353377459541157,0.6666666666666666,0.0,0,0
89,502.9999999999994,100,0.15307317327162534,1.3333333333333333,0.3333333333333333,0,0
90,544.9999999999994,100,0.15261395375181047,2.0,0.6666666666666666,0,0
91,426.9999999999992,100,0.15215611189055503,1.6666666666666667,0.3333333333333333,0,0
92,463.99999999999915,100,0.15169964355488336,1.0,0.3333333333333333,0,0
93,531.9999999999994,100,0.1512445446242187,1.0,0.3333333333333333,0,0
94,429.9999999999993,100,0.15079081099034605,1.3333333333333333,0.3333333333333333,0,0
95,685.999999999999,100,0.15033843855737503,1.0,0.3333333333333333,0,0
96,492.99999999999926,100,0.1498874232417029,1.6666666666666667,0.3333333333333333,0,0
97,611.9999999999992,100,0.14943776097197778,1.0,0.3333333333333333,0,0
98,568.9999999999991,100,0.14898944768906183,1.6666666666666667,0.3333333333333333,0,0
99,465.9999999999995,100,0.14854247934599465,1.6666666666666667,0.3333333333333333,0,0
100,466.99999999999926,100,0.14809685190795668,2.0,0.6666666666666666,0,0
101,437.9999999999995,100,0.14765256135223281,1.0,0.3333333333333333,0,0
102,497.999999999999,100,0.14720960366817612,1.0,0.3333333333333333,0,0
103,365.99999999999955,100,0.14676797485717158,1.0,0.3333333333333333,0,0
104,354.99999999999994,100,0.14632767093260007,1.3333333333333333,0.3333333333333333,0,0
105,422.99999999999926,100,0.14588868791980228,1.6666666666666667,0.3333333333333333,0,0
106,480.99999999999915,100,0.14545102185604286,1.6666666666666667,0.3333333333333333,0,0
107,436.99999999999943,100,0.14501466879047473,1.0,0.3333333333333333,0,0
108,538.999999999999,100,0.1445796247841033,1.3333333333333333,0.3333333333333333,0,0
109,473.999999999999,100,0.144145885909751,1.0,0.3333333333333333,0,0
110,425.99999999999926,100,0.14371344825202176,1.6666666666666667,0.3333333333333333,0,0
111,434.9999999999993,100,0.1432823079072657,1.0,0.3333333333333333,0,0
112,359.9999999999997,100,0.1428524609835439,1.6666666666666667,0.3333333333333333,0,0
113,501.99999999999903,100,0.14242390360059326,1.3333333333333333,0.3333333333333333,0,0
114,445.99999999999926,100,0.14199663188979147,1.6666666666666667,0.3333333333333333,0,0
115,517.9999999999989,100,0.1415706419941221,1.6666666666666667,0.3333333333333333,0,0
116,274.0000000000002,100,0.14114593006813972,1.6666666666666667,0.3333333333333333,0,0
117,295.0000000000003,100,0.1407224922779353,1.6666666666666667,0.3333333333333333,0,0
118,420.99999999999966,100,0.1403003248011015,1.0,0.3333333333333333,0,0
119,516.9999999999993,100,0.13987942382669818,1.6666666666666667,0.3333333333333333,0,0
120,666.999999999999,100,0.1394597855552181,1.0,0.3333333333333333,0,0
121,441.9999999999993,100,0.13904140619855243,2.0,0.6666666666666666,0,0
122,587.9999999999993,100,0.13862428197995677,1.6666666666666667,0.3333333333333333,0,0
123,529.9999999999992,100,0.1382084091340169,1.0,0.3333333333333333,0,0
124,429.9999999999996,100,0.13779378390661487,1.6666666666666667,0.3333333333333333,0,0
125,484.99999999999886,100,0.13738040255489503,1.6666666666666667,0.3333333333333333,0,0
126,407.9999999999992,100,0.13696826134723034,2.0,0.6666666666666666,0,0
127,448.9999999999995,100,0.13655735656318865,1.3333333333333333,0.3333333333333333,0,0
128,439.99999999999943,100,0.1361476844934991,1.6666666666666667,0.3333333333333333,0,0
129,433.99999999999955,100,0.1357392414400186,2.0,0.6666666666666666,0,0
130,423.9999999999992,100,0.13533202371569852,2.0,0.6666666666666666,0,0
131,604.999999999999,100,0.13492602764455142,1.3333333333333333,0.3333333333333333,0,0
132,480.9999999999992,100,0.13452124956161776,1.0,0.3333333333333333,0,0
133,555.9999999999993,100,0.1341176858129329,1.0,0.3333333333333333,0,0
134,376.9999999999995,100,0.1337153327554941,2.0,0.6666666666666666,0,0
135,562.999999999999,100,0.13331418675722762,1.3333333333333333,0.3333333333333333,0,0
136,561.999999999999,100,0.13291424419695594,1.6666666666666667,0.3333333333333333,0,0
137,647.9999999999991,100,0.13251550146436508,1.0,0.3333333333333333,0,0
138,581.9999999999993,100,0.13211795495997197,1.6666666666666667,0.3333333333333333,0,0
139,543.9999999999991,100,0.13172160109509207,1.6666666666666667,0.3333333333333333,0,0
140,327.99999999999966,100,0.1313264362918068,1.0,0.3333333333333333,0,0
141,645.999999999999,100,0.13093245698293138,1.0,0.3333333333333333,0,0
142,524.9999999999989,100,0.13053965961198258,2.3333333333333335,0.6666666666666666,0,0
143,551.9999999999991,100,0.13014804063314664,1.3333333333333333,0.3333333333333333,0,0
144,541.9999999999989,100,0.1297575965112472,1.0,0.3333333333333333,0,0
145,541.9999999999993,100,0.12936832372171345,1.0,0.3333333333333333,0,0
146,595.999999999999,100,0.1289802187505483,1.0,0.3333333333333333,0,0
147,571.9999999999992,100,0.12859327809429666,1.0,0.3333333333333333,0,0
148,570.9999999999991,100,0.12820749826001376,1.0,0.3333333333333333,0,0
149,543.999999999999,100,0.1278228757652337,1.6666666666666667,0.3333333333333333,0,0
150,532.9999999999992,100,0.127439407137938,1.3333333333333333,0.3333333333333333,0,0
151,496.99999999999943,100,0.12705708891652417,2.0,0.6666666666666666,0,0
152,573.9999999999991,100,0.1266759176497746,1.6666666666666667,0.3333333333333333,0,0
153,523.9999999999992,100,0.12629588989682528,1.3333333333333333,0.3333333333333333,0,0
154,403.99999999999943,100,0.1259170022271348,1.0,0.3333333333333333,0,0
155,443.9999999999994,100,0.1255392512204534,1.6666666666666667,0.3333333333333333,0,0
156,526.9999999999994,100,0.12516263346679204,1.0,0.3333333333333333,0,0
157,581.9999999999993,100,0.12478714556639167,2.0,0.6666666666666666,0,0
158,450.9999999999995,100,0.12441278412969249,2.0,0.6666666666666666,0,0
159,459.9999999999993,100,0.12403954577730342,1.6666666666666667,0.3333333333333333,0,0
160,481.9999999999993,100,0.1236674271399715,1.3333333333333333,0.3333333333333333,0,0
161,581.9999999999992,100,0.12329642485855159,1.0,0.3333333333333333,0,0
162,660.9999999999989,100,0.12292653558397594,1.3333333333333333,0.3333333333333333,0,0
163,485.99999999999943,100,0.12255775597722401,1.6666666666666667,0.3333333333333333,0,0
164,382.99999999999955,100,0.12219008270929234,1.0,0.3333333333333333,0,0
165,474.99999999999955,100,0.12182351246116446,1.0,0.3333333333333333,0,0
166,547.9999999999993,100,0.12145804192378097,2.0,0.6666666666666666,0,0
167,583.9999999999992,100,0.12109366779800963,1.0,0.3333333333333333,0,0
168,442.9999999999995,100,0.1207303867946156,1.6666666666666667,0.3333333333333333,0,0
169,477.9999999999993,100,0.12036819563423176,1.0,0.3333333333333333,0,0
170,303.9999999999999,100,0.12000709104732907,1.0,0.3333333333333333,0,0
171,443.9999999999994,100,0.11964706977418708,2.0,0.6666666666666666,0,0
172,580.9999999999992,100,0.11928812856486452,1.0,0.3333333333333333,0,0
173,366.99999999999983,100,0.11893026417916992,1.0,0.3333333333333333,0,0
174,553.9999999999993,100,0.11857347338663242,1.0,0.3333333333333333,0,0
175,453.99999999999943,100,0.11821775296647252,1.0,0.3333333333333333,0,0
176,585.9999999999995,100,0.11786309970757311,1.0,0.3333333333333333,0,0
177,615.9999999999991,100,0.1175095104084504,1.0,0.3333333333333333,0,0
178,488.99999999999903,100,0.11715698187722505,1.0,0.3333333333333333,0,0
179,427.99999999999943,100,0.11680551093159337,1.0,0.3333333333333333,0,0
180,617.9999999999991,100,0.11645509439879859,1.0,0.3333333333333333,0,0
181,365.99999999999983,100,0.11610572911560219,1.0,0.3333333333333333,0,0
182,459.9999999999995,100,0.11575741192825538,0.6666666666666666,0.0,0,0
183,398.9999999999993,100,0.11541013969247062,1.6666666666666667,0.3333333333333333,0,0
184,699.999999999999,100,0.1150639092733932,2.0,0.6666666666666666,0,0
185,380.99999999999903,100,0.11471871754557303,1.6666666666666667,0.3333333333333333,0,0
186,372.99999999999955,100,0.11437456139293631,1.3333333333333333,0.3333333333333333,0,0
187,452.99999999999943,100,0.1140314377087575,1.3333333333333333,0.3333333333333333,0,0
188,544.9999999999992,100,0.11368934339563122,1.0,0.3333333333333333,0,0
189,537.9999999999997,100,0.11334827536544433,1.0,0.3333333333333333,0,0
190,332.99999999999966,100,0.113008230539348,2.0,0.6666666666666666,0,0
191,447.9999999999995,100,0.11266920584772995,1.0,0.3333333333333333,0,0
192,395.9999999999992,100,0.11233119823018677,2.0,0.6666666666666666,0,0
