episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,63.04999999999989,120,1.0,0,0,0.2988
1,60.14999999999979,120,1.3333333333333333,0,0,0.2976048
2,58.59999999999979,120,1.0,0,0,0.2964143808
3,110.35000000000005,120,1.6666666666666667,0,0,0.2952287232768
4,100.45000000000005,120,1.6666666666666667,0,0,0.2940478083836928
5,77.89999999999984,120,2.0,0,0,0.292871617150158
6,150.64999999999975,120,2.0,0,0,0.29170013068155737
7,119.55000000000004,120,2.0,0,0,0.29053333015883115
8,70.04999999999991,120,1.3333333333333333,0,0,0.28937119683819584
9,206.6999999999998,120,1.0,0,0,0.28821371205084306
10,108.89999999999995,95,3.0,1,1,0.2870608572026397
11,113.4499999999999,120,1.3333333333333333,0,0,0.28591261377382915
12,109.24999999999994,120,1.6666666666666667,0,0,0.28476896331873386
13,117.10000000000026,120,1.0,0,0,0.2836298874654589
14,175.04999999999978,120,1.0,0,0,0.2824953679155971
15,107.95000000000016,120,1.0,0,0,0.2813653864439347
16,129.10000000000014,120,1.3333333333333333,0,0,0.28023992489815897
17,151.94999999999996,120,1.3333333333333333,0,0,0.2791189651985663
18,158.7999999999999,120,1.3333333333333333,0,0,0.27800248933777205
19,129.90000000000018,120,1.6666666666666667,0,0,0.27689047938042094
20,158.94999999999996,120,2.0,0,0,0.27578291746289924
21,155.34999999999982,120,1.0,0,0,0.27467978579304764
22,112.00000000000011,120,1.3333333333333333,0,0,0.27358106664987547
23,105.59999999999997,120,1.6666666666666667,0,0,0.27248674238327597
24,136.55000000000015,120,1.0,0,0,0.27139679541374284
25,157.04999999999987,120,1.0,0,0,0.2703112082320879
26,60.24999999999982,120,1.0,0,0,0.2692299633991595
27,127.85000000000022,120,1.3333333333333333,0,0,0.26815304354556285
28,73.71,37,3.0,1,1,0.2670804313713806
29,107.25000000000017,120,1.6666666666666667,0,0,0.26601210964589506
30,114.74999999999996,120,2.6666666666666665,1,0,0.26494806120731146
31,93.79999999999993,120,2.0,0,0,0.2638882689624822
32,165.59999999999982,120,1.3333333333333333,0,0,0.26283271588663226
33,151.44999999999982,120,1.6666666666666667,0,0,0.26178138502308573
34,142.69999999999996,120,1.6666666666666667,0,0,0.2607342594829934
35,176.8999999999999,120,1.3333333333333333,0,0,0.25969132244506143
36,179.54999999999978,120,1.0,0,0,0.2586525571552812
37,213.0499999999997,120,1.3333333333333333,0,0,0.25761794692666007
38,157.35000000000005,120,1.3333333333333333,0,0,0.2565874751389534
39,160.2500000000001,120,2.0,0,0,0.2555611252383976
40,86.57999999999993,71,3.0,1,1,0.25453888073744396
41,236.69999999999965,120,1.0,0,0,0.2535207252144942
42,111.65000000000005,120,2.0,0,0,0.25250664231363623
43,168.74999999999997,120,1.6666666666666667,0,0,0.2514966157443817
44,168.7999999999998,120,1.3333333333333333,0,0,0.2504906292814042
45,97.64999999999996,120,2.0,0,0,0.24948866676427858
46,126.95000000000019,120,1.0,0,0,0.24849071209722146
47,201.6699999999999,119,3.0,1,1,0.24749674924883258
48,164.95000000000005,120,1.6666666666666667,0,0,0.24650676225183726
49,234.84999999999965,120,1.0,0,0,0.2455207352028299
50,173.59999999999985,120,1.3333333333333333,0,0,0.2445386522620186
51,172.74999999999991,120,2.0,0,0,0.24356049765297053
52,240.00000000000009,120,2.3333333333333335,0,0,0.24258625566235864
53,183.6499999999998,120,1.3333333333333333,0,0,0.2416159106397092
54,169.5000000000003,120,2.0,0,0,0.24064944699715035
55,217.7999999999998,120,1.0,0,0,0.23968684920916175
56,165.95000000000064,120,2.0,0,0,0.2387281018123251
57,150.90000000000006,120,1.0,0,0,0.2377731894050758
58,143.19999999999976,120,1.0,0,0,0.2368220966474555
59,258.47999999999996,116,3.0,1,1,0.23587480826086565
60,134.60000000000008,120,2.6666666666666665,1,0,0.2349313090278222
61,207.2999999999999,120,1.3333333333333333,0,0,0.2339915837917109
