episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,55.69999999999999,90,2.0,0,0,0.2988
1,45.150000000000034,90,1.0,0,0,0.2976048
2,45.50000000000006,90,1.6666666666666667,0,0,0.2964143808
3,41.25000000000004,90,1.3333333333333333,0,0,0.2952287232768
4,73.45000000000022,90,1.6666666666666667,0,0,0.2940478083836928
5,96.00000000000021,90,1.3333333333333333,0,0,0.292871617150158
6,95.45000000000023,90,1.0,0,0,0.29170013068155737
7,65.50000000000011,90,2.0,0,0,0.29053333015883115
8,49.30000000000011,90,1.3333333333333333,0,0,0.28937119683819584
9,59.05000000000018,90,1.0,0,0,0.28821371205084306
10,77.20000000000003,90,2.3333333333333335,0,0,0.2870608572026397
11,87.36999999999993,63,3.0,1,1,0.28591261377382915
12,53.400000000000105,90,1.3333333333333333,0,0,0.28476896331873386
13,71.0500000000002,90,1.0,0,0,0.2836298874654589
14,66.65000000000016,90,1.0,0,0,0.2824953679155971
15,81.20000000000007,90,2.6666666666666665,1,0,0.2813653864439347
16,89.10000000000024,90,1.3333333333333333,0,0,0.28023992489815897
17,71.80000000000024,90,1.6666666666666667,0,0,0.2791189651985663
18,61.2000000000001,90,1.3333333333333333,0,0,0.27800248933777205
19,46.400000000000176,90,1.0,0,0,0.27689047938042094
20,76.2500000000001,90,1.0,0,0,0.27578291746289924
21,70.45000000000005,90,2.0,0,0,0.27467978579304764
22,91.05000000000011,90,2.0,0,0,0.27358106664987547
23,93.40000000000008,90,2.0,0,0,0.27248674238327597
24,60.65000000000016,90,1.6666666666666667,0,0,0.27139679541374284
25,112.75000000000013,90,1.6666666666666667,0,0,0.2703112082320879
26,72.70000000000003,90,2.0,0,0,0.2692299633991595
27,92.80000000000022,90,1.6666666666666667,0,0,0.26815304354556285
28,44.550000000000054,90,1.0,0,0,0.2670804313713806
29,68.3499999999999,90,2.0,0,0,0.26601210964589506
30,82.85000000000016,90,1.3333333333333333,0,0,0.26494806120731146
31,80.00000000000007,90,2.0,0,0,0.2638882689624822
32,77.10000000000011,90,1.6666666666666667,0,0,0.26283271588663226
33,81.50000000000021,90,1.3333333333333333,0,0,0.26178138502308573
34,33.10000000000003,90,1.0,0,0,0.2607342594829934
35,49.35000000000021,90,1.3333333333333333,0,0,0.25969132244506143
36,64.43999999999998,66,3.0,1,1,0.2586525571552812
