policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,23,540.570000,1,0.001
sarsa,0,1,,17,521.030000,1,0.000
sarsa,0,2,,37,731.530000,1,0.001
sarsa,0,3,,40,737.500000,0,0.001
sarsa,0,4,,35,898.150000,1,0.001
sarsa,0,5,,40,870.600000,0,0.001
sarsa,0,6,,39,888.810000,1,0.001
sarsa,0,7,,40,563.300000,0,0.001
sarsa,0,8,,40,507.700000,0,0.001
sarsa,0,9,,40,759.800000,0,0.001
sarsa,0,10,,40,758.900000,0,0.001
sarsa,0,11,,40,919.700000,0,0.001
sarsa,0,12,,40,482.700000,0,0.001
sarsa,0,13,,36,771.740000,1,0.001
sarsa,0,14,,40,817.200000,0,0.001
sarsa,0,15,,26,637.240000,1,0.001
sarsa,0,16,,20,581.800000,1,0.001
sarsa,0,17,,22,581.080000,1,0.001
sarsa,0,18,,21,806.090000,1,0.001
sarsa,0,19,,34,728.060000,1,0.001
sarsa,0,20,,40,781.100000,0,0.001
sarsa,0,21,,15,580.150000,1,0.000
sarsa,0,22,,40,565.600000,0,0.001
sarsa,0,23,,40,750.800000,0,0.001
sarsa,0,24,,26,688.840000,1,0.001
sarsa,0,25,,40,749.700000,0,0.001
sarsa,0,26,,40,806.000000,0,0.001
sarsa,0,27,,40,539.900000,0,0.001
sarsa,0,28,,29,713.910000,1,0.001
sarsa,0,29,,40,860.300000,0,0.001
sarsa,0,30,,40,923.200000,0,0.001
sarsa,0,31,,40,1060.600000,0,0.001
sarsa,0,32,,40,732.300000,0,0.001
sarsa,0,33,,23,696.170000,1,0.001
sarsa,0,34,,18,412.020000,1,0.000
sarsa,0,35,,40,804.700000,0,0.001
sarsa,0,36,,40,721.900000,0,0.001
sarsa,0,37,,14,523.260000,1,0.000
sarsa,0,38,,40,746.700000,0,0.001
sarsa,0,39,,29,640.510000,1,0.001
sarsa,0,40,,40,825.700000,0,0.001
sarsa,0,41,,28,914.020000,1,0.001
sarsa,0,42,,20,653.800000,1,0.001
sarsa,0,43,,38,905.320000,1,0.001
sarsa,0,44,,40,416.900000,0,0.001
sarsa,0,45,,40,651.700000,0,0.001
sarsa,0,46,,40,876.400000,0,0.001
sarsa,0,47,,31,723.490000,1,0.001
sarsa,0,48,,40,835.000000,0,0.001
sarsa,0,49,,40,790.300000,0,0.001
sarsa,0,50,,24,615.860000,1,0.001
sarsa,0,51,,40,1065.000000,0,0.001
sarsa,0,52,,25,522.450000,1,0.001
sarsa,0,53,,40,935.000000,0,0.001
sarsa,0,54,,37,991.630000,1,0.001
sarsa,0,55,,36,938.540000,1,0.001
sarsa,0,56,,40,787.700000,0,0.001
sarsa,0,57,,40,674.600000,0,0.001
sarsa,0,58,,38,900.920000,1,0.001
sarsa,0,59,,32,1011.980000,1,0.001
sarsa,0,60,,38,875.320000,1,0.001
sarsa,0,61,,40,1008.200000,0,0.001
sarsa,0,62,,19,524.210000,1,0.000
sarsa,0,63,,34,938.360000,1,0.001
sarsa,0,64,,34,604.660000,1,0.001
sarsa,0,65,,32,559.280000,1,0.001
sarsa,0,66,,17,525.230000,1,0.000
sarsa,0,67,,40,686.500000,0,0.001
sarsa,0,68,,27,639.630000,1,0.001
sarsa,0,69,,40,616.300000,0,0.001
sarsa,0,70,,15,636.950000,1,0.000
sarsa,0,71,,40,792.700000,0,0.001
sarsa,0,72,,30,991.700000,1,0.001
sarsa,0,73,,35,843.450000,1,0.001
sarsa,0,74,,16,523.040000,1,0.000
sarsa,0,75,,40,542.600000,0,0.001
sarsa,0,76,,31,771.690000,1,0.001
sarsa,0,77,,21,635.890000,1,0.001
sarsa,0,78,,40,771.900000,0,0.001
sarsa,0,79,,40,597.000000,0,0.001
sarsa,0,80,,38,758.920000,1,0.001
sarsa,0,81,,33,803.770000,1,0.001
sarsa,0,82,,32,812.280000,1,0.001
sarsa,0,83,,40,384.500000,0,0.001
sarsa,0,84,,40,845.800000,0,0.001
sarsa,0,85,,40,995.000000,0,0.001
sarsa,0,86,,30,804.400000,1,0.001
sarsa,0,87,,38,944.220000,1,0.001
sarsa,0,88,,20,637.800000,1,0.000
sarsa,0,89,,40,927.700000,0,0.001
sarsa,0,90,,40,752.900000,0,0.001
sarsa,0,91,,40,788.300000,0,0.001
sarsa,0,92,,20,635.000000,1,0.000
sarsa,0,93,,40,881.600000,0,0.001
sarsa,0,94,,24,976.860000,1,0.001
sarsa,0,95,,40,640.800000,0,0.001
sarsa,0,96,,40,702.300000,0,0.001
sarsa,0,97,,40,567.300000,0,0.001
sarsa,0,98,,23,542.770000,1,0.001
sarsa,0,99,,28,937.220000,1,0.001
sarsa,0,100,,38,958.220000,1,0.001
sarsa,0,101,,40,709.600000,0,0.001
sarsa,0,102,,40,793.400000,0,0.001
sarsa,0,103,,40,1004.500000,1,0.001
sarsa,0,104,,40,1014.900000,0,0.001
sarsa,0,105,,40,793.400000,0,0.001
sarsa,0,106,,40,849.600000,0,0.001
sarsa,0,107,,40,517.300000,0,0.001
sarsa,0,108,,27,753.830000,1,0.001
sarsa,0,109,,29,877.410000,1,0.001
sarsa,0,110,,20,524.600000,1,0.000
sarsa,0,111,,15,633.750000,1,0.000
sarsa,0,112,,40,788.300000,0,0.001
sarsa,0,113,,38,919.320000,1,0.001
sarsa,0,114,,40,710.800000,0,0.001
sarsa,0,115,,26,824.340000,1,0.001
sarsa,0,116,,15,859.750000,1,0.000
sarsa,0,117,,39,1117.410000,1,0.001
sarsa,0,118,,40,1224.500000,1,0.001
sarsa,0,119,,39,1183.310000,1,0.001
sarsa,0,120,,40,981.100000,0,0.001
sarsa,0,121,,37,776.130000,1,0.001
sarsa,0,122,,40,748.100000,0,0.001
sarsa,0,123,,40,944.800000,0,0.001
sarsa,0,124,,27,748.730000,1,0.001
sarsa,0,125,,40,637.400000,0,0.001
sarsa,0,126,,33,771.570000,1,0.001
sarsa,0,127,,40,674.600000,0,0.001
sarsa,0,128,,40,808.900000,0,0.001
sarsa,0,129,,40,946.700000,0,0.001
sarsa,0,130,,18,583.620000,1,0.000
sarsa,0,131,,22,639.080000,1,0.001
sarsa,0,132,,16,580.140000,1,0.000
sarsa,0,133,,36,649.540000,1,0.001
sarsa,0,134,,39,788.110000,1,0.001
sarsa,0,135,,29,880.110000,1,0.001
sarsa,0,136,,35,866.050000,1,0.001
sarsa,0,137,,40,847.700000,0,0.001
sarsa,0,138,,40,865.800000,0,0.001
sarsa,0,139,,40,926.900000,0,0.001
sarsa,0,140,,17,468.230000,1,0.000
sarsa,0,141,,24,635.160000,1,0.001
sarsa,0,142,,23,636.970000,1,0.001
sarsa,0,143,,25,637.150000,1,0.001
sarsa,0,144,,29,659.510000,1,0.001
sarsa,0,145,,38,1111.220000,1,0.001
sarsa,0,146,,38,1110.020000,1,0.001
sarsa,0,147,,32,884.980000,1,0.001
sarsa,0,148,,40,660.700000,0,0.001
sarsa,0,149,,40,748.700000,0,0.001
sarsa,0,150,,40,516.700000,0,0.001
sarsa,0,151,,40,738.400000,0,0.001
sarsa,0,152,,17,524.630000,1,0.000
sarsa,0,153,,25,766.050000,1,0.001
sarsa,0,154,,32,815.380000,1,0.001
sarsa,0,155,,40,662.700000,1,0.001
