episode,reward,steps,acc,mode,seed
1,49.2,8.0,0.25,aggregated,5
2,42.9,11.0,0.18181818181818182,aggregated,5
3,57.6,4.0,0.5,aggregated,5
4,55.5,5.0,0.4,aggregated,5
5,50.099999999999994,9.0,0.3333333333333333,aggregated,5
6,51.3,7.0,0.2857142857142857,aggregated,5
7,25.499999999999982,25.0,0.12,aggregated,5
8,66.0,10.0,0.3,aggregated,5
9,162.0000000000001,40.0,0.25,aggregated,5
10,59.0,20.0,0.15,aggregated,5
11,57.6,4.0,0.5,aggregated,5
12,70.3,7.0,0.42857142857142855,aggregated,5
13,62.6,14.0,0.2857142857142857,aggregated,5
14,81.00000000000003,40.0,0.05,aggregated,5
15,46.5,5.0,0.4,aggregated,5
16,106.30000000000001,17.0,0.47058823529411764,aggregated,5
17,57.6,4.0,0.5,aggregated,5
18,55.4,6.0,0.3333333333333333,aggregated,5
19,63.3,17.0,0.23529411764705882,aggregated,5
20,65.3,7.0,0.42857142857142855,aggregated,5
21,46.4,6.0,0.3333333333333333,aggregated,5
22,45.0,10.0,0.2,aggregated,5
23,55.5,5.0,0.4,aggregated,5
24,61.79999999999999,12.0,0.16666666666666666,aggregated,5
25,55.5,5.0,0.4,aggregated,5
26,60.4,6.0,0.3333333333333333,aggregated,5
27,50.7,3.0,0.6666666666666666,aggregated,5
28,50.6,4.0,0.5,aggregated,5
29,51.3,7.0,0.2857142857142857,aggregated,5
30,78.99999999999997,20.0,0.15,aggregated,5
31,36.6,14.0,0.14285714285714285,aggregated,5
32,48.5,5.0,0.4,aggregated,5
33,51.900000000000006,11.0,0.18181818181818182,aggregated,5
34,94.9,11.0,0.5454545454545454,aggregated,5
35,53.4,6.0,0.3333333333333333,aggregated,5
36,55.5,5.0,0.4,aggregated,5
37,68.79999999999998,12.0,0.3333333333333333,aggregated,5
38,51.3,7.0,0.2857142857142857,aggregated,5
39,80.1,9.0,0.4444444444444444,aggregated,5
40,53.4,6.0,0.3333333333333333,aggregated,5
41,42.2,8.0,0.25,aggregated,5
42,71.1,9.0,0.4444444444444444,aggregated,5
43,53.4,6.0,0.3333333333333333,aggregated,5
44,47.8,12.0,0.16666666666666666,aggregated,5
45,57.5,5.0,0.4,aggregated,5
46,70.3,7.0,0.42857142857142855,aggregated,5
47,61.1,9.0,0.2222222222222222,aggregated,5
48,55.5,5.0,0.4,aggregated,5
49,60.4,6.0,0.3333333333333333,aggregated,5
50,57.5,15.0,0.13333333333333333,aggregated,5
51,100.4,26.0,0.23076923076923078,aggregated,5
52,56.9,11.0,0.18181818181818182,aggregated,5
53,96.69999999999999,23.0,0.08695652173913043,aggregated,5
54,62.499999999999986,15.0,0.26666666666666666,aggregated,5
55,145.10000000000005,29.0,0.10344827586206896,aggregated,5
56,122.00000000000007,40.0,0.0,aggregated,5
57,206.2000000000001,38.0,0.10526315789473684,aggregated,5
58,189.3000000000001,37.0,0.08108108108108109,aggregated,5
59,76.49999999999999,15.0,0.13333333333333333,aggregated,5
60,169.00000000000014,40.0,0.0,aggregated,5
61,162.0000000000001,40.0,0.0,aggregated,5
62,141.00000000000009,40.0,0.0,aggregated,5
63,169.0000000000001,40.0,0.0,aggregated,5
64,172.0000000000001,40.0,0.05,aggregated,5
65,90.69999999999999,13.0,0.3076923076923077,aggregated,5
66,154.0000000000001,40.0,0.0,aggregated,5
67,162.0000000000001,40.0,0.0,aggregated,5
68,68.1,9.0,0.2222222222222222,aggregated,5
69,164.8000000000001,32.0,0.09375,aggregated,5
70,148.00000000000014,40.0,0.0,aggregated,5
71,171.00000000000014,40.0,0.025,aggregated,5
72,153.00000000000009,40.0,0.05,aggregated,5
73,94.69999999999999,13.0,0.15384615384615385,aggregated,5
74,169.00000000000014,40.0,0.025,aggregated,5
75,167.0000000000001,40.0,0.05,aggregated,5
76,55.5,5.0,0.4,aggregated,5
77,166.90000000000006,31.0,0.0967741935483871,aggregated,5
78,110.79999999999998,22.0,0.09090909090909091,aggregated,5
79,183.00000000000014,40.0,0.0,aggregated,5
80,168.90000000000006,31.0,0.06451612903225806,aggregated,5
81,162.0000000000001,40.0,0.0,aggregated,5
82,162.00000000000014,40.0,0.025,aggregated,5
83,156.3000000000001,37.0,0.05405405405405406,aggregated,5
84,194.1000000000001,39.0,0.05128205128205128,aggregated,5
85,174.00000000000014,40.0,0.025,aggregated,5
86,72.4,6.0,0.5,aggregated,5
87,60.4,6.0,0.3333333333333333,aggregated,5
88,153.00000000000014,40.0,0.05,aggregated,5
89,197.0000000000001,40.0,0.075,aggregated,5
90,58.199999999999996,8.0,0.25,aggregated,5
91,56.099999999999994,9.0,0.2222222222222222,aggregated,5
92,185.70000000000007,33.0,0.06060606060606061,aggregated,5
93,164.00000000000014,40.0,0.0,aggregated,5
94,181.0000000000001,40.0,0.05,aggregated,5
95,85.6,14.0,0.14285714285714285,aggregated,5
96,162.0000000000001,40.0,0.0,aggregated,5
97,148.0000000000001,40.0,0.0,aggregated,5
98,162.0000000000001,40.0,0.0,aggregated,5
99,183.7000000000001,33.0,0.09090909090909091,aggregated,5
100,70.89999999999999,11.0,0.18181818181818182,aggregated,5
101,167.00000000000014,40.0,0.025,aggregated,5
102,158.0000000000001,40.0,0.05,aggregated,5
103,160.00000000000014,40.0,0.025,aggregated,5
104,162.0000000000001,40.0,0.025,aggregated,5
105,94.69999999999999,13.0,0.15384615384615385,aggregated,5
106,91.2,18.0,0.1111111111111111,aggregated,5
107,169.00000000000014,40.0,0.0,aggregated,5
108,53.4,6.0,0.3333333333333333,aggregated,5
109,55.5,5.0,0.4,aggregated,5
110,162.0000000000001,40.0,0.0,aggregated,5
111,57.5,5.0,0.4,aggregated,5
112,139.50000000000006,25.0,0.08,aggregated,5
113,91.89999999999999,11.0,0.18181818181818182,aggregated,5
114,121.4,16.0,0.1875,aggregated,5
115,169.00000000000014,40.0,0.0,aggregated,5
116,86.89999999999999,11.0,0.18181818181818182,aggregated,5
117,146.00000000000009,40.0,0.025,aggregated,5
118,112.9,21.0,0.09523809523809523,aggregated,5
119,157.0000000000001,40.0,0.0,aggregated,5
120,53.4,6.0,0.3333333333333333,aggregated,5
121,135.3,27.0,0.07407407407407407,aggregated,5
122,116.4,26.0,0.07692307692307693,aggregated,5
123,155.00000000000014,40.0,0.025,aggregated,5
124,155.00000000000014,40.0,0.0,aggregated,5
125,160.0000000000001,40.0,0.025,aggregated,5
126,87.69999999999999,13.0,0.15384615384615385,aggregated,5
127,55.5,5.0,0.4,aggregated,5
128,157.00000000000009,30.0,0.06666666666666667,aggregated,5
129,171.0000000000001,40.0,0.025,aggregated,5
130,152.00000000000009,30.0,0.06666666666666667,aggregated,5
131,127.00000000000003,20.0,0.15,aggregated,5
132,186.00000000000014,40.0,0.05,aggregated,5
133,146.00000000000014,40.0,0.025,aggregated,5
134,169.00000000000014,40.0,0.05,aggregated,5
135,169.00000000000014,40.0,0.025,aggregated,5
136,160.0000000000001,40.0,0.025,aggregated,5
137,98.19999999999999,18.0,0.1111111111111111,aggregated,5
138,63.199999999999996,8.0,0.25,aggregated,5
139,171.00000000000014,40.0,0.025,aggregated,5
140,139.0000000000001,40.0,0.025,aggregated,5
141,162.0000000000001,40.0,0.0,aggregated,5
142,188.00000000000014,40.0,0.025,aggregated,5
143,91.89999999999999,11.0,0.18181818181818182,aggregated,5
144,155.00000000000014,40.0,0.0,aggregated,5
145,162.00000000000014,40.0,0.0,aggregated,5
146,75.79999999999998,12.0,0.16666666666666666,aggregated,5
147,174.00000000000014,40.0,0.025,aggregated,5
148,82.79999999999998,12.0,0.16666666666666666,aggregated,5
149,97.4,16.0,0.125,aggregated,5
150,138.0000000000001,40.0,0.0,aggregated,5
151,169.0000000000001,40.0,0.0,aggregated,5
152,162.0000000000001,40.0,0.025,aggregated,5
153,153.0000000000001,40.0,0.025,aggregated,5
154,85.6,14.0,0.14285714285714285,aggregated,5
155,183.00000000000014,40.0,0.0,aggregated,5
156,77.9,11.0,0.18181818181818182,aggregated,5
157,120.60000000000002,24.0,0.08333333333333333,aggregated,5
158,141.0000000000001,40.0,0.0,aggregated,5
159,196.20000000000013,38.0,0.05263157894736842,aggregated,5
160,160.0000000000001,40.0,0.025,aggregated,5
161,89.79999999999998,12.0,0.16666666666666666,aggregated,5
162,162.00000000000014,40.0,0.0,aggregated,5
163,165.0000000000001,40.0,0.05,aggregated,5
164,148.0000000000001,40.0,0.0,aggregated,5
165,139.0000000000001,40.0,0.025,aggregated,5
166,183.00000000000014,40.0,0.0,aggregated,5
167,65.3,7.0,0.2857142857142857,aggregated,5
168,65.4,6.0,0.5,aggregated,5
169,59.099999999999994,9.0,0.3333333333333333,aggregated,5
170,55.5,5.0,0.4,aggregated,5
171,181.50000000000009,35.0,0.05714285714285714,aggregated,5
172,164.8000000000001,32.0,0.09375,aggregated,5
173,57.6,4.0,0.5,aggregated,5
174,90.5,15.0,0.13333333333333333,aggregated,5
175,139.0000000000001,40.0,0.025,aggregated,5
176,147.30000000000004,27.0,0.14814814814814814,aggregated,5
177,100.19999999999999,18.0,0.16666666666666666,aggregated,5
178,62.5,5.0,0.4,aggregated,5
179,167.0000000000001,40.0,0.05,aggregated,5
180,57.5,5.0,0.4,aggregated,5
181,141.00000000000009,40.0,0.0,aggregated,5
182,174.00000000000014,40.0,0.025,aggregated,5
183,162.00000000000014,40.0,0.0,aggregated,5
184,155.0000000000001,40.0,0.0,aggregated,5
185,169.00000000000014,40.0,0.0,aggregated,5
186,174.00000000000014,40.0,0.025,aggregated,5
187,155.00000000000014,40.0,0.0,aggregated,5
188,146.0000000000001,40.0,0.025,aggregated,5
189,65.3,7.0,0.2857142857142857,aggregated,5
190,115.80000000000001,22.0,0.13636363636363635,aggregated,5
191,141.00000000000009,40.0,0.0,aggregated,5
192,57.6,4.0,0.5,aggregated,5
193,153.0000000000001,40.0,0.025,aggregated,5
194,148.0000000000001,40.0,0.0,aggregated,5
195,152.0000000000001,40.0,0.0,aggregated,5
196,167.00000000000014,40.0,0.025,aggregated,5
197,84.89999999999999,11.0,0.18181818181818182,aggregated,5
198,115.70000000000002,23.0,0.08695652173913043,aggregated,5
199,179.40000000000012,36.0,0.05555555555555555,aggregated,5
200,175.3000000000001,37.0,0.08108108108108109,aggregated,5
201,134.00000000000009,40.0,0.0,aggregated,5
202,122.0,20.0,0.1,aggregated,5
203,162.0000000000001,40.0,0.05,aggregated,5
204,141.00000000000009,40.0,0.0,aggregated,5
205,139.50000000000003,25.0,0.12,aggregated,5
206,150.0000000000001,40.0,0.025,aggregated,5
207,146.00000000000014,40.0,0.025,aggregated,5
208,66.69999999999999,13.0,0.15384615384615385,aggregated,5
209,127.60000000000005,24.0,0.08333333333333333,aggregated,5
210,151.00000000000014,40.0,0.05,aggregated,5
211,161.20000000000007,28.0,0.07142857142857142,aggregated,5
212,55.5,5.0,0.4,aggregated,5
213,198.3000000000001,37.0,0.05405405405405406,aggregated,5
214,97.5,15.0,0.13333333333333333,aggregated,5
215,89.79999999999998,12.0,0.16666666666666666,aggregated,5
216,114.4,16.0,0.1875,aggregated,5
217,100.29999999999998,17.0,0.11764705882352941,aggregated,5
218,49.9,11.0,0.18181818181818182,aggregated,5
219,57.6,4.0,0.5,aggregated,5
220,132.00000000000009,40.0,0.025,aggregated,5
221,121.30000000000001,27.0,0.07407407407407407,aggregated,5
222,122.00000000000011,40.0,0.0,aggregated,5
223,153.0000000000001,40.0,0.025,aggregated,5
224,173.20000000000007,38.0,0.07894736842105263,aggregated,5
225,186.0000000000001,40.0,0.075,aggregated,5
226,181.00000000000014,40.0,0.025,aggregated,5
227,105.20000000000002,18.0,0.1111111111111111,aggregated,5
228,155.00000000000014,40.0,0.0,aggregated,5
229,94.69999999999999,13.0,0.15384615384615385,aggregated,5
230,70.9,11.0,0.18181818181818182,aggregated,5
231,172.50000000000009,35.0,0.08571428571428572,aggregated,5
232,164.10000000000005,29.0,0.10344827586206896,aggregated,5
233,111.5,15.0,0.13333333333333333,aggregated,5
234,199.1000000000001,39.0,0.07692307692307693,aggregated,5
235,87.0,10.0,0.2,aggregated,5
236,104.39999999999998,16.0,0.125,aggregated,5
237,147.20000000000005,28.0,0.07142857142857142,aggregated,5
238,186.40000000000012,36.0,0.05555555555555555,aggregated,5
239,126.90000000000003,21.0,0.09523809523809523,aggregated,5
240,127.00000000000003,20.0,0.15,aggregated,5
241,143.10000000000008,29.0,0.10344827586206896,aggregated,5
242,138.0000000000001,40.0,0.0,aggregated,5
243,195.5000000000001,35.0,0.05714285714285714,aggregated,5
244,167.00000000000014,40.0,0.025,aggregated,5
245,160.0000000000001,40.0,0.025,aggregated,5
246,77.19999999999999,8.0,0.25,aggregated,5
247,84.89999999999999,11.0,0.18181818181818182,aggregated,5
248,66.69999999999999,13.0,0.15384615384615385,aggregated,5
249,60.4,6.0,0.3333333333333333,aggregated,5
250,65.4,6.0,0.5,aggregated,5
251,169.60000000000008,34.0,0.058823529411764705,aggregated,5
252,55.5,5.0,0.4,aggregated,5
253,158.0000000000001,40.0,0.05,aggregated,5
254,82.79999999999998,12.0,0.16666666666666666,aggregated,5
255,133.90000000000003,21.0,0.09523809523809523,aggregated,5
256,169.0000000000001,40.0,0.0,aggregated,5
257,165.00000000000014,40.0,0.05,aggregated,5
258,87.0,10.0,0.2,aggregated,5
259,101.0,20.0,0.1,aggregated,5
260,167.60000000000008,34.0,0.08823529411764706,aggregated,5
261,139.50000000000003,25.0,0.08,aggregated,5
262,46.5,5.0,0.4,aggregated,5
263,55.5,5.0,0.4,aggregated,5
264,57.6,4.0,0.5,aggregated,5
265,53.4,6.0,0.3333333333333333,aggregated,5
266,122.00000000000011,40.0,0.0,aggregated,5
267,106.00000000000007,40.0,0.0,aggregated,5
268,89.79999999999998,12.0,0.16666666666666666,aggregated,5
269,146.00000000000009,40.0,0.025,aggregated,5
270,155.0000000000001,40.0,0.0,aggregated,5
271,141.0000000000001,40.0,0.0,aggregated,5
272,155.0000000000001,40.0,0.0,aggregated,5
273,172.0000000000001,40.0,0.05,aggregated,5
274,63.099999999999994,9.0,0.2222222222222222,aggregated,5
275,176.00000000000014,40.0,0.0,aggregated,5
276,157.0000000000001,40.0,0.0,aggregated,5
277,82.1,9.0,0.2222222222222222,aggregated,5
278,196.2000000000001,38.0,0.05263157894736842,aggregated,5
279,154.30000000000004,27.0,0.1111111111111111,aggregated,5
280,55.5,5.0,0.4,aggregated,5
281,127.00000000000011,40.0,0.0,aggregated,5
282,162.00000000000009,40.0,0.025,aggregated,5
283,203.20000000000013,38.0,0.05263157894736842,aggregated,5
284,164.70000000000007,33.0,0.06060606060606061,aggregated,5
285,104.39999999999998,16.0,0.125,aggregated,5
286,198.3000000000001,37.0,0.05405405405405406,aggregated,5
287,141.0000000000001,40.0,0.0,aggregated,5
288,195.6000000000001,34.0,0.11764705882352941,aggregated,5
289,148.0000000000001,40.0,0.0,aggregated,5
290,43.8,2.0,1.0,aggregated,5
291,123.40000000000006,26.0,0.07692307692307693,aggregated,5
292,115.79999999999998,22.0,0.13636363636363635,aggregated,5
293,85.6,14.0,0.14285714285714285,aggregated,5
294,187.7000000000001,33.0,0.06060606060606061,aggregated,5
295,63.099999999999994,9.0,0.2222222222222222,aggregated,5
296,153.00000000000014,40.0,0.025,aggregated,5
297,148.0000000000001,40.0,0.0,aggregated,5
298,148.0000000000001,40.0,0.0,aggregated,5
299,61.099999999999994,9.0,0.2222222222222222,aggregated,5
300,191.40000000000012,36.0,0.08333333333333333,aggregated,5
301,136.00000000000009,40.0,0.0,aggregated,5
302,80.0,10.0,0.2,aggregated,5
303,174.0000000000001,40.0,0.025,aggregated,5
304,169.0000000000001,40.0,0.0,aggregated,5
305,87.69999999999999,13.0,0.15384615384615385,aggregated,5
306,176.00000000000014,40.0,0.0,aggregated,5
307,143.70000000000005,33.0,0.06060606060606061,aggregated,5
308,169.0000000000001,40.0,0.0,aggregated,5
309,117.1,19.0,0.10526315789473684,aggregated,5
310,129.00000000000009,40.0,0.0,aggregated,5
311,181.00000000000014,40.0,0.025,aggregated,5
312,63.199999999999996,8.0,0.25,aggregated,5
313,99.0,20.0,0.15,aggregated,5
314,155.0000000000001,40.0,0.0,aggregated,5
315,134.0000000000001,40.0,0.0,aggregated,5
316,93.4,16.0,0.1875,aggregated,5
317,153.60000000000005,24.0,0.125,aggregated,5
318,155.00000000000014,40.0,0.0,aggregated,5
319,161.3000000000001,37.0,0.08108108108108109,aggregated,5
320,59.7,13.0,0.15384615384615385,aggregated,5
321,52.699999999999996,13.0,0.15384615384615385,aggregated,5
322,66.69999999999999,13.0,0.15384615384615385,aggregated,5
323,100.29999999999998,17.0,0.11764705882352941,aggregated,5
324,55.5,5.0,0.4,aggregated,5
325,115.0,20.0,0.1,aggregated,5
326,134.00000000000009,40.0,0.0,aggregated,5
327,155.00000000000009,40.0,0.025,aggregated,5
