episode,reward,steps,acc,mode,seed
1,78.9,21.0,0.23809523809523808,full,3
2,42.99999999999999,40.0,0.0,full,3
3,79.29999999999998,17.0,0.11764705882352941,full,3
4,162.0000000000001,40.0,0.0,full,3
5,181.00000000000014,40.0,0.025,full,3
6,55.5,5.0,0.4,full,3
7,240.00000000000014,40.0,0.675,full,3
8,96.79999999999998,12.0,0.16666666666666666,full,3
9,134.0000000000001,40.0,0.0,full,3
10,120.00000000000007,40.0,0.0,full,3
11,155.0000000000001,40.0,0.0,full,3
12,162.70000000000007,33.0,0.09090909090909091,full,3
13,121.30000000000004,17.0,0.5882352941176471,full,3
14,148.0000000000001,40.0,0.0,full,3
15,125.00000000000011,40.0,0.025,full,3
16,162.0000000000001,40.0,0.0,full,3
17,167.0000000000001,40.0,0.025,full,3
18,176.6000000000001,34.0,0.058823529411764705,full,3
19,141.0000000000001,40.0,0.0,full,3
20,134.00000000000014,40.0,0.025,full,3
21,148.0000000000001,40.0,0.0,full,3
22,138.0000000000001,40.0,0.0,full,3
23,174.00000000000014,40.0,0.025,full,3
24,80.69999999999999,13.0,0.15384615384615385,full,3
25,179.00000000000014,40.0,0.05,full,3
26,187.8000000000001,32.0,0.0625,full,3
27,145.80000000000004,22.0,0.09090909090909091,full,3
28,206.10000000000014,39.0,0.07692307692307693,full,3
29,82.79999999999998,12.0,0.16666666666666666,full,3
30,139.0000000000001,40.0,0.025,full,3
31,169.00000000000014,40.0,0.0,full,3
32,106.00000000000013,40.0,0.0,full,3
33,77.89999999999999,11.0,0.18181818181818182,full,3
34,166.10000000000008,29.0,0.06896551724137931,full,3
35,129.0000000000001,40.0,0.0,full,3
36,96.79999999999998,12.0,0.16666666666666666,full,3
37,83.0,10.0,0.5,full,3
38,109.4,16.0,0.125,full,3
39,181.00000000000014,40.0,0.025,full,3
40,134.0000000000001,40.0,0.0,full,3
41,220.20000000000013,38.0,0.10526315789473684,full,3
42,140.90000000000006,31.0,0.06451612903225806,full,3
43,155.0000000000001,40.0,0.0,full,3
44,134.00000000000009,40.0,0.0,full,3
45,70.19999999999999,8.0,0.25,full,3
46,143.00000000000009,40.0,0.0,full,3
47,161.10000000000005,29.0,0.06896551724137931,full,3
48,143.80000000000004,22.0,0.13636363636363635,full,3
49,58.3,7.0,0.2857142857142857,full,3
50,166.80000000000007,32.0,0.0625,full,3
51,77.89999999999999,11.0,0.18181818181818182,full,3
52,146.0000000000001,40.0,0.025,full,3
53,94.29999999999998,17.0,0.4117647058823529,full,3
54,122.00000000000003,20.0,0.1,full,3
55,160.0000000000001,40.0,0.025,full,3
56,57.4,6.0,0.3333333333333333,full,3
57,91.19999999999999,18.0,0.1111111111111111,full,3
58,155.0000000000001,40.0,0.0,full,3
59,89.79999999999998,12.0,0.16666666666666666,full,3
60,100.29999999999998,17.0,0.11764705882352941,full,3
61,155.00000000000014,40.0,0.05,full,3
62,162.00000000000014,40.0,0.0,full,3
63,113.00000000000011,40.0,0.025,full,3
64,58.5,5.0,0.6,full,3
65,130.40000000000003,26.0,0.07692307692307693,full,3
66,77.19999999999999,8.0,0.25,full,3
67,174.00000000000014,40.0,0.025,full,3
68,84.6,14.0,0.14285714285714285,full,3
69,141.0000000000001,40.0,0.0,full,3
70,70.3,7.0,0.42857142857142855,full,3
71,151.00000000000014,40.0,0.075,full,3
72,48.4,6.0,0.3333333333333333,full,3
73,143.0000000000001,40.0,0.05,full,3
74,65.3,7.0,0.2857142857142857,full,3
75,134.0000000000001,40.0,0.0,full,3
76,153.0000000000001,40.0,0.025,full,3
77,141.0000000000001,40.0,0.0,full,3
78,102.4,16.0,0.125,full,3
79,84.89999999999999,11.0,0.18181818181818182,full,3
80,120.6,24.0,0.08333333333333333,full,3
81,50.7,3.0,0.6666666666666666,full,3
82,55.4,6.0,0.3333333333333333,full,3
83,75.1,9.0,0.2222222222222222,full,3
