episode,reward,steps,mode,seed
0,1125.760000000001,44,fixed,9
1,926.32,38,fixed,9
2,948.7800000000004,42,fixed,9
3,528.7899999999997,21,fixed,9
4,867.0100000000004,39,fixed,9
5,783.9800000000002,32,fixed,9
6,659.7299999999997,27,fixed,9
7,1047.87,43,fixed,9
8,1295.4700000000007,43,fixed,9
9,693.45,35,fixed,9
10,672.0699999999999,33,fixed,9
11,821.7700000000002,23,fixed,9
12,768.6399999999998,26,fixed,9
13,1083.400000000001,80,fixed,9
14,1112.8500000000004,55,fixed,9
15,672.0299999999999,37,fixed,9
16,693.0500000000001,25,fixed,9
17,811.1599999999996,44,fixed,9
18,724.8900000000001,31,fixed,9
19,868.6200000000006,48,fixed,9
20,826.8500000000001,35,fixed,9
21,471.68999999999994,31,fixed,9
22,775.2599999999998,34,fixed,9
23,482.44,26,fixed,9
24,708.3900000000001,31,fixed,9
25,755.1899999999998,31,fixed,9
26,1088.0300000000009,47,fixed,9
27,765.2300000000002,27,fixed,9
28,1070.0400000000009,46,fixed,9
29,526.5299999999999,17,fixed,9
30,1053.8700000000003,33,fixed,9
31,1387.099999999999,70,fixed,9
32,1148.7700000000004,53,fixed,9
33,653.0600000000001,24,fixed,9
34,954.2800000000004,52,fixed,9
35,724.6400000000001,26,fixed,9
36,1182.7100000000005,39,fixed,9
37,1261.730000000001,57,fixed,9
38,691.16,14,fixed,9
39,1794.6599999999976,74,fixed,9
40,825.2400000000002,36,fixed,9
41,807.4,30,fixed,9
42,923.3700000000003,43,fixed,9
43,861.8400000000001,26,fixed,9
44,976.5000000000005,50,fixed,9
45,1244.3000000000006,60,fixed,9
46,869.3599999999998,34,fixed,9
47,1008.8700000000002,63,fixed,9
48,885.3600000000002,34,fixed,9
49,835.6700000000003,33,fixed,9
50,787.4100000000004,39,fixed,9
51,952.1600000000004,34,fixed,9
52,941.0700000000004,33,fixed,9
53,673.2600000000001,44,fixed,9
54,817.79,41,fixed,9
55,1483.6799999999994,72,fixed,9
56,860.9,20,fixed,9
57,749.8100000000003,19,fixed,9
58,1044.37,43,fixed,9
59,652.53,17,fixed,9
60,467.8399999999999,16,fixed,9
61,1148.2300000000012,67,fixed,9
62,1210.940000000001,46,fixed,9
63,444.9699999999999,23,fixed,9
64,1282.19,61,fixed,9
65,1206.3199999999997,48,fixed,9
66,849.4999999999998,40,fixed,9
67,1060.9900000000002,41,fixed,9
68,1183.0400000000009,56,fixed,9
69,1639.4999999999984,100,fixed,9
70,482.5899999999999,21,fixed,9
71,752.4900000000002,21,fixed,9
72,1346.8800000000006,52,fixed,9
73,554.8000000000001,20,fixed,9
74,482.8299999999999,27,fixed,9
75,711.33,27,fixed,9
76,724.7800000000002,32,fixed,9
77,638.76,24,fixed,9
78,486.80999999999983,29,fixed,9
79,1237.1000000000008,60,fixed,9
80,1107.1699999999998,53,fixed,9
81,882.1100000000004,29,fixed,9
82,1011.3300000000004,37,fixed,9
83,1068.6,40,fixed,9
84,699.8599999999996,34,fixed,9
85,595.3499999999999,15,fixed,9
86,660.34,36,fixed,9
87,639.3899999999996,21,fixed,9
88,1316.6100000000006,49,fixed,9
89,952.4900000000004,31,fixed,9
90,939.6900000000004,31,fixed,9
91,1401.0399999999986,66,fixed,9
92,849.4199999999996,38,fixed,9
93,851.85,45,fixed,9
94,729.8900000000001,41,fixed,9
95,546.4299999999998,27,fixed,9
96,1212.7599999999998,54,fixed,9
97,523.5699999999999,13,fixed,9
98,1187.2100000000005,39,fixed,9
99,579.9600000000003,24,fixed,9
100,1213.3599999999997,44,fixed,9
101,974.89,31,fixed,9
102,705.31,19,fixed,9
103,862.3800000000005,42,fixed,9
104,523.87,23,fixed,9
105,842.1300000000005,27,fixed,9
106,937.3300000000004,27,fixed,9
107,1039.17,33,fixed,9
108,1048.34,26,fixed,9
109,1149.4700000000007,53,fixed,9
110,1604.4599999999978,74,fixed,9
111,1321.29,51,fixed,9
112,667.8199999999999,28,fixed,9
113,639.2999999999997,20,fixed,9
114,844.51,39,fixed,9
115,753.9599999999999,24,fixed,9
116,827.01,29,fixed,9
117,1575.789999999999,61,fixed,9
118,1331.8499999999997,65,fixed,9
119,898.5100000000002,49,fixed,9
120,619.7199999999996,28,fixed,9
121,1048.9500000000005,35,fixed,9
122,771.6600000000002,34,fixed,9
123,732.17,33,fixed,9
124,764.35,25,fixed,9
125,579.98,22,fixed,9
126,965.3700000000003,33,fixed,9
127,864.7400000000007,46,fixed,9
128,734.2599999999998,34,fixed,9
129,748.1300000000002,27,fixed,9
130,937.11,29,fixed,9
131,769.4900000000002,31,fixed,9
132,784.8100000000004,39,fixed,9
133,580.37,23,fixed,9
134,866.5500000000001,35,fixed,9
135,981.84,36,fixed,9
136,753.67,23,fixed,9
137,1281.2199999999998,58,fixed,9
138,866.91,29,fixed,9
139,558.1599999999999,24,fixed,9
140,734.3099999999996,39,fixed,9
141,1262.2800000000009,52,fixed,9
142,731.0600000000001,34,fixed,9
143,827.8899999999998,31,fixed,9
144,954.87,33,fixed,9
145,788.5699999999998,33,fixed,9
146,1110.6500000000003,35,fixed,9
147,1001.11,39,fixed,9
148,865.7,30,fixed,9
149,1014.6700000000004,43,fixed,9
150,694.56,24,fixed,9
151,764.8000000000002,20,fixed,9
152,1951.5499999999963,95,fixed,9
153,1233.08,42,fixed,9
154,1070.5700000000006,43,fixed,9
155,640.5599999999997,24,fixed,9
156,863.95,25,fixed,9
157,712.49,31,fixed,9
158,861.4000000000002,40,fixed,9
159,1485.719999999999,68,fixed,9
160,582.2099999999998,19,fixed,9
161,885.8500000000001,35,fixed,9
162,1382.9699999999991,63,fixed,9
163,655.4,30,fixed,9
164,541.0,20,fixed,9
165,1092.3600000000006,44,fixed,9
166,819.6100000000002,39,fixed,9
167,653.05,25,fixed,9
168,830.2200000000001,38,fixed,9
169,1059.5800000000004,72,fixed,9
170,469.1700000000001,23,fixed,9
171,818.0900000000001,31,fixed,9
172,1183.3900000000003,41,fixed,9
173,1000.0400000000004,46,fixed,9
174,765.4800000000002,32,fixed,9
175,918.9900000000002,21,fixed,9
176,650.6400000000001,26,fixed,9
177,770.1099999999999,29,fixed,9
178,990.5900000000004,31,fixed,9
179,950.92,28,fixed,9
180,709.52,18,fixed,9
181,1245.04,56,fixed,9
182,939.47,53,fixed,9
183,1155.3500000000008,55,fixed,9
184,778.9599999999997,44,fixed,9
185,829.2700000000001,33,fixed,9
186,1173.1200000000003,58,fixed,9
187,1107.1000000000004,30,fixed,9
188,701.3699999999995,33,fixed,9
189,1557.9699999999991,73,fixed,9
190,886.4499999999999,35,fixed,9
191,1408.48,42,fixed,9
192,637.5399999999998,16,fixed,9
193,1546.4999999999986,60,fixed,9
194,819.4300000000002,27,fixed,9
195,642.0999999999998,30,fixed,9
196,996.2800000000004,42,fixed,9
197,659.1199999999999,38,fixed,9
198,730.08,32,fixed,9
199,784.2300000000004,27,fixed,9
200,637.53,17,fixed,9
201,695.4299999999998,27,fixed,9
202,1008.4600000000004,34,fixed,9
203,881.7600000000004,34,fixed,9
204,617.2599999999998,24,fixed,9
205,1262.2300000000005,37,fixed,9
206,802.9200000000002,28,fixed,9
207,1124.7200000000005,48,fixed,9
208,641.0699999999997,33,fixed,9
209,747.99,21,fixed,9
210,598.1699999999998,23,fixed,9
211,1057.480000000001,42,fixed,9
212,993.88,32,fixed,9
213,1152.3700000000006,43,fixed,9
214,930.07,43,fixed,9
215,1350.2000000000007,70,fixed,9
216,527.1899999999998,21,fixed,9
217,718.3399999999998,46,fixed,9
218,882.6600000000003,34,fixed,9
219,794.8600000000001,24,fixed,9
220,779.3100000000003,29,fixed,9
221,580.0399999999998,16,fixed,9
222,1075.1300000000003,47,fixed,9
223,1530.4999999999995,80,fixed,9
224,669.0900000000003,31,fixed,9
225,1430.489999999999,51,fixed,9
226,1142.6400000000008,46,fixed,9
227,1489.5999999999972,80,fixed,9
228,1050.5300000000002,27,fixed,9
229,1215.0400000000006,46,fixed,9
230,1180.3500000000006,35,fixed,9
231,985.9099999999996,49,fixed,9
232,881.4300000000004,27,fixed,9
233,1048.2300000000002,27,fixed,9
234,1098.94,66,fixed,9
235,686.7399999999999,26,fixed,9
236,768.3299999999998,27,fixed,9
237,710.7900000000001,21,fixed,9
238,979.5600000000004,34,fixed,9
239,1420.6600000000003,34,fixed,9
240,1053.4900000000007,31,fixed,9
241,1070.69,31,fixed,9
242,938.8600000000004,34,fixed,9
243,1153.3700000000008,63,fixed,9
244,1156.0600000000004,44,fixed,9
245,955.42,28,fixed,9
246,1024.4200000000003,28,fixed,9
247,1288.1000000000008,80,fixed,9
248,831.7199999999997,38,fixed,9
249,1273.4100000000008,59,fixed,9
250,1963.079999999998,72,fixed,9
251,781.0700000000003,23,fixed,9
252,1830.3199999999988,58,fixed,9
253,1192.500000000001,50,fixed,9
254,953.5700000000004,33,fixed,9
255,750.1399999999999,26,fixed,9
256,537.8000000000001,20,fixed,9
257,900.35,45,fixed,9
258,1548.6199999999994,58,fixed,9
259,861.1599999999997,34,fixed,9
260,582.1799999999998,22,fixed,9
261,1393.7400000000002,46,fixed,9
262,633.76,24,fixed,9
263,636.93,17,fixed,9
264,694.6199999999997,18,fixed,9
265,1461.33,57,fixed,9
266,806.9900000000004,21,fixed,9
267,1524.9599999999996,44,fixed,9
268,580.5800000000002,22,fixed,9
269,835.1499999999997,45,fixed,9
270,942.01,29,fixed,9
271,941.0800000000002,32,fixed,9
272,1557.9999999999984,100,fixed,9
273,808.7100000000003,39,fixed,9
274,882.3200000000004,38,fixed,9
275,1352.2900000000004,61,fixed,9
276,877.7000000000003,30,fixed,9
277,757.9099999999995,29,fixed,9
278,1046.2400000000002,46,fixed,9
279,706.3400000000001,16,fixed,9
280,937.9400000000004,36,fixed,9
281,629.4999999999999,30,fixed,9
282,769.9999999999998,30,fixed,9
283,1120.2600000000004,34,fixed,9
284,1036.5600000000004,34,fixed,9
285,884.3400000000004,36,fixed,9
286,711.7299999999999,27,fixed,9
287,999.8200000000004,48,fixed,9
288,711.2000000000003,30,fixed,9
289,989.7000000000004,30,fixed,9
290,1043.5900000000006,41,fixed,9
291,1297.3200000000006,38,fixed,9
292,896.6200000000003,38,fixed,9
293,1520.8699999999994,63,fixed,9
294,1010.97,33,fixed,9
295,877.3700000000001,23,fixed,9
296,954.8000000000004,30,fixed,9
297,931.0,40,fixed,9
298,1555.3899999999994,51,fixed,9
299,691.7700000000001,23,fixed,9
300,1053.1700000000003,33,fixed,9
301,1274.229999999999,37,fixed,9
302,1124.739999999999,46,fixed,9
303,970.0400000000004,36,fixed,9
304,693.3199999999999,18,fixed,9
305,578.4599999999999,14,fixed,9
306,863.3900000000001,21,fixed,9
307,1231.8700000000003,53,fixed,9
308,803.61,29,fixed,9
309,1046.1300000000006,37,fixed,9
310,807.0700000000002,23,fixed,9
311,1126.1300000000006,37,fixed,9
312,710.2099999999999,19,fixed,9
313,982.7500000000005,35,fixed,9
314,1149.2100000000005,39,fixed,9
315,693.9800000000002,32,fixed,9
316,710.8500000000004,35,fixed,9
317,638.8699999999999,23,fixed,9
318,979.69,51,fixed,9
319,1564.7299999999996,67,fixed,9
320,1145.0100000000011,49,fixed,9
321,1469.9500000000005,55,fixed,9
322,860.8700000000005,33,fixed,9
323,668.4799999999999,22,fixed,9
324,1164.1200000000003,38,fixed,9
325,753.0599999999997,24,fixed,9
326,926.03,37,fixed,9
327,1073.0300000000009,47,fixed,9
328,769.3600000000001,34,fixed,9
329,1051.4800000000002,32,fixed,9
330,845.8699999999999,33,fixed,9
331,919.4800000000002,22,fixed,9
332,671.4699999999998,23,fixed,9
333,653.5300000000001,27,fixed,9
334,1058.9100000000003,39,fixed,9
335,1037.5200000000002,28,fixed,9
336,978.0300000000004,27,fixed,9
337,750.8599999999998,24,fixed,9
338,1564.2699999999982,93,fixed,9
339,652.9099999999999,19,fixed,9
340,594.53,27,fixed,9
341,1564.059999999999,64,fixed,9
342,798.2,30,fixed,9
343,525.2399999999998,16,fixed,9
344,1545.699999999999,60,fixed,9
345,1160.3600000000006,44,fixed,9
346,935.6600000000004,24,fixed,9
347,882.1400000000002,36,fixed,9
348,977.5300000000004,27,fixed,9
349,860.9900000000002,31,fixed,9
350,1084.4100000000008,39,fixed,9
351,941.47,33,fixed,9
352,1797.7699999999995,53,fixed,9
353,693.28,22,fixed,9
354,955.5700000000004,43,fixed,9
355,1512.88,52,fixed,9
356,1163.7600000000002,34,fixed,9
357,638.2199999999999,18,fixed,9
358,1130.7800000000002,62,fixed,9
359,670.5300000000001,27,fixed,9
360,993.4199999999996,38,fixed,9
361,1408.7200000000005,38,fixed,9
362,932.66,14,fixed,9
363,865.7100000000003,39,fixed,9
364,1544.849999999998,85,fixed,9
365,636.6200000000001,28,fixed,9
366,955.34,36,fixed,9
367,921.8900000000002,31,fixed,9
368,601.1399999999996,26,fixed,9
369,824.5800000000002,22,fixed,9
370,1086.3100000000004,39,fixed,9
371,1605.9499999999985,65,fixed,9
372,732.0299999999999,37,fixed,9
373,1956.6699999999976,93,fixed,9
374,975.88,32,fixed,9
375,1007.36,54,fixed,9
376,1673.7099999999969,79,fixed,9
377,1007.15,25,fixed,9
378,969.15,35,fixed,9
379,1269.9100000000008,49,fixed,9
380,820.92,28,fixed,9
381,1134.4600000000005,64,fixed,9
382,1166.760000000001,44,fixed,9
383,1354.309999999999,49,fixed,9
384,743.1699999999998,33,fixed,9
385,919.0500000000004,25,fixed,9
386,863.9500000000003,25,fixed,9
387,888.28,42,fixed,9
388,1127.64,36,fixed,9
389,641.1600000000003,34,fixed,9
390,1051.3000000000002,30,fixed,9
391,712.8999999999997,30,fixed,9
392,768.0300000000001,27,fixed,9
393,1255.240000000001,46,fixed,9
394,897.6900000000004,31,fixed,9
395,1276.0300000000009,37,fixed,9
396,688.54,26,fixed,9
397,924.86,34,fixed,9
398,810.7,30,fixed,9
399,1969.309999999998,79,fixed,9
400,785.4599999999999,24,fixed,9
401,880.6300000000003,27,fixed,9
