episode,reward,steps,acc,mode,seed
1,95.79999999999998,12.0,0.5,full,8
2,88.1,9.0,0.6666666666666666,full,8
3,125.00000000000007,40.0,0.05,full,8
4,92.6,34.0,0.058823529411764705,full,8
5,49.3,7.0,0.42857142857142855,full,8
6,164.10000000000005,29.0,0.4827586206896552,full,8
7,50.0,20.0,0.15,full,8
8,166.30000000000007,27.0,0.5185185185185185,full,8
9,56.3,7.0,0.42857142857142855,full,8
10,161.3000000000001,37.0,0.08108108108108109,full,8
11,96.4,16.0,0.4375,full,8
12,141.0000000000001,40.0,0.0,full,8
13,224.30000000000007,27.0,0.7037037037037037,full,8
14,124.70000000000002,13.0,0.6923076923076923,full,8
15,65.3,7.0,0.42857142857142855,full,8
16,120.00000000000007,40.0,0.0,full,8
17,202.30000000000007,27.0,0.6296296296296297,full,8
18,51.3,7.0,0.2857142857142857,full,8
19,158.50000000000003,15.0,0.8,full,8
20,66.2,8.0,0.5,full,8
21,43.0,10.0,0.2,full,8
22,199.9000000000001,31.0,0.5161290322580645,full,8
23,74.0,10.0,0.5,full,8
24,57.6,4.0,0.5,full,8
25,199.1000000000001,39.0,0.07692307692307693,full,8
26,69.8,12.0,0.4166666666666667,full,8
27,88.89999999999999,11.0,0.6363636363636364,full,8
28,50.599999999999994,14.0,0.21428571428571427,full,8
29,48.5,5.0,0.4,full,8
30,140.60000000000005,24.0,0.4166666666666667,full,8
31,165.0000000000001,40.0,0.075,full,8
32,53.4,6.0,0.3333333333333333,full,8
33,51.3,7.0,0.2857142857142857,full,8
34,49.199999999999996,8.0,0.25,full,8
35,141.0000000000001,40.0,0.0,full,8
36,71.0,10.0,0.3,full,8
37,59.099999999999994,9.0,0.3333333333333333,full,8
38,134.00000000000006,40.0,0.025,full,8
39,132.00000000000009,40.0,0.025,full,8
40,120.0000000000001,40.0,0.0,full,8
41,155.0000000000001,40.0,0.0,full,8
42,143.0000000000001,40.0,0.0,full,8
43,55.5,5.0,0.4,full,8
44,95.1,9.0,0.6666666666666666,full,8
45,90.39999999999998,16.0,0.125,full,8
46,158.60000000000005,34.0,0.11764705882352941,full,8
47,169.00000000000014,40.0,0.0,full,8
48,129.00000000000009,40.0,0.0,full,8
49,206.00000000000014,40.0,0.05,full,8
50,197.6000000000001,34.0,0.058823529411764705,full,8
51,170.40000000000006,26.0,0.5769230769230769,full,8
52,110.1,19.0,0.10526315789473684,full,8
53,60.3,7.0,0.2857142857142857,full,8
54,144.50000000000003,25.0,0.12,full,8
55,130.40000000000003,26.0,0.07692307692307693,full,8
56,61.099999999999994,9.0,0.2222222222222222,full,8
57,91.19999999999999,18.0,0.1111111111111111,full,8
58,87.8,12.0,0.25,full,8
59,62.6,4.0,0.75,full,8
60,175.3000000000001,37.0,0.08108108108108109,full,8
61,167.00000000000014,40.0,0.025,full,8
62,201.10000000000014,39.0,0.05128205128205128,full,8
63,154.0000000000001,40.0,0.0,full,8
64,167.0000000000001,40.0,0.025,full,8
65,126.20000000000002,18.0,0.1111111111111111,full,8
66,134.0000000000001,40.0,0.0,full,8
67,169.00000000000014,40.0,0.0,full,8
68,164.0000000000001,40.0,0.0,full,8
69,77.89999999999999,11.0,0.18181818181818182,full,8
70,120.0000000000001,40.0,0.0,full,8
71,87.69999999999999,13.0,0.15384615384615385,full,8
72,147.30000000000007,27.0,0.1111111111111111,full,8
73,55.4,6.0,0.3333333333333333,full,8
74,159.10000000000008,29.0,0.06896551724137931,full,8
75,57.6,4.0,0.5,full,8
76,72.3,7.0,0.2857142857142857,full,8
77,110.1,19.0,0.10526315789473684,full,8
78,63.3,7.0,0.42857142857142855,full,8
79,51.3,7.0,0.2857142857142857,full,8
80,141.00000000000009,40.0,0.0,full,8
81,155.00000000000014,40.0,0.0,full,8
82,62.5,5.0,0.4,full,8
83,134.0000000000001,40.0,0.0,full,8
84,155.0000000000001,40.0,0.0,full,8
85,58.89999999999999,11.0,0.18181818181818182,full,8
86,174.00000000000014,40.0,0.025,full,8
87,150.0000000000001,40.0,0.0,full,8
88,150.0000000000001,40.0,0.0,full,8
89,148.0000000000001,40.0,0.0,full,8
90,65.3,7.0,0.2857142857142857,full,8
91,80.69999999999999,13.0,0.15384615384615385,full,8
92,138.80000000000004,22.0,0.09090909090909091,full,8
93,50.6,4.0,0.5,full,8
94,55.5,5.0,0.4,full,8
95,92.6,14.0,0.14285714285714285,full,8
96,158.00000000000014,40.0,0.05,full,8
97,75.1,9.0,0.2222222222222222,full,8
98,57.6,4.0,0.5,full,8
99,65.19999999999999,8.0,0.25,full,8
100,169.0000000000001,40.0,0.0,full,8
101,155.0000000000001,40.0,0.0,full,8
102,141.00000000000009,40.0,0.0,full,8
103,148.0000000000001,40.0,0.025,full,8
104,77.19999999999999,8.0,0.25,full,8
105,101.69999999999999,13.0,0.15384615384615385,full,8
106,51.3,7.0,0.2857142857142857,full,8
107,116.40000000000003,26.0,0.11538461538461539,full,8
108,55.5,5.0,0.4,full,8
109,162.0000000000001,40.0,0.0,full,8
110,82.1,9.0,0.2222222222222222,full,8
111,134.00000000000003,20.0,0.15,full,8
112,162.00000000000014,40.0,0.0,full,8
113,149.20000000000005,28.0,0.07142857142857142,full,8
114,106.5,15.0,0.2,full,8
115,53.4,6.0,0.3333333333333333,full,8
116,153.0000000000001,40.0,0.05,full,8
117,55.5,5.0,0.4,full,8
118,137.40000000000003,26.0,0.07692307692307693,full,8
119,137.40000000000003,26.0,0.07692307692307693,full,8
120,165.40000000000006,26.0,0.07692307692307693,full,8
121,181.00000000000014,40.0,0.025,full,8
122,176.00000000000014,40.0,0.0,full,8
123,134.00000000000009,40.0,0.0,full,8
124,167.0000000000001,40.0,0.025,full,8
125,88.00000000000004,40.0,0.075,full,8
126,160.0000000000001,40.0,0.05,full,8
127,72.89999999999999,11.0,0.18181818181818182,full,8
128,103.30000000000001,17.0,0.23529411764705882,full,8
129,80.1,9.0,0.3333333333333333,full,8
130,168.20000000000007,28.0,0.07142857142857142,full,8
131,162.00000000000014,40.0,0.0,full,8
132,77.89999999999999,11.0,0.18181818181818182,full,8
133,102.6,14.0,0.2857142857142857,full,8
134,87.1,19.0,0.15789473684210525,full,8
135,129.60000000000005,34.0,0.058823529411764705,full,8
136,75.1,9.0,0.3333333333333333,full,8
137,91.19999999999999,18.0,0.1111111111111111,full,8
138,162.0000000000001,40.0,0.0,full,8
139,153.0000000000001,40.0,0.05,full,8
140,82.8,12.0,0.16666666666666666,full,8
141,127.00000000000011,40.0,0.0,full,8
142,145.20000000000005,28.0,0.10714285714285714,full,8
143,153.0000000000001,40.0,0.075,full,8
144,174.50000000000009,35.0,0.05714285714285714,full,8
145,115.1,19.0,0.15789473684210525,full,8
146,174.4000000000001,36.0,0.05555555555555555,full,8
147,115.00000000000009,40.0,0.0,full,8
148,175.2000000000001,38.0,0.05263157894736842,full,8
149,164.00000000000014,40.0,0.025,full,8
150,55.5,5.0,0.4,full,8
151,72.3,7.0,0.2857142857142857,full,8
152,65.4,6.0,0.5,full,8
153,55.5,5.0,0.4,full,8
154,78.6,14.0,0.14285714285714285,full,8
155,93.6,14.0,0.5,full,8
156,70.89999999999999,11.0,0.18181818181818182,full,8
157,53.4,6.0,0.3333333333333333,full,8
158,88.39999999999998,16.0,0.125,full,8
159,92.6,14.0,0.14285714285714285,full,8
160,153.00000000000014,40.0,0.025,full,8
161,160.00000000000014,40.0,0.025,full,8
162,134.60000000000002,24.0,0.08333333333333333,full,8
163,128.30000000000004,27.0,0.07407407407407407,full,8
164,153.0000000000001,40.0,0.025,full,8
