episode,reward,steps,mode,seed
240,1053.4900000000007,31,random,3
241,1070.69,31,random,3
242,938.8600000000004,34,random,3
243,1153.3700000000008,63,random,3
244,1156.0600000000004,44,random,3
245,955.42,28,random,3
246,1024.4200000000003,28,random,3
247,1288.1000000000008,80,random,3
248,831.7199999999997,38,random,3
249,1273.4100000000008,59,random,3
250,1963.079999999998,72,random,3
251,781.0700000000003,23,random,3
252,1830.3199999999988,58,random,3
253,1192.500000000001,50,random,3
254,953.5700000000004,33,random,3
255,750.1399999999999,26,random,3
256,537.8000000000001,20,random,3
257,900.35,45,random,3
258,1548.6199999999994,58,random,3
259,861.1599999999997,34,random,3
260,582.1799999999998,22,random,3
261,1393.7400000000002,46,random,3
262,633.76,24,random,3
263,636.93,17,random,3
264,694.6199999999997,18,random,3
265,1461.33,57,random,3
266,806.9900000000004,21,random,3
267,1524.9599999999996,44,random,3
268,580.5800000000002,22,random,3
269,835.1499999999997,45,random,3
270,942.01,29,random,3
271,941.0800000000002,32,random,3
272,1557.9999999999984,100,random,3
273,808.7100000000003,39,random,3
274,882.3200000000004,38,random,3
275,1352.2900000000004,61,random,3
276,877.7000000000003,30,random,3
277,757.9099999999995,29,random,3
278,1046.2400000000002,46,random,3
279,706.3400000000001,16,random,3
280,937.9400000000004,36,random,3
281,629.4999999999999,30,random,3
282,769.9999999999998,30,random,3
283,1120.2600000000004,34,random,3
284,1036.5600000000004,34,random,3
285,884.3400000000004,36,random,3
286,711.7299999999999,27,random,3
287,999.8200000000004,48,random,3
288,711.2000000000003,30,random,3
289,989.7000000000004,30,random,3
290,1043.5900000000006,41,random,3
291,1297.3200000000006,38,random,3
292,896.6200000000003,38,random,3
293,1520.8699999999994,63,random,3
294,1010.97,33,random,3
295,877.3700000000001,23,random,3
296,954.8000000000004,30,random,3
297,931.0,40,random,3
298,1555.3899999999994,51,random,3
299,691.7700000000001,23,random,3
300,1053.1700000000003,33,random,3
301,1274.229999999999,37,random,3
302,1124.739999999999,46,random,3
303,970.0400000000004,36,random,3
304,693.3199999999999,18,random,3
305,578.4599999999999,14,random,3
306,863.3900000000001,21,random,3
307,1231.8700000000003,53,random,3
308,803.61,29,random,3
309,1046.1300000000006,37,random,3
310,807.0700000000002,23,random,3
311,1126.1300000000006,37,random,3
312,710.2099999999999,19,random,3
313,982.7500000000005,35,random,3
314,1149.2100000000005,39,random,3
315,693.9800000000002,32,random,3
316,710.8500000000004,35,random,3
317,638.8699999999999,23,random,3
318,979.69,51,random,3
319,1564.7299999999996,67,random,3
320,1145.0100000000011,49,random,3
321,1469.9500000000005,55,random,3
322,860.8700000000005,33,random,3
323,668.4799999999999,22,random,3
324,1164.1200000000003,38,random,3
325,753.0599999999997,24,random,3
326,926.03,37,random,3
327,1073.0300000000009,47,random,3
328,769.3600000000001,34,random,3
329,1051.4800000000002,32,random,3
330,845.8699999999999,33,random,3
331,919.4800000000002,22,random,3
332,671.4699999999998,23,random,3
333,653.5300000000001,27,random,3
334,1058.9100000000003,39,random,3
335,1037.5200000000002,28,random,3
336,978.0300000000004,27,random,3
337,750.8599999999998,24,random,3
338,1564.2699999999982,93,random,3
339,652.9099999999999,19,random,3
340,594.53,27,random,3
341,1564.059999999999,64,random,3
342,798.2,30,random,3
343,525.2399999999998,16,random,3
344,1545.699999999999,60,random,3
345,1160.3600000000006,44,random,3
346,935.6600000000004,24,random,3
347,882.1400000000002,36,random,3
348,977.5300000000004,27,random,3
349,860.9900000000002,31,random,3
350,1084.4100000000008,39,random,3
351,941.47,33,random,3
352,1797.7699999999995,53,random,3
353,693.28,22,random,3
354,955.5700000000004,43,random,3
355,1512.88,52,random,3
356,1163.7600000000002,34,random,3
357,638.2199999999999,18,random,3
358,1130.7800000000002,62,random,3
359,670.5300000000001,27,random,3
360,993.4199999999996,38,random,3
361,1408.7200000000005,38,random,3
362,932.66,14,random,3
363,865.7100000000003,39,random,3
364,1544.849999999998,85,random,3
365,636.6200000000001,28,random,3
366,955.34,36,random,3
367,921.8900000000002,31,random,3
368,601.1399999999996,26,random,3
369,824.5800000000002,22,random,3
370,1086.3100000000004,39,random,3
371,1605.9499999999985,65,random,3
372,732.0299999999999,37,random,3
373,1956.6699999999976,93,random,3
374,975.88,32,random,3
375,1007.36,54,random,3
376,1673.7099999999969,79,random,3
377,1007.15,25,random,3
378,969.15,35,random,3
379,1269.9100000000008,49,random,3
380,820.92,28,random,3
381,1134.4600000000005,64,random,3
382,1166.760000000001,44,random,3
383,1354.309999999999,49,random,3
384,743.1699999999998,33,random,3
385,919.0500000000004,25,random,3
386,863.9500000000003,25,random,3
387,888.28,42,random,3
388,1127.64,36,random,3
389,641.1600000000003,34,random,3
390,1051.3000000000002,30,random,3
391,712.8999999999997,30,random,3
392,768.0300000000001,27,random,3
393,1255.240000000001,46,random,3
394,897.6900000000004,31,random,3
395,1276.0300000000009,37,random,3
396,688.54,26,random,3
397,924.86,34,random,3
398,810.7,30,random,3
399,1969.309999999998,79,random,3
400,785.4599999999999,24,random,3
401,880.6300000000003,27,random,3
402,729.3199999999998,28,random,3
403,1004.11,49,random,3
404,807.81,19,random,3
405,1050.7399999999998,36,random,3
406,1333.35,35,random,3
407,1227.5400000000004,46,random,3
408,1384.199999999999,70,random,3
409,828.3799999999999,32,random,3
410,727.0300000000001,37,random,3
411,1037.91,39,random,3
412,2124.1299999999974,77,random,3
413,769.22,28,random,3
414,694.4999999999998,20,random,3
415,525.3699999999999,23,random,3
416,1035.8300000000004,27,random,3
417,764.7600000000002,24,random,3
418,666.48,32,random,3
419,993.7700000000004,33,random,3
420,1461.7699999999986,63,random,3
421,655.22,28,random,3
422,1266.4699999999998,43,random,3
423,1085.5299999999995,37,random,3
424,696.3,30,random,3
425,1270.6900000000005,41,random,3
426,1149.9000000000003,30,random,3
