episode,reward,steps,mode,seed
0,1125.760000000001,44,fixed,0
1,926.32,38,fixed,0
2,948.7800000000004,42,fixed,0
3,528.7899999999997,21,fixed,0
4,867.0100000000004,39,fixed,0
5,783.9800000000002,32,fixed,0
6,659.7299999999997,27,fixed,0
7,1047.87,43,fixed,0
8,1295.4700000000007,43,fixed,0
9,693.45,35,fixed,0
10,672.0699999999999,33,fixed,0
11,821.7700000000002,23,fixed,0
12,768.6399999999998,26,fixed,0
13,1083.400000000001,80,fixed,0
14,1112.8500000000004,55,fixed,0
15,672.0299999999999,37,fixed,0
16,693.0500000000001,25,fixed,0
17,811.1599999999996,44,fixed,0
18,724.8900000000001,31,fixed,0
19,868.6200000000006,48,fixed,0
20,826.8500000000001,35,fixed,0
21,471.68999999999994,31,fixed,0
22,775.2599999999998,34,fixed,0
23,482.44,26,fixed,0
24,708.3900000000001,31,fixed,0
25,755.1899999999998,31,fixed,0
26,1088.0300000000009,47,fixed,0
27,765.2300000000002,27,fixed,0
28,1070.0400000000009,46,fixed,0
29,526.5299999999999,17,fixed,0
30,1053.8700000000003,33,fixed,0
31,1387.099999999999,70,fixed,0
32,1148.7700000000004,53,fixed,0
33,653.0600000000001,24,fixed,0
34,954.2800000000004,52,fixed,0
35,724.6400000000001,26,fixed,0
36,1182.7100000000005,39,fixed,0
37,1261.730000000001,57,fixed,0
38,691.16,14,fixed,0
39,1794.6599999999976,74,fixed,0
40,825.2400000000002,36,fixed,0
41,807.4,30,fixed,0
42,923.3700000000003,43,fixed,0
43,861.8400000000001,26,fixed,0
44,976.5000000000005,50,fixed,0
45,1244.3000000000006,60,fixed,0
46,869.3599999999998,34,fixed,0
47,1008.8700000000002,63,fixed,0
48,885.3600000000002,34,fixed,0
49,835.6700000000003,33,fixed,0
50,787.4100000000004,39,fixed,0
51,952.1600000000004,34,fixed,0
52,941.0700000000004,33,fixed,0
53,673.2600000000001,44,fixed,0
54,817.79,41,fixed,0
55,1483.6799999999994,72,fixed,0
56,860.9,20,fixed,0
57,749.8100000000003,19,fixed,0
58,1044.37,43,fixed,0
59,652.53,17,fixed,0
60,467.8399999999999,16,fixed,0
61,1148.2300000000012,67,fixed,0
62,1210.940000000001,46,fixed,0
63,444.9699999999999,23,fixed,0
64,1282.19,61,fixed,0
65,1206.3199999999997,48,fixed,0
66,849.4999999999998,40,fixed,0
67,1060.9900000000002,41,fixed,0
68,1183.0400000000009,56,fixed,0
69,1639.4999999999984,100,fixed,0
70,482.5899999999999,21,fixed,0
71,752.4900000000002,21,fixed,0
72,1346.8800000000006,52,fixed,0
73,554.8000000000001,20,fixed,0
74,482.8299999999999,27,fixed,0
75,711.33,27,fixed,0
76,724.7800000000002,32,fixed,0
77,638.76,24,fixed,0
78,486.80999999999983,29,fixed,0
79,1237.1000000000008,60,fixed,0
80,1107.1699999999998,53,fixed,0
81,882.1100000000004,29,fixed,0
82,1011.3300000000004,37,fixed,0
83,1068.6,40,fixed,0
84,699.8599999999996,34,fixed,0
85,595.3499999999999,15,fixed,0
86,660.34,36,fixed,0
87,639.3899999999996,21,fixed,0
88,1316.6100000000006,49,fixed,0
89,952.4900000000004,31,fixed,0
90,939.6900000000004,31,fixed,0
91,1401.0399999999986,66,fixed,0
92,849.4199999999996,38,fixed,0
93,851.85,45,fixed,0
94,729.8900000000001,41,fixed,0
95,546.4299999999998,27,fixed,0
96,1212.7599999999998,54,fixed,0
97,523.5699999999999,13,fixed,0
98,1187.2100000000005,39,fixed,0
99,579.9600000000003,24,fixed,0
100,1213.3599999999997,44,fixed,0
101,974.89,31,fixed,0
102,705.31,19,fixed,0
103,862.3800000000005,42,fixed,0
104,523.87,23,fixed,0
