episode,reward,steps,mode,seed
0,1125.760000000001,44,fixed,2
1,926.32,38,fixed,2
2,948.7800000000004,42,fixed,2
3,528.7899999999997,21,fixed,2
4,867.0100000000004,39,fixed,2
5,783.9800000000002,32,fixed,2
6,659.7299999999997,27,fixed,2
7,1047.87,43,fixed,2
8,1295.4700000000007,43,fixed,2
9,693.45,35,fixed,2
10,672.0699999999999,33,fixed,2
11,821.7700000000002,23,fixed,2
12,768.6399999999998,26,fixed,2
13,1083.400000000001,80,fixed,2
14,1112.8500000000004,55,fixed,2
15,672.0299999999999,37,fixed,2
16,693.0500000000001,25,fixed,2
17,811.1599999999996,44,fixed,2
18,724.8900000000001,31,fixed,2
19,868.6200000000006,48,fixed,2
20,826.8500000000001,35,fixed,2
21,471.68999999999994,31,fixed,2
22,775.2599999999998,34,fixed,2
23,482.44,26,fixed,2
24,708.3900000000001,31,fixed,2
25,755.1899999999998,31,fixed,2
26,1088.0300000000009,47,fixed,2
27,765.2300000000002,27,fixed,2
28,1070.0400000000009,46,fixed,2
29,526.5299999999999,17,fixed,2
30,1053.8700000000003,33,fixed,2
31,1387.099999999999,70,fixed,2
32,1148.7700000000004,53,fixed,2
33,653.0600000000001,24,fixed,2
34,954.2800000000004,52,fixed,2
35,724.6400000000001,26,fixed,2
36,1182.7100000000005,39,fixed,2
37,1261.730000000001,57,fixed,2
38,691.16,14,fixed,2
39,1794.6599999999976,74,fixed,2
40,825.2400000000002,36,fixed,2
41,807.4,30,fixed,2
42,923.3700000000003,43,fixed,2
43,861.8400000000001,26,fixed,2
44,976.5000000000005,50,fixed,2
45,1244.3000000000006,60,fixed,2
46,869.3599999999998,34,fixed,2
47,1008.8700000000002,63,fixed,2
48,885.3600000000002,34,fixed,2
49,835.6700000000003,33,fixed,2
50,787.4100000000004,39,fixed,2
51,952.1600000000004,34,fixed,2
52,941.0700000000004,33,fixed,2
53,673.2600000000001,44,fixed,2
54,817.79,41,fixed,2
55,1483.6799999999994,72,fixed,2
56,860.9,20,fixed,2
57,749.8100000000003,19,fixed,2
58,1044.37,43,fixed,2
59,652.53,17,fixed,2
60,467.8399999999999,16,fixed,2
61,1148.2300000000012,67,fixed,2
62,1210.940000000001,46,fixed,2
63,444.9699999999999,23,fixed,2
64,1282.19,61,fixed,2
