episode,reward,steps,acc,mode,seed
1,73.9,11.0,0.36363636363636365,aggregated,3
2,66.0,10.0,0.3,aggregated,3
3,62.5,5.0,0.4,aggregated,3
4,122.70000000000002,33.0,0.06060606060606061,aggregated,3
5,63.199999999999996,8.0,0.25,aggregated,3
6,162.00000000000014,40.0,0.0,aggregated,3
7,148.00000000000014,40.0,0.0,aggregated,3
8,155.20000000000005,28.0,0.17857142857142858,aggregated,3
9,155.00000000000014,40.0,0.0,aggregated,3
10,162.0000000000001,40.0,0.0,aggregated,3
11,115.00000000000003,20.0,0.1,aggregated,3
12,157.10000000000005,29.0,0.10344827586206896,aggregated,3
13,51.9,11.0,0.18181818181818182,aggregated,3
14,115.80000000000001,22.0,0.13636363636363635,aggregated,3
15,183.00000000000014,40.0,0.0,aggregated,3
16,75.79999999999998,12.0,0.16666666666666666,aggregated,3
17,87.0,10.0,0.2,aggregated,3
18,176.00000000000014,40.0,0.0,aggregated,3
19,120.00000000000011,40.0,0.0,aggregated,3
20,147.10000000000005,29.0,0.06896551724137931,aggregated,3
21,161.20000000000005,28.0,0.07142857142857142,aggregated,3
22,150.0000000000001,40.0,0.025,aggregated,3
23,122.00000000000003,20.0,0.1,aggregated,3
24,134.0000000000001,40.0,0.0,aggregated,3
25,119.9,21.0,0.09523809523809523,aggregated,3
26,153.0000000000001,40.0,0.025,aggregated,3
27,53.4,6.0,0.3333333333333333,aggregated,3
28,129.00000000000003,20.0,0.1,aggregated,3
29,126.20000000000002,18.0,0.1111111111111111,aggregated,3
30,160.00000000000014,40.0,0.025,aggregated,3
31,125.50000000000003,25.0,0.08,aggregated,3
32,153.0000000000001,40.0,0.025,aggregated,3
33,104.00000000000009,40.0,0.025,aggregated,3
34,48.5,5.0,0.4,aggregated,3
35,131.00000000000009,40.0,0.0,aggregated,3
36,120.69999999999999,23.0,0.13043478260869565,aggregated,3
37,110.1,19.0,0.10526315789473684,aggregated,3
38,78.0,10.0,0.3,aggregated,3
39,187.10000000000008,39.0,0.05128205128205128,aggregated,3
40,148.0000000000001,40.0,0.0,aggregated,3
41,181.00000000000014,40.0,0.025,aggregated,3
42,146.0000000000001,40.0,0.025,aggregated,3
43,129.00000000000006,40.0,0.0,aggregated,3
44,72.4,6.0,0.5,aggregated,3
45,96.1,19.0,0.10526315789473684,aggregated,3
46,178.10000000000008,29.0,0.10344827586206896,aggregated,3
47,153.50000000000003,25.0,0.12,aggregated,3
48,70.19999999999999,8.0,0.25,aggregated,3
49,80.0,10.0,0.2,aggregated,3
50,141.0000000000001,40.0,0.0,aggregated,3
51,60.4,6.0,0.3333333333333333,aggregated,3
52,148.0000000000001,40.0,0.0,aggregated,3
53,119.1,19.0,0.10526315789473684,aggregated,3
54,188.00000000000014,40.0,0.025,aggregated,3
55,55.9,11.0,0.18181818181818182,aggregated,3
56,51.4,6.0,0.5,aggregated,3
57,75.19999999999999,8.0,0.5,aggregated,3
58,187.0000000000001,40.0,0.05,aggregated,3
59,122.00000000000003,20.0,0.1,aggregated,3
60,84.89999999999999,11.0,0.18181818181818182,aggregated,3
61,111.5,15.0,0.13333333333333333,aggregated,3
62,117.80000000000001,22.0,0.09090909090909091,aggregated,3
63,148.0000000000001,40.0,0.0,aggregated,3
64,155.0000000000001,40.0,0.0,aggregated,3
65,162.0000000000001,40.0,0.0,aggregated,3
66,190.6000000000001,34.0,0.058823529411764705,aggregated,3
67,181.6000000000001,34.0,0.08823529411764706,aggregated,3
68,136.00000000000009,40.0,0.0,aggregated,3
69,111.5,25.0,0.08,aggregated,3
70,114.30000000000001,17.0,0.11764705882352941,aggregated,3
71,65.3,7.0,0.2857142857142857,aggregated,3
72,70.19999999999999,8.0,0.25,aggregated,3
73,167.40000000000006,36.0,0.05555555555555555,aggregated,3
74,132.50000000000003,25.0,0.08,aggregated,3
75,160.50000000000006,25.0,0.08,aggregated,3
76,174.00000000000014,40.0,0.025,aggregated,3
77,61.9,11.0,0.2727272727272727,aggregated,3
78,132.40000000000003,16.0,0.625,aggregated,3
79,169.00000000000014,40.0,0.0,aggregated,3
80,119.20000000000005,28.0,0.07142857142857142,aggregated,3
81,136.70000000000005,23.0,0.08695652173913043,aggregated,3
82,178.00000000000014,40.0,0.0,aggregated,3
83,57.6,4.0,0.5,aggregated,3
84,51.3,7.0,0.2857142857142857,aggregated,3
85,153.0000000000001,40.0,0.025,aggregated,3
86,91.89999999999999,11.0,0.18181818181818182,aggregated,3
87,84.89999999999999,11.0,0.18181818181818182,aggregated,3
88,57.6,4.0,0.5,aggregated,3
89,82.79999999999998,12.0,0.16666666666666666,aggregated,3
90,57.6,4.0,0.5,aggregated,3
91,117.80000000000001,22.0,0.09090909090909091,aggregated,3
92,164.0000000000001,40.0,0.0,aggregated,3
93,134.00000000000009,40.0,0.025,aggregated,3
94,73.69999999999999,13.0,0.15384615384615385,aggregated,3
95,66.0,10.0,0.2,aggregated,3
96,75.1,9.0,0.2222222222222222,aggregated,3
97,49.2,8.0,0.25,aggregated,3
98,56.3,7.0,0.42857142857142855,aggregated,3
99,148.0000000000001,40.0,0.0,aggregated,3
100,66.69999999999999,13.0,0.15384615384615385,aggregated,3
101,98.9,21.0,0.09523809523809523,aggregated,3
102,116.4,16.0,0.125,aggregated,3
103,67.4,6.0,0.3333333333333333,aggregated,3
104,97.39999999999998,16.0,0.125,aggregated,3
105,148.0000000000001,40.0,0.0,aggregated,3
106,166.20000000000007,38.0,0.18421052631578946,aggregated,3
107,106.6,14.0,0.14285714285714285,aggregated,3
108,134.0000000000001,40.0,0.0,aggregated,3
109,60.4,6.0,0.3333333333333333,aggregated,3
110,72.3,7.0,0.2857142857142857,aggregated,3
111,164.00000000000009,30.0,0.06666666666666667,aggregated,3
112,151.50000000000003,25.0,0.12,aggregated,3
