episode,reward,steps,mode,seed
184,778.9599999999997,44,fixed,7
185,829.2700000000001,33,fixed,7
186,1173.1200000000003,58,fixed,7
187,1107.1000000000004,30,fixed,7
188,701.3699999999995,33,fixed,7
189,1557.9699999999991,73,fixed,7
190,886.4499999999999,35,fixed,7
191,1408.48,42,fixed,7
192,637.5399999999998,16,fixed,7
193,1546.4999999999986,60,fixed,7
194,819.4300000000002,27,fixed,7
195,642.0999999999998,30,fixed,7
196,996.2800000000004,42,fixed,7
197,659.1199999999999,38,fixed,7
198,730.08,32,fixed,7
199,784.2300000000004,27,fixed,7
200,637.53,17,fixed,7
201,695.4299999999998,27,fixed,7
202,1008.4600000000004,34,fixed,7
203,881.7600000000004,34,fixed,7
204,617.2599999999998,24,fixed,7
205,1262.2300000000005,37,fixed,7
206,802.9200000000002,28,fixed,7
207,1124.7200000000005,48,fixed,7
208,641.0699999999997,33,fixed,7
209,747.99,21,fixed,7
210,598.1699999999998,23,fixed,7
211,1057.480000000001,42,fixed,7
212,993.88,32,fixed,7
213,1152.3700000000006,43,fixed,7
214,930.07,43,fixed,7
215,1350.2000000000007,70,fixed,7
216,527.1899999999998,21,fixed,7
217,718.3399999999998,46,fixed,7
218,882.6600000000003,34,fixed,7
219,794.8600000000001,24,fixed,7
220,779.3100000000003,29,fixed,7
221,580.0399999999998,16,fixed,7
222,1075.1300000000003,47,fixed,7
223,1530.4999999999995,80,fixed,7
224,669.0900000000003,31,fixed,7
225,1430.489999999999,51,fixed,7
226,1142.6400000000008,46,fixed,7
227,1489.5999999999972,80,fixed,7
228,1050.5300000000002,27,fixed,7
229,1215.0400000000006,46,fixed,7
230,1180.3500000000006,35,fixed,7
231,985.9099999999996,49,fixed,7
232,881.4300000000004,27,fixed,7
233,1048.2300000000002,27,fixed,7
234,1098.94,66,fixed,7
235,686.7399999999999,26,fixed,7
236,768.3299999999998,27,fixed,7
237,710.7900000000001,21,fixed,7
238,979.5600000000004,34,fixed,7
239,1420.6600000000003,34,fixed,7
240,1053.4900000000007,31,fixed,7
241,1070.69,31,fixed,7
242,938.8600000000004,34,fixed,7
243,1153.3700000000008,63,fixed,7
244,1156.0600000000004,44,fixed,7
245,955.42,28,fixed,7
246,1024.4200000000003,28,fixed,7
247,1288.1000000000008,80,fixed,7
248,831.7199999999997,38,fixed,7
249,1273.4100000000008,59,fixed,7
250,1963.079999999998,72,fixed,7
251,781.0700000000003,23,fixed,7
252,1830.3199999999988,58,fixed,7
253,1192.500000000001,50,fixed,7
254,953.5700000000004,33,fixed,7
255,750.1399999999999,26,fixed,7
256,537.8000000000001,20,fixed,7
257,900.35,45,fixed,7
258,1548.6199999999994,58,fixed,7
259,861.1599999999997,34,fixed,7
260,582.1799999999998,22,fixed,7
261,1393.7400000000002,46,fixed,7
262,633.76,24,fixed,7
263,636.93,17,fixed,7
264,694.6199999999997,18,fixed,7
265,1461.33,57,fixed,7
266,806.9900000000004,21,fixed,7
267,1524.9599999999996,44,fixed,7
268,580.5800000000002,22,fixed,7
269,835.1499999999997,45,fixed,7
270,942.01,29,fixed,7
271,941.0800000000002,32,fixed,7
272,1557.9999999999984,100,fixed,7
273,808.7100000000003,39,fixed,7
274,882.3200000000004,38,fixed,7
275,1352.2900000000004,61,fixed,7
276,877.7000000000003,30,fixed,7
277,757.9099999999995,29,fixed,7
278,1046.2400000000002,46,fixed,7
279,706.3400000000001,16,fixed,7
280,937.9400000000004,36,fixed,7
281,629.4999999999999,30,fixed,7
282,769.9999999999998,30,fixed,7
283,1120.2600000000004,34,fixed,7
284,1036.5600000000004,34,fixed,7
285,884.3400000000004,36,fixed,7
286,711.7299999999999,27,fixed,7
287,999.8200000000004,48,fixed,7
288,711.2000000000003,30,fixed,7
289,989.7000000000004,30,fixed,7
290,1043.5900000000006,41,fixed,7
291,1297.3200000000006,38,fixed,7
292,896.6200000000003,38,fixed,7
293,1520.8699999999994,63,fixed,7
294,1010.97,33,fixed,7
295,877.3700000000001,23,fixed,7
296,954.8000000000004,30,fixed,7
297,931.0,40,fixed,7
298,1555.3899999999994,51,fixed,7
299,691.7700000000001,23,fixed,7
300,1053.1700000000003,33,fixed,7
301,1274.229999999999,37,fixed,7
302,1124.739999999999,46,fixed,7
303,970.0400000000004,36,fixed,7
304,693.3199999999999,18,fixed,7
305,578.4599999999999,14,fixed,7
306,863.3900000000001,21,fixed,7
307,1231.8700000000003,53,fixed,7
308,803.61,29,fixed,7
309,1046.1300000000006,37,fixed,7
310,807.0700000000002,23,fixed,7
311,1126.1300000000006,37,fixed,7
312,710.2099999999999,19,fixed,7
313,982.7500000000005,35,fixed,7
314,1149.2100000000005,39,fixed,7
315,693.9800000000002,32,fixed,7
316,710.8500000000004,35,fixed,7
317,638.8699999999999,23,fixed,7
318,979.69,51,fixed,7
319,1564.7299999999996,67,fixed,7
320,1145.0100000000011,49,fixed,7
321,1469.9500000000005,55,fixed,7
322,860.8700000000005,33,fixed,7
323,668.4799999999999,22,fixed,7
324,1164.1200000000003,38,fixed,7
325,753.0599999999997,24,fixed,7
326,926.03,37,fixed,7
327,1073.0300000000009,47,fixed,7
328,769.3600000000001,34,fixed,7
329,1051.4800000000002,32,fixed,7
330,845.8699999999999,33,fixed,7
331,919.4800000000002,22,fixed,7
332,671.4699999999998,23,fixed,7
333,653.5300000000001,27,fixed,7
334,1058.9100000000003,39,fixed,7
335,1037.5200000000002,28,fixed,7
336,978.0300000000004,27,fixed,7
337,750.8599999999998,24,fixed,7
338,1564.2699999999982,93,fixed,7
339,652.9099999999999,19,fixed,7
340,594.53,27,fixed,7
341,1564.059999999999,64,fixed,7
342,798.2,30,fixed,7
343,525.2399999999998,16,fixed,7
344,1545.699999999999,60,fixed,7
345,1160.3600000000006,44,fixed,7
346,935.6600000000004,24,fixed,7
347,882.1400000000002,36,fixed,7
348,977.5300000000004,27,fixed,7
349,860.9900000000002,31,fixed,7
350,1084.4100000000008,39,fixed,7
351,941.47,33,fixed,7
352,1797.7699999999995,53,fixed,7
353,693.28,22,fixed,7
354,955.5700000000004,43,fixed,7
355,1512.88,52,fixed,7
356,1163.7600000000002,34,fixed,7
357,638.2199999999999,18,fixed,7
358,1130.7800000000002,62,fixed,7
359,670.5300000000001,27,fixed,7
360,993.4199999999996,38,fixed,7
361,1408.7200000000005,38,fixed,7
362,932.66,14,fixed,7
363,865.7100000000003,39,fixed,7
364,1544.849999999998,85,fixed,7
365,636.6200000000001,28,fixed,7
366,955.34,36,fixed,7
367,921.8900000000002,31,fixed,7
368,601.1399999999996,26,fixed,7
369,824.5800000000002,22,fixed,7
370,1086.3100000000004,39,fixed,7
371,1605.9499999999985,65,fixed,7
372,732.0299999999999,37,fixed,7
373,1956.6699999999976,93,fixed,7
374,975.88,32,fixed,7
375,1007.36,54,fixed,7
376,1673.7099999999969,79,fixed,7
377,1007.15,25,fixed,7
378,969.15,35,fixed,7
379,1269.9100000000008,49,fixed,7
380,820.92,28,fixed,7
381,1134.4600000000005,64,fixed,7
382,1166.760000000001,44,fixed,7
383,1354.309999999999,49,fixed,7
384,743.1699999999998,33,fixed,7
385,919.0500000000004,25,fixed,7
386,863.9500000000003,25,fixed,7
387,888.28,42,fixed,7
388,1127.64,36,fixed,7
389,641.1600000000003,34,fixed,7
390,1051.3000000000002,30,fixed,7
391,712.8999999999997,30,fixed,7
392,768.0300000000001,27,fixed,7
393,1255.240000000001,46,fixed,7
394,897.6900000000004,31,fixed,7
395,1276.0300000000009,37,fixed,7
396,688.54,26,fixed,7
397,924.86,34,fixed,7
398,810.7,30,fixed,7
399,1969.309999999998,79,fixed,7
400,785.4599999999999,24,fixed,7
401,880.6300000000003,27,fixed,7
402,729.3199999999998,28,fixed,7
403,1004.11,49,fixed,7
404,807.81,19,fixed,7
405,1050.7399999999998,36,fixed,7
406,1333.35,35,fixed,7
407,1227.5400000000004,46,fixed,7
408,1384.199999999999,70,fixed,7
409,828.3799999999999,32,fixed,7
410,727.0300000000001,37,fixed,7
411,1037.91,39,fixed,7
412,2124.1299999999974,77,fixed,7
413,769.22,28,fixed,7
414,694.4999999999998,20,fixed,7
415,525.3699999999999,23,fixed,7
416,1035.8300000000004,27,fixed,7
417,764.7600000000002,24,fixed,7
418,666.48,32,fixed,7
419,993.7700000000004,33,fixed,7
420,1461.7699999999986,63,fixed,7
421,655.22,28,fixed,7
422,1266.4699999999998,43,fixed,7
423,1085.5299999999995,37,fixed,7
424,696.3,30,fixed,7
425,1270.6900000000005,41,fixed,7
426,1149.9000000000003,30,fixed,7
427,759.8400000000004,36,fixed,7
428,764.1600000000003,24,fixed,7
429,1166.8200000000006,38,fixed,7
430,772.7200000000001,48,fixed,7
431,866.32,28,fixed,7
432,879.8300000000002,27,fixed,7
433,920.6600000000004,24,fixed,7
434,804.0800000000002,32,fixed,7
435,634.15,15,fixed,7
436,1028.2100000000005,69,fixed,7
437,1208.7400000000002,36,fixed,7
438,837.6800000000002,52,fixed,7
439,892.67,33,fixed,7
440,692.4399999999998,36,fixed,7
441,862.69,21,fixed,7
442,1520.6799999999994,62,fixed,7
443,1472.1499999999996,85,fixed,7
444,1012.0099999999998,49,fixed,7
445,861.4100000000001,19,fixed,7
446,881.0700000000003,33,fixed,7
447,1412.61,49,fixed,7
448,636.62,18,fixed,7
449,921.4000000000002,30,fixed,7
450,728.3200000000004,28,fixed,7
451,1338.8399999999992,66,fixed,7
452,1542.8999999999992,50,fixed,7
453,785.0300000000002,27,fixed,7
454,546.8399999999997,26,fixed,7
455,1319.9199999999987,68,fixed,7
456,650.22,18,fixed,7
457,1666.519999999999,78,fixed,7
458,1165.96,34,fixed,7
459,525.2399999999998,16,fixed,7
460,1182.15,35,fixed,7
461,1110.9700000000007,43,fixed,7
462,1417.019999999999,68,fixed,7
463,1020.2900000000006,51,fixed,7
464,1160.4000000000003,40,fixed,7
465,696.7699999999998,23,fixed,7
466,733.1799999999997,32,fixed,7
467,920.5400000000004,26,fixed,7
468,804.7900000000001,21,fixed,7
469,903.35,45,fixed,7
470,1145.2400000000002,46,fixed,7
471,823.53,27,fixed,7
472,635.32,18,fixed,7
473,675.7099999999997,29,fixed,7
474,1145.6300000000006,27,fixed,7
475,1637.5099999999989,69,fixed,7
476,917.77,23,fixed,7
477,758.3299999999996,37,fixed,7
478,1356.3300000000004,47,fixed,7
479,1245.0600000000004,44,fixed,7
480,747.8700000000001,33,fixed,7
481,580.1399999999999,16,fixed,7
482,968.9,40,fixed,7
483,1186.4700000000007,43,fixed,7
484,1052.3800000000006,32,fixed,7
485,1049.8000000000004,30,fixed,7
486,899.6600000000003,34,fixed,7
487,955.9600000000006,34,fixed,7
488,1605.6899999999996,61,fixed,7
489,1107.2200000000005,28,fixed,7
490,1146.3600000000004,34,fixed,7
491,977.8900000000004,31,fixed,7
492,1098.7200000000012,68,fixed,7
493,862.34,26,fixed,7
494,839.1800000000001,32,fixed,7
495,1109.69,31,fixed,7
496,650.8999999999999,20,fixed,7
497,1489.0899999999997,41,fixed,7
498,1483.8699999999994,43,fixed,7
499,747.02,18,fixed,7
500,978.6900000000004,31,fixed,7
501,708.23,27,fixed,7
502,751.5999999999999,20,fixed,7
503,819.1900000000002,21,fixed,7
504,1853.099999999998,90,fixed,7
505,1885.499999999999,70,fixed,7
506,748.66,14,fixed,7
507,1052.73,27,fixed,7
508,1241.7900000000004,41,fixed,7
509,1044.5300000000002,27,fixed,7
510,708.95,15,fixed,7
511,830.6699999999998,33,fixed,7
512,1673.6699999999987,63,fixed,7
513,690.9,10,fixed,7
514,1102.6200000000006,48,fixed,7
515,840.5800000000003,32,fixed,7
516,1719.679999999999,62,fixed,7
517,881.8100000000003,29,fixed,7
518,1133.3100000000013,79,fixed,7
519,695.9999999999998,20,fixed,7
520,807.03,17,fixed,7
521,972.34,36,fixed,7
522,1051.6700000000003,33,fixed,7
523,764.2100000000002,19,fixed,7
524,522.8899999999999,11,fixed,7
525,1233.7900000000009,51,fixed,7
526,1634.0899999999988,71,fixed,7
527,712.84,26,fixed,7
528,752.1799999999998,22,fixed,7
529,1221.0100000000002,39,fixed,7
530,755.2200000000001,28,fixed,7
531,1105.3300000000006,47,fixed,7
532,879.16,34,fixed,7
533,866.64,26,fixed,7
534,1006.2000000000002,30,fixed,7
535,655.9799999999999,22,fixed,7
536,692.1400000000001,16,fixed,7
537,764.3499999999999,35,fixed,7
538,995.3000000000002,30,fixed,7
539,524.52,18,fixed,7
540,1128.3500000000004,45,fixed,7
541,849.7999999999998,40,fixed,7
542,1104.1300000000006,47,fixed,7
543,1464.959999999999,64,fixed,7
544,997.6400000000002,36,fixed,7
545,1235.4499999999998,55,fixed,7
546,1098.3800000000006,42,fixed,7
547,914.54,16,fixed,7
548,691.7600000000001,14,fixed,7
549,746.9100000000001,19,fixed,7
