episode,reward,steps,acc,mode,seed
1,78.00000000000001,40.0,0.0,full,6
2,179.00000000000014,40.0,0.375,full,6
3,113.00000000000009,40.0,0.025,full,6
4,114.4,16.0,0.1875,full,6
5,174.70000000000007,23.0,0.5652173913043478,full,6
6,176.00000000000014,40.0,0.0,full,6
7,120.0000000000001,40.0,0.0,full,6
8,121.0000000000001,40.0,0.1,full,6
9,155.00000000000014,40.0,0.0,full,6
10,162.0000000000001,40.0,0.0,full,6
11,139.0000000000001,40.0,0.05,full,6
12,162.0000000000001,40.0,0.0,full,6
13,155.00000000000014,40.0,0.0,full,6
14,65.3,7.0,0.2857142857142857,full,6
15,55.6,4.0,0.5,full,6
16,72.3,7.0,0.2857142857142857,full,6
17,41.5,5.0,0.4,full,6
18,149.30000000000004,27.0,0.07407407407407407,full,6
19,134.40000000000003,26.0,0.07692307692307693,full,6
20,77.19999999999999,8.0,0.25,full,6
21,148.0000000000001,40.0,0.0,full,6
22,150.80000000000007,32.0,0.09375,full,6
23,152.80000000000004,32.0,0.0625,full,6
24,237.80000000000013,32.0,0.5625,full,6
25,101.80000000000001,22.0,0.13636363636363635,full,6
26,167.0000000000001,40.0,0.025,full,6
27,169.00000000000014,40.0,0.0,full,6
28,172.00000000000014,40.0,0.05,full,6
29,95.89999999999999,11.0,0.6363636363636364,full,6
30,175.3000000000001,37.0,0.08108108108108109,full,6
31,155.0000000000001,40.0,0.0,full,6
32,162.50000000000006,35.0,0.05714285714285714,full,6
33,174.00000000000014,40.0,0.025,full,6
34,176.00000000000014,40.0,0.0,full,6
35,168.90000000000006,31.0,0.06451612903225806,full,6
36,155.0000000000001,40.0,0.0,full,6
37,155.00000000000014,40.0,0.0,full,6
38,146.50000000000006,25.0,0.08,full,6
39,72.3,7.0,0.2857142857142857,full,6
40,141.00000000000014,40.0,0.0,full,6
41,72.4,6.0,0.5,full,6
42,155.00000000000014,40.0,0.0,full,6
43,204.8000000000001,32.0,0.53125,full,6
44,221.00000000000017,40.0,0.4,full,6
45,65.4,6.0,0.5,full,6
46,119.20000000000002,18.0,0.1111111111111111,full,6
47,145.10000000000005,29.0,0.06896551724137931,full,6
48,171.00000000000006,30.0,0.06666666666666667,full,6
49,160.00000000000014,40.0,0.025,full,6
50,162.00000000000014,40.0,0.025,full,6
51,53.4,6.0,0.3333333333333333,full,6
52,167.0000000000001,40.0,0.025,full,6
53,150.0000000000001,40.0,0.0,full,6
54,133.90000000000003,21.0,0.09523809523809523,full,6
55,82.1,9.0,0.3333333333333333,full,6
56,162.0000000000001,40.0,0.0,full,6
57,108.0,20.0,0.1,full,6
58,134.60000000000005,24.0,0.08333333333333333,full,6
59,114.30000000000001,27.0,0.07407407407407407,full,6
60,38.1,9.0,0.2222222222222222,full,6
61,77.89999999999999,11.0,0.18181818181818182,full,6
62,100.39999999999998,16.0,0.1875,full,6
63,140.20000000000007,28.0,0.07142857142857142,full,6
64,161.20000000000007,28.0,0.10714285714285714,full,6
65,126.60000000000002,34.0,0.058823529411764705,full,6
66,162.00000000000014,40.0,0.0,full,6
67,125.70000000000002,23.0,0.17391304347826086,full,6
68,73.0,10.0,0.2,full,6
69,155.0000000000001,40.0,0.0,full,6
70,151.30000000000004,27.0,0.07407407407407407,full,6
71,49.2,8.0,0.25,full,6
72,174.00000000000014,40.0,0.025,full,6
73,167.6000000000001,34.0,0.08823529411764706,full,6
74,62.5,5.0,0.4,full,6
75,148.00000000000014,40.0,0.025,full,6
76,162.00000000000014,40.0,0.0,full,6
77,67.4,6.0,0.3333333333333333,full,6
78,62.5,5.0,0.4,full,6
79,46.9,11.0,0.18181818181818182,full,6
80,57.6,4.0,0.5,full,6
81,51.3,7.0,0.2857142857142857,full,6
82,58.3,7.0,0.2857142857142857,full,6
83,115.0,30.0,0.06666666666666667,full,6
84,83.3,7.0,0.8571428571428571,full,6
85,127.00000000000009,40.0,0.0,full,6
86,72.3,7.0,0.2857142857142857,full,6
87,132.00000000000014,40.0,0.025,full,6
88,94.69999999999999,13.0,0.15384615384615385,full,6
89,143.0000000000001,40.0,0.0,full,6
90,162.0000000000001,40.0,0.0,full,6
91,70.4,6.0,0.6666666666666666,full,6
92,142.00000000000009,40.0,0.175,full,6
93,110.19999999999999,18.0,0.16666666666666666,full,6
94,100.39999999999998,16.0,0.1875,full,6
95,142.30000000000007,37.0,0.05405405405405406,full,6
96,50.6,4.0,0.5,full,6
97,87.69999999999999,13.0,0.15384615384615385,full,6
98,155.0000000000001,40.0,0.0,full,6
99,75.1,9.0,0.2222222222222222,full,6
100,50.7,3.0,0.6666666666666666,full,6
101,175.00000000000014,40.0,0.15,full,6
102,68.19999999999999,8.0,0.375,full,6
103,68.8,12.0,0.25,full,6
104,141.00000000000009,40.0,0.0,full,6
105,167.50000000000009,35.0,0.05714285714285714,full,6
106,131.90000000000003,21.0,0.14285714285714285,full,6
107,158.0000000000001,40.0,0.05,full,6
108,176.00000000000014,40.0,0.0,full,6
109,106.6,14.0,0.14285714285714285,full,6
110,155.00000000000014,40.0,0.025,full,6
111,220.10000000000014,39.0,0.07692307692307693,full,6
112,78.6,14.0,0.14285714285714285,full,6
113,80.69999999999999,13.0,0.15384615384615385,full,6
114,153.0000000000001,40.0,0.025,full,6
115,143.0000000000001,40.0,0.0,full,6
116,58.2,8.0,0.25,full,6
117,93.29999999999998,17.0,0.17647058823529413,full,6
118,141.0000000000001,40.0,0.05,full,6
119,167.5000000000001,35.0,0.05714285714285714,full,6
120,127.00000000000009,40.0,0.0,full,6
121,148.00000000000014,40.0,0.0,full,6
122,186.5000000000001,35.0,0.08571428571428572,full,6
123,140.20000000000007,28.0,0.07142857142857142,full,6
124,162.0000000000001,40.0,0.0,full,6
125,251.0000000000001,30.0,0.7,full,6
126,89.09999999999998,19.0,0.10526315789473684,full,6
127,51.99999999999999,10.0,0.2,full,6
128,193.4000000000001,36.0,0.08333333333333333,full,6
129,80.6,14.0,0.14285714285714285,full,6
130,135.30000000000007,27.0,0.07407407407407407,full,6
131,72.4,6.0,0.5,full,6
132,101.69999999999999,13.0,0.15384615384615385,full,6
133,162.00000000000014,40.0,0.0,full,6
134,60.4,6.0,0.3333333333333333,full,6
135,113.0000000000001,40.0,0.0,full,6
136,87.0,10.0,0.2,full,6
137,162.00000000000014,40.0,0.0,full,6
138,99.5,15.0,0.13333333333333333,full,6
139,114.30000000000001,17.0,0.11764705882352941,full,6
140,155.0000000000001,40.0,0.0,full,6
141,112.9,21.0,0.09523809523809523,full,6
