episode,reward,steps,acc,mode,seed
1,223.50000000000009,25.0,0.76,aggregated,1
2,77.5,15.0,0.3333333333333333,aggregated,1
3,75.3,7.0,0.5714285714285714,aggregated,1
4,162.90000000000006,21.0,0.6190476190476191,aggregated,1
5,44.3,7.0,0.2857142857142857,aggregated,1
6,61.199999999999996,8.0,0.375,aggregated,1
7,68.3,7.0,0.5714285714285714,aggregated,1
8,54.1,9.0,0.2222222222222222,aggregated,1
9,100.1,9.0,0.7777777777777778,aggregated,1
10,44.4,6.0,0.3333333333333333,aggregated,1
11,105.19999999999999,28.0,0.35714285714285715,aggregated,1
12,44.2,8.0,0.25,aggregated,1
13,46.4,6.0,0.3333333333333333,aggregated,1
14,78.00000000000003,40.0,0.025,aggregated,1
15,44.3,7.0,0.2857142857142857,aggregated,1
16,173.1000000000001,39.0,0.05128205128205128,aggregated,1
17,171.0000000000001,40.0,0.05,aggregated,1
18,122.00000000000013,40.0,0.025,aggregated,1
19,169.0000000000001,40.0,0.0,aggregated,1
20,113.0000000000001,40.0,0.0,aggregated,1
21,137.40000000000006,26.0,0.07692307692307693,aggregated,1
22,169.00000000000014,40.0,0.025,aggregated,1
23,133.00000000000009,40.0,0.1,aggregated,1
24,177.30000000000007,37.0,0.10810810810810811,aggregated,1
25,188.00000000000014,40.0,0.025,aggregated,1
26,169.00000000000014,40.0,0.0,aggregated,1
27,141.70000000000002,23.0,0.13043478260869565,aggregated,1
28,169.00000000000014,40.0,0.0,aggregated,1
29,167.00000000000014,40.0,0.025,aggregated,1
30,60.4,6.0,0.3333333333333333,aggregated,1
31,141.00000000000014,40.0,0.0,aggregated,1
32,162.0000000000001,40.0,0.0,aggregated,1
33,162.0000000000001,40.0,0.025,aggregated,1
34,169.00000000000014,40.0,0.0,aggregated,1
35,148.0000000000001,40.0,0.0,aggregated,1
36,122.10000000000002,19.0,0.15789473684210525,aggregated,1
37,164.0000000000001,40.0,0.025,aggregated,1
38,120.60000000000002,24.0,0.08333333333333333,aggregated,1
39,169.00000000000014,40.0,0.025,aggregated,1
40,155.0000000000001,40.0,0.0,aggregated,1
41,174.0000000000001,40.0,0.05,aggregated,1
42,134.0000000000001,40.0,0.025,aggregated,1
43,190.00000000000014,40.0,0.0,aggregated,1
44,134.0000000000001,40.0,0.0,aggregated,1
45,95.39999999999999,16.0,0.125,aggregated,1
46,57.6,4.0,0.5,aggregated,1
47,125.00000000000009,40.0,0.025,aggregated,1
48,181.00000000000014,40.0,0.025,aggregated,1
49,164.0000000000001,40.0,0.0,aggregated,1
50,68.79999999999998,12.0,0.16666666666666666,aggregated,1
51,139.0000000000001,40.0,0.025,aggregated,1
52,206.1000000000001,39.0,0.07692307692307693,aggregated,1
53,77.89999999999999,11.0,0.18181818181818182,aggregated,1
54,141.0000000000001,40.0,0.0,aggregated,1
55,169.00000000000014,40.0,0.0,aggregated,1
56,142.40000000000003,26.0,0.11538461538461539,aggregated,1
57,151.0000000000001,40.0,0.05,aggregated,1
58,75.6,14.0,0.14285714285714285,aggregated,1
59,148.0000000000001,40.0,0.0,aggregated,1
60,155.50000000000003,35.0,0.05714285714285714,aggregated,1
61,169.00000000000014,40.0,0.0,aggregated,1
62,142.40000000000003,26.0,0.11538461538461539,aggregated,1
63,72.3,7.0,0.2857142857142857,aggregated,1
64,162.0000000000001,40.0,0.0,aggregated,1
65,153.0000000000001,40.0,0.05,aggregated,1
66,65.3,7.0,0.2857142857142857,aggregated,1
67,65.3,7.0,0.2857142857142857,aggregated,1
68,162.0000000000001,40.0,0.025,aggregated,1
69,77.19999999999999,8.0,0.25,aggregated,1
70,161.0000000000001,40.0,0.0,aggregated,1
71,53.400000000000006,6.0,0.3333333333333333,aggregated,1
72,221.70000000000007,33.0,0.3939393939393939,aggregated,1
73,55.5,5.0,0.4,aggregated,1
74,53.4,6.0,0.3333333333333333,aggregated,1
75,68.0,10.0,0.2,aggregated,1
76,93.99999999999999,20.0,0.1,aggregated,1
77,113.00000000000007,40.0,0.025,aggregated,1
78,58.3,7.0,0.2857142857142857,aggregated,1
79,56.900000000000006,11.0,0.18181818181818182,aggregated,1
80,70.19999999999999,8.0,0.25,aggregated,1
81,208.10000000000014,39.0,0.05128205128205128,aggregated,1
82,138.20000000000007,28.0,0.10714285714285714,aggregated,1
83,156.40000000000003,26.0,0.11538461538461539,aggregated,1
84,105.19999999999999,18.0,0.16666666666666666,aggregated,1
85,107.29999999999998,17.0,0.11764705882352941,aggregated,1
86,123.40000000000003,26.0,0.07692307692307693,aggregated,1
87,176.00000000000014,40.0,0.0,aggregated,1
