config,reward_mean,reward_sd,reward_n,reward_ci95_half,steps_mean,steps_sd,steps_n,steps_ci95_half,acc_mean,acc_sd,acc_n,acc_ci95_half
Fixed,766.68,0.0,10,0.0,32.0,0.0,10,0.0,,,0,
Random,766.68,0.0,10,0.0,32.0,0.0,10,0.0,,,0,
SARSA_agg,120.01000000000006,54.922560634648804,10,34.041355760701855,23.9,16.285303531439354,10,10.093735703120249,0.15812040368541916,0.1655272937326885,10,0.10259487957132601
SARSA_full,128.16000000000008,37.357736072257495,10,23.15456470629019,29.4,12.833982667555349,10,7.954584869397299,0.07359848484848483,0.07698814557082849,10,0.047717746995938726
