policy,seed,episode,phase,steps,reward,success,time_s
sarsa,42,0,,33,876.070000,1,0.001
sarsa,42,1,,26,538.940000,1,0.001
sarsa,42,2,,28,769.320000,1,0.001
sarsa,42,3,,24,750.460000,1,0.001
sarsa,42,4,,40,638.300000,0,0.001
sarsa,42,5,,40,504.900000,0,0.001
sarsa,42,6,,40,495.000000,0,0.001
sarsa,42,7,,13,636.070000,1,0.000
sarsa,42,8,,40,539.800000,0,0.001
sarsa,42,9,,22,806.880000,1,0.001
sarsa,42,10,,30,654.800000,1,0.001
sarsa,42,11,,40,1195.700000,0,0.001
sarsa,42,12,,35,773.750000,1,0.001
sarsa,42,13,,40,635.800000,0,0.001
sarsa,42,14,,22,639.280000,1,0.001
sarsa,42,15,,25,581.650000,1,0.001
sarsa,42,16,,37,714.230000,1,0.001
sarsa,42,17,,27,748.330000,1,0.001
sarsa,42,18,,40,367.100000,0,0.001
sarsa,42,19,,40,490.500000,0,0.001
sarsa,42,20,,40,773.700000,0,0.001
sarsa,42,21,,39,813.310000,1,0.001
sarsa,42,22,,31,841.590000,1,0.001
sarsa,42,23,,27,752.830000,1,0.001
sarsa,42,24,,40,703.900000,0,0.001
sarsa,42,25,,33,590.770000,1,0.001
sarsa,42,26,,40,503.700000,0,0.001
sarsa,42,27,,29,671.010000,1,0.001
sarsa,42,28,,24,521.960000,1,0.001
sarsa,42,29,,38,805.520000,1,0.001
sarsa,42,30,,30,785.500000,1,0.001
sarsa,42,31,,40,865.100000,0,0.001
sarsa,42,32,,40,1047.300000,0,0.001
sarsa,42,33,,24,528.660000,1,0.001
sarsa,42,34,,40,504.400000,0,0.001
sarsa,42,35,,40,501.000000,0,0.001
sarsa,42,36,,38,897.620000,1,0.001
sarsa,42,37,,29,542.310000,1,0.001
sarsa,42,38,,27,970.030000,1,0.001
sarsa,42,39,,23,635.970000,1,0.001
sarsa,42,40,,34,714.860000,1,0.001
sarsa,42,41,,40,567.100000,0,0.001
sarsa,42,42,,20,750.000000,1,0.000
sarsa,42,43,,39,877.410000,1,0.001
sarsa,42,44,,40,848.800000,0,0.001
sarsa,42,45,,40,918.600000,0,0.001
sarsa,42,46,,39,1093.610000,1,0.001
sarsa,42,47,,32,712.880000,1,0.001
sarsa,42,48,,31,808.290000,1,0.001
sarsa,42,49,,32,966.880000,1,0.001
sarsa,42,50,,27,583.230000,1,0.001
sarsa,42,51,,40,855.800000,0,0.001
sarsa,42,52,,26,524.640000,1,0.001
sarsa,42,53,,32,723.580000,1,0.001
sarsa,42,54,,17,524.730000,1,0.000
sarsa,42,55,,20,808.800000,1,0.000
sarsa,42,56,,40,599.000000,0,0.001
sarsa,42,57,,40,535.900000,0,0.001
sarsa,42,58,,40,770.300000,0,0.001
sarsa,42,59,,17,690.830000,1,0.000
sarsa,42,60,,40,409.800000,0,0.001
sarsa,42,61,,40,901.000000,1,0.001
sarsa,42,62,,33,670.470000,1,0.001
sarsa,42,63,,13,523.270000,1,0.000
sarsa,42,64,,40,394.000000,0,0.001
sarsa,42,65,,34,613.560000,1,0.001
sarsa,42,66,,24,864.460000,1,0.001
sarsa,42,67,,38,969.420000,1,0.001
sarsa,42,68,,18,636.920000,1,0.000
sarsa,42,69,,24,804.460000,1,0.001
sarsa,42,70,,40,486.200000,0,0.001
sarsa,42,71,,40,640.200000,0,0.001
sarsa,42,72,,17,523.130000,1,0.000
sarsa,42,73,,24,637.860000,1,0.001
sarsa,42,74,,40,422.600000,0,0.001
sarsa,42,75,,40,876.900000,0,0.001
sarsa,42,76,,17,578.430000,1,0.001
sarsa,42,77,,34,782.760000,1,0.001
sarsa,42,78,,19,804.410000,1,0.000
sarsa,42,79,,28,756.720000,1,0.001
sarsa,42,80,,37,859.530000,1,0.001
sarsa,42,81,,40,413.400000,0,0.001
sarsa,42,82,,33,880.870000,1,0.001
sarsa,42,83,,16,466.340000,1,0.000
sarsa,42,84,,40,1014.700000,1,0.001
sarsa,42,85,,39,950.310000,1,0.001
sarsa,42,86,,37,971.630000,1,0.001
sarsa,42,87,,27,932.430000,1,0.001
sarsa,42,88,,19,822.310000,1,0.001
sarsa,42,89,,20,583.000000,1,0.001
sarsa,42,90,,40,786.300000,1,0.001
sarsa,42,91,,35,994.250000,1,0.001
sarsa,42,92,,40,822.800000,1,0.001
sarsa,42,93,,31,628.190000,1,0.001
sarsa,42,94,,21,538.990000,1,0.001
sarsa,42,95,,40,899.100000,0,0.001
sarsa,42,96,,25,636.150000,1,0.001
sarsa,42,97,,40,633.800000,0,0.001
sarsa,42,98,,17,523.030000,1,0.000
sarsa,42,99,,21,750.590000,1,0.001
sarsa,42,100,,23,527.370000,1,0.001
sarsa,42,101,,40,674.100000,0,0.001
sarsa,42,102,,31,841.190000,1,0.001
sarsa,42,103,,30,706.200000,1,0.001
sarsa,42,104,,29,655.710000,1,0.001
sarsa,42,105,,40,753.700000,0,0.001
sarsa,42,106,,18,636.120000,1,0.000
sarsa,42,107,,40,735.500000,0,0.001
sarsa,42,108,,19,746.810000,1,0.000
sarsa,42,109,,20,578.900000,1,0.001
sarsa,42,110,,40,734.300000,0,0.001
sarsa,42,111,,40,504.800000,0,0.001
sarsa,42,112,,40,790.800000,0,0.001
sarsa,42,113,,40,564.700000,0,0.001
sarsa,42,114,,40,1043.000000,0,0.001
sarsa,42,115,,11,578.290000,1,0.000
sarsa,42,116,,30,1035.900000,1,0.001
sarsa,42,117,,11,522.690000,1,0.000
sarsa,42,118,,40,317.300000,0,0.001
sarsa,42,119,,21,636.590000,1,0.001
sarsa,42,120,,30,822.500000,1,0.001
sarsa,42,121,,28,882.820000,1,0.001
sarsa,42,122,,40,754.000000,0,0.001
sarsa,42,123,,34,802.160000,1,0.001
sarsa,42,124,,32,808.580000,1,0.001
