policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,29,937.310000,1,0.001
sarsa,0,1,,29,575.310000,1,0.001
sarsa,0,2,,40,787.100000,0,0.001
sarsa,0,3,,26,713.240000,1,0.001
sarsa,0,4,,40,537.800000,0,0.001
sarsa,0,5,,40,768.400000,0,0.001
sarsa,0,6,,40,528.400000,0,0.001
sarsa,0,7,,32,757.980000,1,0.001
sarsa,0,8,,34,977.660000,1,0.001
sarsa,0,9,,40,875.100000,0,0.001
sarsa,0,10,,20,652.700000,1,0.000
sarsa,0,11,,40,936.200000,0,0.001
sarsa,0,12,,40,603.400000,0,0.001
sarsa,0,13,,30,771.300000,1,0.001
sarsa,0,14,,29,981.810000,1,0.001
sarsa,0,15,,40,984.800000,1,0.001
sarsa,0,16,,31,894.790000,1,0.001
sarsa,0,17,,40,714.700000,0,0.001
sarsa,0,18,,18,696.220000,1,0.000
sarsa,0,19,,39,1137.510000,1,0.001
sarsa,0,20,,40,817.800000,0,0.001
sarsa,0,21,,40,766.300000,0,0.001
sarsa,0,22,,34,641.760000,1,0.001
sarsa,0,23,,23,710.570000,1,0.001
sarsa,0,24,,40,576.300000,0,0.001
sarsa,0,25,,40,810.000000,0,0.001
sarsa,0,26,,36,885.940000,1,0.001
sarsa,0,27,,28,639.320000,1,0.001
sarsa,0,28,,40,770.700000,0,0.001
sarsa,0,29,,40,734.500000,0,0.001
sarsa,0,30,,37,888.230000,1,0.001
sarsa,0,31,,40,697.600000,0,0.001
sarsa,0,32,,16,580.140000,1,0.000
sarsa,0,33,,37,937.430000,1,0.001
sarsa,0,34,,40,764.000000,0,0.001
sarsa,0,35,,33,611.270000,1,0.001
sarsa,0,36,,40,580.500000,0,0.001
sarsa,0,37,,21,765.390000,1,0.001
sarsa,0,38,,16,581.240000,1,0.000
sarsa,0,39,,31,898.490000,1,0.001
sarsa,0,40,,40,800.800000,0,0.001
sarsa,0,41,,30,780.200000,1,0.001
sarsa,0,42,,27,970.830000,1,0.001
sarsa,0,43,,40,604.100000,0,0.001
sarsa,0,44,,40,368.800000,0,0.001
sarsa,0,45,,40,999.700000,0,0.001
sarsa,0,46,,40,828.100000,0,0.001
sarsa,0,47,,38,1014.420000,1,0.001
sarsa,0,48,,40,632.400000,0,0.001
sarsa,0,49,,40,778.100000,0,0.001
sarsa,0,50,,40,1068.900000,1,0.001
sarsa,0,51,,20,582.100000,1,0.000
sarsa,0,52,,30,577.100000,1,0.001
sarsa,0,53,,22,861.280000,1,0.001
sarsa,0,54,,26,822.140000,1,0.001
sarsa,0,55,,40,618.300000,0,0.001
sarsa,0,56,,40,1034.800000,0,0.001
sarsa,0,57,,33,575.070000,1,0.001
sarsa,0,58,,38,876.620000,1,0.001
sarsa,0,59,,23,652.870000,1,0.001
sarsa,0,60,,25,708.850000,1,0.001
sarsa,0,61,,40,623.900000,0,0.001
sarsa,0,62,,24,881.060000,1,0.001
sarsa,0,63,,34,788.760000,1,0.001
sarsa,0,64,,30,668.200000,1,0.001
sarsa,0,65,,19,653.410000,1,0.000
sarsa,0,66,,26,919.940000,1,0.001
sarsa,0,67,,40,932.300000,0,0.001
sarsa,0,68,,39,768.410000,1,0.001
sarsa,0,69,,40,619.600000,0,0.001
sarsa,0,70,,14,692.360000,1,0.000
sarsa,0,71,,40,768.300000,0,0.001
sarsa,0,72,,40,889.400000,1,0.001
sarsa,0,73,,18,692.020000,1,0.000
sarsa,0,74,,40,977.700000,0,0.001
sarsa,0,75,,34,728.560000,1,0.001
sarsa,0,76,,40,765.800000,0,0.001
sarsa,0,77,,31,582.690000,1,0.001
sarsa,0,78,,40,561.100000,0,0.001
sarsa,0,79,,14,578.060000,1,0.000
sarsa,0,80,,27,754.730000,1,0.001
sarsa,0,81,,29,712.310000,1,0.001
sarsa,0,82,,19,580.010000,1,0.000
sarsa,0,83,,22,765.780000,1,0.001
sarsa,0,84,,23,747.170000,1,0.001
sarsa,0,85,,40,665.600000,0,0.001
sarsa,0,86,,39,1073.710000,1,0.001
sarsa,0,87,,40,903.700000,0,0.001
sarsa,0,88,,36,771.040000,1,0.001
sarsa,0,89,,40,677.700000,0,0.001
sarsa,0,90,,40,803.700000,0,0.001
sarsa,0,91,,27,748.430000,1,0.001
sarsa,0,92,,40,694.500000,0,0.001
sarsa,0,93,,40,805.300000,0,0.001
sarsa,0,94,,40,805.900000,0,0.001
sarsa,0,95,,31,939.390000,1,0.001
sarsa,0,96,,40,902.500000,0,0.001
sarsa,0,97,,24,595.860000,1,0.001
sarsa,0,98,,23,804.770000,1,0.001
sarsa,0,99,,39,1122.410000,1,0.001
sarsa,0,100,,40,885.800000,0,0.001
sarsa,0,101,,31,657.890000,1,0.001
sarsa,0,102,,31,828.990000,1,0.001
sarsa,0,103,,26,1058.240000,1,0.001
sarsa,0,104,,40,751.100000,0,0.001
sarsa,0,105,,38,843.620000,1,0.001
sarsa,0,106,,40,903.200000,1,0.001
sarsa,0,107,,40,749.200000,0,0.001
sarsa,0,108,,40,695.300000,0,0.001
sarsa,0,109,,40,509.400000,0,0.001
sarsa,0,110,,30,922.300000,1,0.001
sarsa,0,111,,16,522.040000,1,0.000
sarsa,0,112,,35,1069.150000,1,0.001
sarsa,0,113,,29,692.010000,1,0.001
sarsa,0,114,,24,895.260000,1,0.001
sarsa,0,115,,32,979.180000,1,0.001
sarsa,0,116,,16,580.640000,1,0.000
sarsa,0,117,,18,808.220000,1,0.000
sarsa,0,118,,26,752.440000,1,0.001
sarsa,0,119,,40,906.100000,0,0.001
sarsa,0,120,,31,672.090000,1,0.001
sarsa,0,121,,40,998.300000,1,0.001
sarsa,0,122,,40,861.700000,0,0.001
sarsa,0,123,,40,809.300000,0,0.001
sarsa,0,124,,36,928.840000,1,0.001
sarsa,0,125,,40,735.000000,0,0.001
sarsa,0,126,,20,805.900000,1,0.000
sarsa,0,127,,25,652.050000,1,0.001
sarsa,0,128,,32,839.080000,1,0.001
sarsa,0,129,,32,785.480000,1,0.001
sarsa,0,130,,31,919.890000,1,0.001
sarsa,0,131,,40,737.200000,0,0.001
sarsa,0,132,,35,935.650000,1,0.001
sarsa,0,133,,40,653.700000,0,0.001
sarsa,0,134,,40,890.300000,0,0.001
sarsa,0,135,,27,824.530000,1,0.001
sarsa,0,136,,33,784.770000,1,0.001
sarsa,0,137,,31,526.590000,1,0.001
sarsa,0,138,,40,717.700000,0,0.001
sarsa,0,139,,40,655.800000,0,0.001
sarsa,0,140,,40,739.000000,0,0.001
sarsa,0,141,,39,719.110000,1,0.001
sarsa,0,142,,40,1043.700000,0,0.001
sarsa,0,143,,40,864.500000,0,0.001
sarsa,0,144,,29,990.910000,1,0.001
sarsa,0,145,,27,697.830000,1,0.001
sarsa,0,146,,21,712.090000,1,0.001
sarsa,0,147,,37,1015.630000,1,0.001
sarsa,0,148,,23,763.770000,1,0.001
sarsa,0,149,,35,882.650000,1,0.001
sarsa,0,150,,33,867.370000,1,0.001
sarsa,0,151,,40,575.700000,0,0.001
sarsa,0,152,,30,860.300000,1,0.001
sarsa,0,153,,36,901.940000,1,0.001
sarsa,0,154,,40,1058.800000,0,0.001
