policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,26,541.740000,1,25,reward_spike>=190,0.001
sarsa,0,1,23,806.070000,1,22,reward_spike>=190,0.001
sarsa,0,2,40,807.000000,0,,,0.001
sarsa,0,3,26,416.040000,1,25,reward_spike>=190,0.001
sarsa,0,4,29,697.410000,1,28,reward_spike>=190,0.001
sarsa,0,5,40,778.200000,0,,,0.001
sarsa,0,6,29,652.910000,1,28,reward_spike>=190,0.001
sarsa,0,7,40,731.000000,0,,,0.001
sarsa,0,8,40,772.100000,0,,,0.001
sarsa,0,9,40,932.100000,0,,,0.001
sarsa,0,10,23,821.970000,1,22,reward_spike>=190,0.001
sarsa,0,11,40,655.200000,0,,,0.001
sarsa,0,12,33,655.070000,1,32,reward_spike>=190,0.001
sarsa,0,13,40,836.300000,0,,,0.001
sarsa,0,14,18,579.620000,1,17,reward_spike>=190,0.000
sarsa,0,15,40,656.000000,1,39,reward_spike>=190,0.001
sarsa,0,16,23,655.670000,1,22,reward_spike>=190,0.001
sarsa,0,17,25,543.750000,1,24,reward_spike>=190,0.001
sarsa,0,18,27,754.330000,1,26,reward_spike>=190,0.001
sarsa,0,19,27,656.330000,1,26,reward_spike>=190,0.001
sarsa,0,20,40,865.400000,0,,,0.001
sarsa,0,21,40,729.500000,0,,,0.001
sarsa,0,22,35,709.950000,1,34,reward_spike>=190,0.001
sarsa,0,23,40,739.000000,0,,,0.001
sarsa,0,24,40,693.700000,0,,,0.001
sarsa,0,25,29,616.310000,1,28,reward_spike>=190,0.001
sarsa,0,26,40,661.700000,0,,,0.001
sarsa,0,27,40,677.700000,0,,,0.001
sarsa,0,28,40,620.000000,0,,,0.001
sarsa,0,29,40,820.600000,0,,,0.001
sarsa,0,30,26,628.540000,1,25,reward_spike>=190,0.001
sarsa,0,31,24,878.960000,1,23,reward_spike>=190,0.001
sarsa,0,32,18,597.520000,1,17,reward_spike>=190,0.000
sarsa,0,33,40,822.000000,0,,,0.001
sarsa,0,34,31,868.090000,1,30,reward_spike>=190,0.001
sarsa,0,35,40,649.700000,0,,,0.001
sarsa,0,36,40,803.500000,0,,,0.001
sarsa,0,37,37,661.730000,1,36,reward_spike>=190,0.002
sarsa,0,38,40,940.700000,0,,,0.001
sarsa,0,39,40,727.500000,0,,,0.001
sarsa,0,40,26,657.740000,1,25,reward_spike>=190,0.001
sarsa,0,41,40,801.000000,0,,,0.001
sarsa,0,42,40,374.000000,0,,,0.001
sarsa,0,43,19,596.010000,1,18,reward_spike>=190,0.001
sarsa,0,44,29,824.610000,1,28,reward_spike>=190,0.001
sarsa,0,45,40,734.700000,0,,,0.001
sarsa,0,46,40,973.700000,0,,,0.001
sarsa,0,47,22,597.280000,1,21,reward_spike>=190,0.001
sarsa,0,48,31,530.290000,1,30,reward_spike>=190,0.001
sarsa,0,49,40,841.700000,0,,,0.001
sarsa,0,50,40,1031.000000,0,,,0.001
sarsa,0,51,39,934.210000,1,38,reward_spike>=190,0.001
sarsa,0,52,40,1042.500000,1,39,reward_spike>=190,0.001
sarsa,0,53,23,803.770000,1,22,reward_spike>=190,0.001
sarsa,0,54,26,639.440000,1,25,reward_spike>=190,0.001
sarsa,0,55,21,655.190000,1,20,reward_spike>=190,0.001
sarsa,0,56,40,851.900000,0,,,0.001
sarsa,0,57,27,654.330000,1,26,reward_spike>=190,0.001
sarsa,0,58,40,917.600000,0,,,0.001
sarsa,0,59,40,905.000000,0,,,0.001
sarsa,0,60,17,748.130000,1,16,reward_spike>=190,0.000
sarsa,0,61,24,781.460000,1,23,reward_spike>=190,0.001
sarsa,0,62,22,594.980000,1,21,reward_spike>=190,0.001
