policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,512.500000,0,,,0.001
sarsa,0,1,40,530.900000,0,,,0.001
sarsa,0,2,40,641.600000,0,,,0.001
sarsa,0,3,40,561.700000,0,,,0.001
sarsa,0,4,25,768.150000,1,24,reward_spike>=190,0.001
sarsa,0,5,38,1111.920000,1,37,reward_spike>=190,0.001
sarsa,0,6,24,480.360000,1,23,reward_spike>=190,0.001
sarsa,0,7,40,823.000000,0,,,0.001
sarsa,0,8,27,543.530000,1,26,reward_spike>=190,0.001
sarsa,0,9,40,508.800000,0,,,0.001
sarsa,0,10,35,658.350000,1,34,reward_spike>=190,0.001
sarsa,0,11,33,787.770000,1,32,reward_spike>=190,0.001
sarsa,0,12,40,899.900000,0,,,0.001
sarsa,0,13,40,537.500000,0,,,0.001
sarsa,0,14,26,751.040000,1,25,reward_spike>=190,0.001
sarsa,0,15,36,1071.540000,1,35,reward_spike>=190,0.001
sarsa,0,16,40,353.600000,0,,,0.001
sarsa,0,17,38,620.420000,1,37,reward_spike>=190,0.001
sarsa,0,18,27,650.730000,1,26,reward_spike>=190,0.001
sarsa,0,19,40,692.400000,0,,,0.001
sarsa,0,20,25,656.150000,1,24,reward_spike>=190,0.001
sarsa,0,21,27,824.830000,1,26,reward_spike>=190,0.001
sarsa,0,22,28,666.220000,1,27,reward_spike>=190,0.001
sarsa,0,23,40,772.000000,0,,,0.001
sarsa,0,24,38,955.920000,1,37,reward_spike>=190,0.001
sarsa,0,25,25,693.050000,1,24,reward_spike>=190,0.001
sarsa,0,26,40,1044.800000,0,,,0.001
sarsa,0,27,40,560.100000,0,,,0.001
sarsa,0,28,19,578.210000,1,18,reward_spike>=190,0.001
sarsa,0,29,30,708.900000,1,29,reward_spike>=190,0.001
sarsa,0,30,40,1090.300000,0,,,0.001
sarsa,0,31,22,795.680000,1,21,reward_spike>=190,0.001
sarsa,0,32,40,673.900000,0,,,0.001
sarsa,0,33,40,702.900000,0,,,0.001
sarsa,0,34,40,767.700000,0,,,0.001
sarsa,0,35,40,621.600000,0,,,0.001
