policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,33,920.770000,1,32,reward_spike>=190,0.001
sarsa,0,1,40,778.700000,0,,,0.001
sarsa,0,2,40,504.400000,0,,,0.001
sarsa,0,3,40,707.700000,0,,,0.001
sarsa,0,4,40,871.500000,0,,,0.001
sarsa,0,5,40,621.300000,0,,,0.001
sarsa,0,6,39,1040.910000,1,38,reward_spike>=190,0.001
sarsa,0,7,40,693.400000,0,,,0.001
sarsa,0,8,40,765.500000,0,,,0.001
sarsa,0,9,38,990.220000,0,,,0.001
sarsa,0,10,31,711.790000,1,30,reward_spike>=190,0.001
sarsa,0,11,40,876.600000,0,,,0.001
sarsa,0,12,37,1042.230000,1,36,reward_spike>=190,0.001
sarsa,0,13,40,760.100000,0,,,0.001
sarsa,0,14,26,802.640000,1,25,reward_spike>=190,0.001
sarsa,0,15,23,581.970000,1,22,reward_spike>=190,0.001
sarsa,0,16,18,594.220000,1,17,reward_spike>=190,0.000
sarsa,0,17,25,707.950000,1,24,reward_spike>=190,0.001
sarsa,0,18,32,996.480000,1,31,reward_spike>=190,0.001
sarsa,0,19,24,859.960000,1,23,reward_spike>=190,0.001
sarsa,0,20,40,919.000000,0,,,0.001
sarsa,0,21,34,921.660000,1,33,reward_spike>=190,0.001
sarsa,0,22,36,1001.340000,1,35,reward_spike>=190,0.001
sarsa,0,23,19,695.410000,1,18,reward_spike>=190,0.000
sarsa,0,24,32,726.780000,1,31,reward_spike>=190,0.001
sarsa,0,25,40,703.900000,0,,,0.001
sarsa,0,26,38,782.920000,1,37,reward_spike>=190,0.001
sarsa,0,27,26,807.540000,1,25,reward_spike>=190,0.001
sarsa,0,28,40,745.700000,0,,,0.001
sarsa,0,29,20,653.700000,1,19,reward_spike>=190,0.001
sarsa,0,30,29,991.310000,1,28,reward_spike>=190,0.001
sarsa,0,31,40,753.100000,0,,,0.001
sarsa,0,32,40,948.000000,0,,,0.001
sarsa,0,33,40,512.600000,0,,,0.001
sarsa,0,34,40,897.500000,0,,,0.001
sarsa,0,35,40,1046.300000,0,,,0.001
sarsa,0,36,33,925.170000,1,32,reward_spike>=190,0.001
sarsa,0,37,40,724.600000,0,,,0.001
sarsa,0,38,40,655.700000,0,,,0.001
sarsa,0,39,18,579.220000,1,17,reward_spike>=190,0.000
sarsa,0,40,40,1215.300000,1,39,reward_spike>=190,0.001
sarsa,0,41,40,410.500000,0,,,0.001
sarsa,0,42,38,948.120000,1,37,reward_spike>=190,0.001
sarsa,0,43,40,892.700000,0,,,0.001
sarsa,0,44,40,908.900000,0,,,0.001
sarsa,0,45,40,915.200000,0,,,0.001
sarsa,0,46,40,778.000000,0,,,0.001
sarsa,0,47,18,465.920000,1,17,reward_spike>=190,0.000
sarsa,0,48,20,639.000000,1,19,reward_spike>=190,0.001
sarsa,0,49,40,778.200000,0,,,0.001
sarsa,0,50,40,633.700000,0,,,0.001
sarsa,0,51,40,800.700000,0,,,0.001
sarsa,0,52,29,485.610000,1,28,reward_spike>=190,0.001
sarsa,0,53,34,845.360000,1,33,reward_spike>=190,0.001
sarsa,0,54,19,487.010000,0,,,0.000
sarsa,0,55,40,1035.500000,0,,,0.001
sarsa,0,56,20,635.500000,1,19,reward_spike>=190,0.001
sarsa,0,57,40,879.000000,0,,,0.001
sarsa,0,58,40,757.700000,0,,,0.001
sarsa,0,59,21,862.190000,1,20,reward_spike>=190,0.001
sarsa,0,60,33,914.070000,1,32,reward_spike>=190,0.001
sarsa,0,61,40,823.200000,0,,,0.001
sarsa,0,62,40,772.300000,0,,,0.001
sarsa,0,63,33,1237.470000,1,32,reward_spike>=190,0.001
sarsa,0,64,40,685.600000,0,,,0.001
sarsa,0,65,40,694.800000,0,,,0.001
sarsa,0,66,40,645.700000,0,,,0.001
sarsa,0,67,40,679.500000,0,,,0.001
sarsa,0,68,19,747.610000,1,18,reward_spike>=190,0.000
sarsa,0,69,40,738.700000,0,,,0.001
sarsa,0,70,40,682.500000,0,,,0.001
sarsa,0,71,40,662.800000,0,,,0.001
sarsa,0,72,20,581.100000,1,19,reward_spike>=190,0.001
sarsa,0,73,34,1025.860000,0,,,0.001
sarsa,0,74,39,1082.310000,1,38,reward_spike>=190,0.001
sarsa,0,75,40,538.700000,0,,,0.001
sarsa,0,76,32,956.980000,1,31,reward_spike>=190,0.001
sarsa,0,77,18,749.220000,1,17,reward_spike>=190,0.000
sarsa,0,78,25,977.150000,1,24,reward_spike>=190,0.001
sarsa,0,79,40,915.900000,0,,,0.001
sarsa,0,80,40,623.100000,0,,,0.001
sarsa,0,81,22,694.180000,1,21,reward_spike>=190,0.001
sarsa,0,82,34,934.460000,1,33,reward_spike>=190,0.001
sarsa,0,83,26,668.140000,1,25,reward_spike>=190,0.001
sarsa,0,84,40,1008.600000,0,,,0.001
sarsa,0,85,28,878.920000,1,27,reward_spike>=190,0.001
sarsa,0,86,40,538.800000,0,,,0.001
sarsa,0,87,40,814.700000,0,,,0.001
sarsa,0,88,40,875.400000,0,,,0.001
sarsa,0,89,25,585.750000,1,24,reward_spike>=190,0.001
sarsa,0,90,18,522.320000,1,17,reward_spike>=190,0.000
sarsa,0,91,40,612.500000,0,,,0.001
sarsa,0,92,40,1157.300000,0,,,0.001
sarsa,0,93,40,995.700000,0,,,0.001
sarsa,0,94,40,970.100000,0,,,0.001
sarsa,0,95,40,1060.800000,0,,,0.001
sarsa,0,96,40,489.800000,0,,,0.001
sarsa,0,97,19,578.610000,1,18,reward_spike>=190,0.001
sarsa,0,98,31,617.890000,0,,,0.001
sarsa,0,99,25,636.450000,1,24,reward_spike>=190,0.001
sarsa,0,100,40,637.100000,0,,,0.001
sarsa,0,101,24,582.860000,1,23,reward_spike>=190,0.001
sarsa,0,102,38,1124.720000,1,37,reward_spike>=190,0.001
sarsa,0,103,31,976.790000,1,30,reward_spike>=190,0.001
sarsa,0,104,40,635.300000,0,,,0.001
sarsa,0,105,40,751.500000,0,,,0.001
sarsa,0,106,40,799.400000,0,,,0.001
sarsa,0,107,28,1234.220000,1,27,reward_spike>=190,0.001
sarsa,0,108,37,728.530000,1,36,reward_spike>=190,0.001
sarsa,0,109,27,839.030000,1,26,reward_spike>=190,0.001
sarsa,0,110,26,860.140000,1,25,reward_spike>=190,0.001
sarsa,0,111,15,804.950000,1,14,reward_spike>=190,0.000
sarsa,0,112,28,868.120000,1,27,reward_spike>=190,0.001
sarsa,0,113,40,600.600000,0,,,0.001
sarsa,0,114,40,738.600000,0,,,0.001
sarsa,0,115,29,710.910000,1,28,reward_spike>=190,0.001
sarsa,0,116,38,1043.420000,1,37,reward_spike>=190,0.001
sarsa,0,117,22,579.180000,1,21,reward_spike>=190,0.001
sarsa,0,118,28,786.620000,1,27,reward_spike>=190,0.001
sarsa,0,119,40,584.500000,0,,,0.001
sarsa,0,120,40,847.400000,0,,,0.001
sarsa,0,121,34,921.860000,1,33,reward_spike>=190,0.001
sarsa,0,122,33,774.870000,1,32,reward_spike>=190,0.001
sarsa,0,123,36,616.540000,0,,,0.001
sarsa,0,124,40,1108.500000,0,,,0.001
sarsa,0,125,40,748.800000,0,,,0.001
sarsa,0,126,26,739.940000,1,25,reward_spike>=190,0.001
sarsa,0,127,21,538.790000,1,20,reward_spike>=190,0.001
sarsa,0,128,33,867.870000,1,32,reward_spike>=190,0.001
sarsa,0,129,40,672.100000,0,,,0.001
sarsa,0,130,31,624.990000,1,30,reward_spike>=190,0.001
sarsa,0,131,40,761.800000,0,,,0.001
sarsa,0,132,40,850.600000,0,,,0.001
sarsa,0,133,34,1164.660000,1,33,reward_spike>=190,0.001
sarsa,0,134,24,580.760000,1,23,reward_spike>=190,0.001
sarsa,0,135,40,716.500000,0,,,0.001
sarsa,0,136,40,561.000000,0,,,0.001
sarsa,0,137,40,636.900000,0,,,0.001
sarsa,0,138,40,1025.700000,0,,,0.001
sarsa,0,139,40,535.400000,0,,,0.001
sarsa,0,140,40,825.600000,0,,,0.001
sarsa,0,141,22,695.080000,1,21,reward_spike>=190,0.001
sarsa,0,142,34,670.960000,1,33,reward_spike>=190,0.001
sarsa,0,143,40,702.500000,0,,,0.001
sarsa,0,144,37,1096.430000,1,36,reward_spike>=190,0.001
sarsa,0,145,34,997.360000,1,33,reward_spike>=190,0.001
sarsa,0,146,40,691.800000,0,,,0.001
