policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,685.700000,0,,,0.001
sarsa,0,1,35,757.750000,1,34,reward_spike>=190,0.001
sarsa,0,2,40,338.900000,0,,,0.001
sarsa,0,3,33,657.570000,1,32,reward_spike>=190,0.001
sarsa,0,4,40,787.800000,0,,,0.001
sarsa,0,5,40,666.200000,0,,,0.001
sarsa,0,6,40,848.100000,0,,,0.001
sarsa,0,7,40,609.100000,0,,,0.001
sarsa,0,8,40,617.700000,0,,,0.001
sarsa,0,9,36,840.840000,1,35,reward_spike>=190,0.001
sarsa,0,10,15,466.450000,1,14,reward_spike>=190,0.000
sarsa,0,11,40,471.900000,0,,,0.001
sarsa,0,12,35,769.950000,1,34,reward_spike>=190,0.001
sarsa,0,13,27,807.030000,1,26,reward_spike>=190,0.001
sarsa,0,14,29,714.210000,1,28,reward_spike>=190,0.001
sarsa,0,15,40,708.900000,0,,,0.001
sarsa,0,16,16,465.940000,1,15,reward_spike>=190,0.000
sarsa,0,17,18,650.820000,1,17,reward_spike>=190,0.000
sarsa,0,18,23,697.670000,1,22,reward_spike>=190,0.001
sarsa,0,19,40,1000.200000,0,,,0.001
sarsa,0,20,40,723.000000,0,,,0.001
sarsa,0,21,24,584.260000,1,23,reward_spike>=190,0.001
sarsa,0,22,40,353.200000,0,,,0.001
sarsa,0,23,27,697.130000,1,26,reward_spike>=190,0.001
sarsa,0,24,40,516.800000,0,,,0.001
sarsa,0,25,40,795.500000,0,,,0.001
sarsa,0,26,35,995.650000,1,34,reward_spike>=190,0.001
sarsa,0,27,40,639.600000,0,,,0.001
sarsa,0,28,27,632.230000,1,26,reward_spike>=190,0.001
sarsa,0,29,40,706.000000,0,,,0.001
sarsa,0,30,40,667.000000,0,,,0.001
sarsa,0,31,23,654.070000,1,22,reward_spike>=190,0.001
sarsa,0,32,40,514.300000,0,,,0.001
sarsa,0,33,35,743.850000,1,34,reward_spike>=190,0.001
sarsa,0,34,40,542.800000,0,,,0.001
sarsa,0,35,32,748.380000,1,31,reward_spike>=190,0.001
sarsa,0,36,27,642.530000,1,26,reward_spike>=190,0.001
sarsa,0,37,35,854.750000,1,34,reward_spike>=190,0.001
sarsa,0,38,40,818.100000,0,,,0.001
sarsa,0,39,40,496.600000,0,,,0.001
sarsa,0,40,39,905.510000,1,38,reward_spike>=190,0.001
sarsa,0,41,22,636.180000,1,21,reward_spike>=190,0.001
sarsa,0,42,40,908.200000,0,,,0.001
sarsa,0,43,27,628.930000,1,26,reward_spike>=190,0.001
sarsa,0,44,40,706.600000,0,,,0.001
sarsa,0,45,19,751.310000,1,18,reward_spike>=190,0.000
sarsa,0,46,40,738.900000,0,,,0.001
sarsa,0,47,40,1130.100000,0,,,0.001
sarsa,0,48,20,412.400000,1,19,reward_spike>=190,0.001
sarsa,0,49,40,408.800000,0,,,0.001
sarsa,0,50,21,654.690000,1,20,reward_spike>=190,0.001
sarsa,0,51,15,524.650000,1,14,reward_spike>=190,0.000
sarsa,0,52,40,805.300000,0,,,0.001
sarsa,0,53,40,807.600000,0,,,0.001
sarsa,0,54,40,880.000000,0,,,0.001
sarsa,0,55,33,678.370000,1,32,reward_spike>=190,0.001
sarsa,0,56,29,829.210000,1,28,reward_spike>=190,0.001
sarsa,0,57,31,829.190000,1,30,reward_spike>=190,0.001
sarsa,0,58,28,919.720000,1,27,reward_spike>=190,0.001
sarsa,0,59,21,807.690000,1,20,reward_spike>=190,0.001
sarsa,0,60,29,771.310000,1,28,reward_spike>=190,0.001
sarsa,0,61,40,676.200000,0,,,0.001
sarsa,0,62,25,749.850000,1,24,reward_spike>=190,0.001
sarsa,0,63,17,689.830000,1,16,reward_spike>=190,0.000
sarsa,0,64,23,580.370000,1,22,reward_spike>=190,0.001
sarsa,0,65,38,720.720000,1,37,reward_spike>=190,0.001
sarsa,0,66,13,467.470000,1,12,reward_spike>=190,0.000
sarsa,0,67,40,902.400000,0,,,0.001
sarsa,0,68,34,728.660000,1,33,reward_spike>=190,0.001
sarsa,0,69,35,841.750000,1,34,reward_spike>=190,0.001
sarsa,0,70,30,771.300000,1,29,reward_spike>=190,0.001
sarsa,0,71,36,765.240000,1,35,reward_spike>=190,0.001
sarsa,0,72,32,810.580000,1,31,reward_spike>=190,0.001
sarsa,0,73,40,640.600000,0,,,0.001
sarsa,0,74,40,426.500000,0,,,0.001
sarsa,0,75,39,640.910000,1,38,reward_spike>=190,0.001
sarsa,0,76,40,781.200000,0,,,0.001
sarsa,0,77,35,878.350000,1,34,reward_spike>=190,0.001
sarsa,0,78,38,774.420000,1,37,reward_spike>=190,0.001
sarsa,0,79,40,696.800000,0,,,0.001
sarsa,0,80,32,542.280000,1,31,reward_spike>=190,0.001
sarsa,0,81,40,638.500000,0,,,0.001
sarsa,0,82,40,754.000000,0,,,0.001
sarsa,0,83,19,747.610000,1,18,reward_spike>=190,0.000
sarsa,0,84,14,691.160000,1,13,reward_spike>=190,0.000
sarsa,0,85,40,673.000000,0,,,0.001
sarsa,0,86,24,709.760000,1,23,reward_spike>=190,0.001
sarsa,0,87,23,754.070000,1,22,reward_spike>=190,0.001
sarsa,0,88,14,578.860000,1,13,reward_spike>=190,0.000
sarsa,0,89,37,863.130000,0,,,0.001
sarsa,0,90,37,889.130000,1,36,reward_spike>=190,0.001
sarsa,0,91,29,765.310000,1,28,reward_spike>=190,0.001
sarsa,0,92,40,460.900000,0,,,0.001
sarsa,0,93,40,723.300000,0,,,0.001
sarsa,0,94,33,821.370000,1,32,reward_spike>=190,0.001
sarsa,0,95,21,649.790000,1,20,reward_spike>=190,0.001
sarsa,0,96,31,786.990000,1,30,reward_spike>=190,0.001
sarsa,0,97,33,969.070000,0,,,0.001
sarsa,0,98,40,808.500000,0,,,0.001
sarsa,0,99,30,919.500000,1,29,reward_spike>=190,0.001
sarsa,0,100,40,935.400000,0,,,0.001
sarsa,0,101,40,929.900000,0,,,0.001
sarsa,0,102,30,491.200000,1,29,reward_spike>=190,0.001
sarsa,0,103,40,792.500000,0,,,0.001
sarsa,0,104,39,887.610000,1,38,reward_spike>=190,0.001
