policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,789.900000,0,,,0.003
sarsa,0,1,37,798.330000,1,36,reward_spike>=190,0.001
sarsa,0,2,40,500.400000,0,,,0.001
sarsa,0,3,29,811.610000,1,28,reward_spike>=190,0.001
sarsa,0,4,40,899.500000,1,39,reward_spike>=190,0.003
sarsa,0,5,40,563.500000,0,,,0.003
sarsa,0,6,40,831.500000,0,,,0.011
sarsa,0,7,40,840.600000,0,,,0.004
sarsa,0,8,40,714.500000,0,,,0.006
sarsa,0,9,39,1039.310000,1,38,reward_spike>=190,0.001
sarsa,0,10,19,636.310000,1,18,reward_spike>=190,0.001
sarsa,0,11,40,849.200000,0,,,0.003
sarsa,0,12,40,843.800000,0,,,0.003
sarsa,0,13,40,446.200000,0,,,0.001
sarsa,0,14,26,753.140000,1,25,reward_spike>=190,0.002
sarsa,0,15,35,828.050000,1,34,reward_spike>=190,0.004
sarsa,0,16,36,924.440000,1,35,reward_spike>=190,0.001
sarsa,0,17,31,653.790000,1,30,reward_spike>=190,0.002
sarsa,0,18,40,698.000000,0,,,0.003
sarsa,0,19,18,748.720000,1,17,reward_spike>=190,0.002
sarsa,0,20,35,922.450000,1,34,reward_spike>=190,0.002
sarsa,0,21,27,712.630000,1,26,reward_spike>=190,0.001
sarsa,0,22,40,398.400000,0,,,0.003
sarsa,0,23,40,523.800000,0,,,0.001
sarsa,0,24,40,551.700000,0,,,0.001
sarsa,0,25,21,710.290000,1,20,reward_spike>=190,0.001
sarsa,0,26,33,868.670000,1,32,reward_spike>=190,0.001
sarsa,0,27,25,654.650000,1,24,reward_spike>=190,0.002
sarsa,0,28,34,636.460000,1,33,reward_spike>=190,0.003
sarsa,0,29,40,862.300000,0,,,0.003
sarsa,0,30,38,1319.920000,1,37,reward_spike>=190,0.001
sarsa,0,31,40,688.300000,0,,,0.004
sarsa,0,32,18,750.120000,1,17,reward_spike>=190,0.001
sarsa,0,33,39,984.510000,1,38,reward_spike>=190,0.001
sarsa,0,34,34,774.160000,1,33,reward_spike>=190,0.004
sarsa,0,35,31,807.090000,1,30,reward_spike>=190,0.001
sarsa,0,36,40,904.800000,0,,,0.003
sarsa,0,37,25,637.650000,1,24,reward_spike>=190,0.002
sarsa,0,38,40,579.200000,0,,,0.001
sarsa,0,39,40,747.900000,0,,,0.002
sarsa,0,40,30,631.200000,0,,,0.001
sarsa,0,41,40,554.800000,0,,,0.001
sarsa,0,42,25,804.050000,1,24,reward_spike>=190,0.001
sarsa,0,43,26,642.840000,1,25,reward_spike>=190,0.001
sarsa,0,44,40,614.700000,0,,,0.001
sarsa,0,45,40,747.800000,0,,,0.001
sarsa,0,46,40,636.800000,0,,,0.002
sarsa,0,47,30,700.000000,0,,,0.001
sarsa,0,48,20,579.200000,1,19,reward_spike>=190,0.001
sarsa,0,49,31,782.790000,1,30,reward_spike>=190,0.002
sarsa,0,50,40,591.800000,0,,,0.002
sarsa,0,51,33,958.370000,1,32,reward_spike>=190,0.001
sarsa,0,52,40,561.200000,0,,,0.001
sarsa,0,53,31,881.790000,1,30,reward_spike>=190,0.001
sarsa,0,54,40,1020.700000,0,,,0.001
sarsa,0,55,40,896.600000,0,,,0.001
sarsa,0,56,18,483.320000,1,17,reward_spike>=190,0.001
sarsa,0,57,39,900.310000,1,38,reward_spike>=190,0.002
sarsa,0,58,29,716.310000,0,,,0.001
sarsa,0,59,18,861.520000,1,17,reward_spike>=190,0.001
sarsa,0,60,40,785.400000,0,,,0.001
sarsa,0,61,32,841.880000,1,31,reward_spike>=190,0.001
sarsa,0,62,40,532.600000,0,,,0.002
sarsa,0,63,32,935.280000,1,31,reward_spike>=190,0.002
sarsa,0,64,37,1111.930000,1,36,reward_spike>=190,0.001
sarsa,0,65,16,693.240000,1,15,reward_spike>=190,0.000
sarsa,0,66,26,555.140000,1,25,reward_spike>=190,0.001
sarsa,0,67,24,487.560000,1,23,reward_spike>=190,0.001
sarsa,0,68,32,923.480000,1,31,reward_spike>=190,0.001
sarsa,0,69,40,997.100000,0,,,0.001
sarsa,0,70,21,693.890000,1,20,reward_spike>=190,0.001
sarsa,0,71,40,777.700000,0,,,0.001
sarsa,0,72,22,539.580000,1,21,reward_spike>=190,0.001
sarsa,0,73,29,824.710000,1,28,reward_spike>=190,0.003
sarsa,0,74,40,710.100000,0,,,0.001
sarsa,0,75,26,689.540000,1,25,reward_spike>=190,0.001
sarsa,0,76,35,585.250000,1,34,reward_spike>=190,0.001
sarsa,0,77,40,895.900000,1,39,reward_spike>=190,0.001
sarsa,0,78,31,933.790000,1,30,reward_spike>=190,0.001
sarsa,0,79,19,580.210000,1,18,reward_spike>=190,0.001
sarsa,0,80,17,481.530000,1,16,reward_spike>=190,0.001
sarsa,0,81,23,615.970000,1,22,reward_spike>=190,0.001
sarsa,0,82,31,694.890000,1,30,reward_spike>=190,0.001
sarsa,0,83,34,770.060000,1,33,reward_spike>=190,0.001
sarsa,0,84,34,733.160000,1,33,reward_spike>=190,0.001
sarsa,0,85,28,845.520000,1,27,reward_spike>=190,0.001
sarsa,0,86,24,695.660000,1,23,reward_spike>=190,0.001
sarsa,0,87,26,804.740000,1,25,reward_spike>=190,0.001
sarsa,0,88,20,807.900000,1,19,reward_spike>=190,0.001
sarsa,0,89,40,780.600000,0,,,0.001
sarsa,0,90,40,658.500000,0,,,0.001
sarsa,0,91,32,611.380000,1,31,reward_spike>=190,0.001
sarsa,0,92,40,438.800000,0,,,0.001
sarsa,0,93,40,809.800000,0,,,0.001
sarsa,0,94,24,810.060000,1,23,reward_spike>=190,0.001
sarsa,0,95,28,937.620000,1,27,reward_spike>=190,0.001
sarsa,0,96,40,651.800000,0,,,0.001
sarsa,0,97,34,828.960000,1,33,reward_spike>=190,0.001
sarsa,0,98,40,1131.300000,0,,,0.001
sarsa,0,99,33,809.470000,1,32,reward_spike>=190,0.001
sarsa,0,100,21,766.190000,1,20,reward_spike>=190,0.001
sarsa,0,101,17,524.630000,1,16,reward_spike>=190,0.000
sarsa,0,102,26,865.540000,1,25,reward_spike>=190,0.001
sarsa,0,103,40,945.400000,0,,,0.001
sarsa,0,104,40,849.200000,0,,,0.001
sarsa,0,105,37,1040.030000,1,36,reward_spike>=190,0.001
sarsa,0,106,33,1049.770000,1,32,reward_spike>=190,0.001
sarsa,0,107,40,1001.800000,0,,,0.001
sarsa,0,108,40,834.000000,0,,,0.001
sarsa,0,109,31,939.490000,1,30,reward_spike>=190,0.001
sarsa,0,110,40,1057.100000,0,,,0.001
sarsa,0,111,29,713.510000,1,28,reward_spike>=190,0.002
sarsa,0,112,38,656.820000,1,37,reward_spike>=190,0.001
sarsa,0,113,20,916.400000,1,19,reward_spike>=190,0.001
sarsa,0,114,21,696.590000,1,20,reward_spike>=190,0.001
sarsa,0,115,40,808.300000,0,,,0.001
sarsa,0,116,27,710.630000,1,26,reward_spike>=190,0.001
sarsa,0,117,27,697.130000,1,26,reward_spike>=190,0.001
sarsa,0,118,28,695.020000,1,27,reward_spike>=190,0.001
sarsa,0,119,20,583.000000,1,19,reward_spike>=190,0.001
sarsa,0,120,39,961.110000,1,38,reward_spike>=190,0.001
sarsa,0,121,34,701.760000,1,33,reward_spike>=190,0.001
sarsa,0,122,24,750.860000,1,23,reward_spike>=190,0.001
