policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,28,807.320000,1,27,reward_spike>=190,0.001
sarsa,0,1,28,599.220000,1,27,reward_spike>=190,0.001
sarsa,0,2,40,531.700000,0,,,0.001
sarsa,0,3,40,727.900000,0,,,0.001
sarsa,0,4,40,481.000000,0,,,0.001
sarsa,0,5,38,999.320000,1,37,reward_spike>=190,0.001
sarsa,0,6,33,924.070000,1,32,reward_spike>=190,0.001
sarsa,0,7,40,654.200000,0,,,0.001
sarsa,0,8,27,632.930000,1,26,reward_spike>=190,0.001
sarsa,0,9,33,879.570000,1,32,reward_spike>=190,0.001
sarsa,0,10,28,504.020000,1,27,reward_spike>=190,0.001
sarsa,0,11,40,523.700000,0,,,0.001
sarsa,0,12,28,808.020000,1,27,reward_spike>=190,0.001
sarsa,0,13,40,864.400000,0,,,0.001
sarsa,0,14,13,579.770000,1,12,reward_spike>=190,0.000
sarsa,0,15,40,570.100000,0,,,0.001
sarsa,0,16,40,653.600000,0,,,0.001
sarsa,0,17,33,672.370000,1,32,reward_spike>=190,0.001
sarsa,0,18,14,578.860000,1,13,reward_spike>=190,0.000
sarsa,0,19,30,798.600000,1,29,reward_spike>=190,0.001
sarsa,0,20,28,695.020000,1,27,reward_spike>=190,0.001
sarsa,0,21,40,937.500000,0,,,0.001
sarsa,0,22,40,680.600000,0,,,0.001
sarsa,0,23,35,1148.250000,1,34,reward_spike>=190,0.001
sarsa,0,24,37,756.530000,1,36,reward_spike>=190,0.001
sarsa,0,25,21,598.390000,1,20,reward_spike>=190,0.001
sarsa,0,26,29,1104.810000,1,28,reward_spike>=190,0.001
sarsa,0,27,30,825.400000,1,29,reward_spike>=190,0.001
sarsa,0,28,26,762.140000,1,25,reward_spike>=190,0.001
sarsa,0,29,36,654.340000,1,35,reward_spike>=190,0.001
sarsa,0,30,21,693.190000,1,20,reward_spike>=190,0.001
sarsa,0,31,40,634.400000,0,,,0.001
sarsa,0,32,40,770.000000,0,,,0.001
sarsa,0,33,40,808.200000,0,,,0.001
sarsa,0,34,24,692.360000,1,23,reward_spike>=190,0.001
sarsa,0,35,40,684.400000,0,,,0.001
sarsa,0,36,40,707.400000,0,,,0.001
sarsa,0,37,40,819.700000,0,,,0.001
sarsa,0,38,40,806.700000,0,,,0.001
sarsa,0,39,40,467.800000,0,,,0.001
sarsa,0,40,40,600.800000,1,39,reward_spike>=190,0.001
sarsa,0,41,17,466.430000,1,16,reward_spike>=190,0.000
sarsa,0,42,21,764.390000,1,20,reward_spike>=190,0.001
sarsa,0,43,34,827.960000,1,33,reward_spike>=190,0.001
sarsa,0,44,32,932.980000,1,31,reward_spike>=190,0.001
sarsa,0,45,40,416.400000,0,,,0.001
sarsa,0,46,26,615.640000,1,25,reward_spike>=190,0.001
sarsa,0,47,20,634.700000,1,19,reward_spike>=190,0.001
sarsa,0,48,29,716.210000,0,,,0.001
sarsa,0,49,30,617.200000,0,,,0.001
