policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,508.100000,0,,,0.001
sarsa,0,1,29,707.910000,1,28,reward_spike>=190,0.001
sarsa,0,2,24,642.460000,1,23,reward_spike>=190,0.001
sarsa,0,3,40,260.500000,0,,,0.001
sarsa,0,4,24,709.960000,1,23,reward_spike>=190,0.001
sarsa,0,5,24,806.160000,1,23,reward_spike>=190,0.001
sarsa,0,6,35,922.050000,1,34,reward_spike>=190,0.001
sarsa,0,7,22,528.380000,1,21,reward_spike>=190,0.001
sarsa,0,8,40,498.400000,0,,,0.001
sarsa,0,9,40,643.300000,0,,,0.001
sarsa,0,10,40,598.800000,0,,,0.001
sarsa,0,11,40,722.400000,0,,,0.001
sarsa,0,12,40,550.400000,0,,,0.001
sarsa,0,13,38,756.420000,1,37,reward_spike>=190,0.001
sarsa,0,14,34,799.160000,1,33,reward_spike>=190,0.001
sarsa,0,15,16,523.140000,1,15,reward_spike>=190,0.000
sarsa,0,16,40,488.500000,0,,,0.001
sarsa,0,17,40,672.700000,0,,,0.001
sarsa,0,18,40,751.700000,0,,,0.001
sarsa,0,19,26,768.940000,1,25,reward_spike>=190,0.001
sarsa,0,20,33,641.370000,1,32,reward_spike>=190,0.001
sarsa,0,21,18,465.720000,1,17,reward_spike>=190,0.000
sarsa,0,22,40,575.500000,0,,,0.001
sarsa,0,23,40,658.500000,0,,,0.001
sarsa,0,24,35,910.350000,1,34,reward_spike>=190,0.001
sarsa,0,25,26,583.640000,1,25,reward_spike>=190,0.001
sarsa,0,26,29,780.710000,1,28,reward_spike>=190,0.001
sarsa,0,27,40,839.300000,0,,,0.001
sarsa,0,28,40,522.100000,0,,,0.001
sarsa,0,29,40,753.600000,0,,,0.001
sarsa,0,30,40,639.500000,0,,,0.001
sarsa,0,31,37,760.730000,1,36,reward_spike>=190,0.001
sarsa,0,32,37,870.730000,1,36,reward_spike>=190,0.001
sarsa,0,33,15,466.150000,1,14,reward_spike>=190,0.000
sarsa,0,34,32,696.780000,1,31,reward_spike>=190,0.001
sarsa,0,35,40,834.700000,0,,,0.001
sarsa,0,36,40,598.200000,0,,,0.001
sarsa,0,37,24,876.460000,1,23,reward_spike>=190,0.001
