policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,507.500000,0,,,0.001
sarsa,0,1,40,557.900000,0,,,0.001
sarsa,0,2,40,486.100000,0,,,0.001
sarsa,0,3,40,716.400000,0,,,0.001
sarsa,0,4,19,692.610000,1,18,reward_spike>=190,0.001
sarsa,0,5,29,877.610000,1,28,reward_spike>=190,0.001
sarsa,0,6,40,567.200000,0,,,0.001
sarsa,0,7,25,709.050000,1,24,reward_spike>=190,0.001
sarsa,0,8,40,970.700000,0,,,0.001
sarsa,0,9,31,597.690000,1,30,reward_spike>=190,0.001
sarsa,0,10,40,512.000000,0,,,0.001
sarsa,0,11,17,466.730000,1,16,reward_spike>=190,0.000
sarsa,0,12,31,655.290000,1,30,reward_spike>=190,0.001
sarsa,0,13,28,766.620000,1,27,reward_spike>=190,0.001
sarsa,0,14,22,695.080000,1,21,reward_spike>=190,0.001
sarsa,0,15,40,566.900000,0,,,0.001
sarsa,0,16,40,1074.000000,0,,,0.001
sarsa,0,17,25,580.050000,1,24,reward_spike>=190,0.001
sarsa,0,18,23,523.470000,1,22,reward_spike>=190,0.001
sarsa,0,19,39,941.710000,1,38,reward_spike>=190,0.001
sarsa,0,20,40,546.300000,0,,,0.001
sarsa,0,21,25,540.250000,1,24,reward_spike>=190,0.001
sarsa,0,22,40,1031.100000,0,,,0.001
sarsa,0,23,16,633.440000,1,15,reward_spike>=190,0.000
sarsa,0,24,26,579.140000,1,25,reward_spike>=190,0.001
sarsa,0,25,40,619.200000,0,,,0.001
sarsa,0,26,40,964.200000,0,,,0.001
sarsa,0,27,40,747.700000,0,,,0.001
sarsa,0,28,40,488.800000,0,,,0.001
sarsa,0,29,21,525.190000,1,20,reward_spike>=190,0.001
sarsa,0,30,32,940.580000,0,,,0.001
sarsa,0,31,18,537.320000,1,17,reward_spike>=190,0.001
sarsa,0,32,40,338.800000,0,,,0.001
sarsa,0,33,18,634.820000,1,17,reward_spike>=190,0.001
sarsa,0,34,40,316.700000,0,,,0.001
sarsa,0,35,40,592.500000,0,,,0.001
sarsa,0,36,25,896.550000,1,24,reward_spike>=190,0.001
sarsa,0,37,35,955.650000,1,34,reward_spike>=190,0.001
sarsa,0,38,40,680.400000,0,,,0.001
sarsa,0,39,34,586.060000,1,33,reward_spike>=190,0.001
sarsa,0,40,15,691.450000,1,14,reward_spike>=190,0.000
sarsa,0,41,30,823.000000,1,29,reward_spike>=190,0.001
sarsa,0,42,40,1007.700000,0,,,0.001
sarsa,0,43,36,1088.540000,1,35,reward_spike>=190,0.001
sarsa,0,44,40,555.900000,0,,,0.001
sarsa,0,45,40,510.900000,0,,,0.001
