policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,479.300000,0,,,0.001
sarsa,0,1,27,839.230000,1,26,reward_spike>=190,0.001
sarsa,0,2,40,628.300000,0,,,0.001
sarsa,0,3,33,823.170000,1,32,reward_spike>=190,0.001
sarsa,0,4,27,598.330000,1,26,reward_spike>=190,0.001
sarsa,0,5,34,695.560000,1,33,reward_spike>=190,0.001
sarsa,0,6,40,582.000000,0,,,0.001
sarsa,0,7,30,584.100000,1,29,reward_spike>=190,0.001
sarsa,0,8,40,510.100000,0,,,0.001
sarsa,0,9,40,647.500000,0,,,0.001
sarsa,0,10,25,671.350000,1,24,reward_spike>=190,0.001
sarsa,0,11,34,768.260000,1,33,reward_spike>=190,0.001
sarsa,0,12,40,786.100000,0,,,0.001
sarsa,0,13,38,1011.020000,1,37,reward_spike>=190,0.001
sarsa,0,14,21,693.290000,1,20,reward_spike>=190,0.001
sarsa,0,15,32,1203.180000,1,31,reward_spike>=190,0.001
sarsa,0,16,40,1096.000000,1,39,reward_spike>=190,0.001
sarsa,0,17,32,647.580000,1,31,reward_spike>=190,0.001
sarsa,0,18,40,898.200000,0,,,0.001
sarsa,0,19,40,936.100000,0,,,0.001
sarsa,0,20,20,806.700000,1,19,reward_spike>=190,0.001
sarsa,0,21,40,820.200000,0,,,0.001
sarsa,0,22,34,977.060000,1,33,reward_spike>=190,0.001
sarsa,0,23,34,616.560000,1,33,reward_spike>=190,0.001
sarsa,0,24,40,693.900000,0,,,0.001
sarsa,0,25,40,873.600000,0,,,0.001
sarsa,0,26,40,432.100000,0,,,0.001
sarsa,0,27,31,824.990000,1,30,reward_spike>=190,0.001
sarsa,0,28,40,733.500000,0,,,0.001
sarsa,0,29,40,530.600000,0,,,0.001
sarsa,0,30,21,638.090000,1,20,reward_spike>=190,0.001
sarsa,0,31,19,582.610000,1,18,reward_spike>=190,0.001
sarsa,0,32,25,715.550000,1,24,reward_spike>=190,0.001
sarsa,0,33,40,873.400000,1,39,reward_spike>=190,0.001
