policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,737.500000,0,,,0.001
sarsa,0,1,40,749.000000,0,,,0.001
sarsa,0,2,40,794.400000,0,,,0.001
sarsa,0,3,40,433.800000,0,,,0.001
sarsa,0,4,40,543.300000,0,,,0.001
sarsa,0,5,40,560.100000,0,,,0.001
sarsa,0,6,40,893.600000,0,,,0.001
sarsa,0,7,40,696.000000,0,,,0.001
sarsa,0,8,40,432.700000,0,,,0.001
sarsa,0,9,40,647.600000,0,,,0.001
sarsa,0,10,24,694.960000,1,23,reward_spike>=190,0.001
sarsa,0,11,34,784.060000,1,33,reward_spike>=190,0.001
sarsa,0,12,26,652.540000,1,25,reward_spike>=190,0.001
sarsa,0,13,27,641.530000,1,26,reward_spike>=190,0.001
sarsa,0,14,22,692.380000,1,21,reward_spike>=190,0.001
sarsa,0,15,40,621.400000,0,,,0.001
sarsa,0,16,36,773.540000,1,35,reward_spike>=190,0.001
sarsa,0,17,23,635.970000,1,22,reward_spike>=190,0.001
sarsa,0,18,16,524.640000,1,15,reward_spike>=190,0.000
sarsa,0,19,40,509.400000,0,,,0.001
sarsa,0,20,40,724.000000,0,,,0.001
sarsa,0,21,23,752.770000,1,22,reward_spike>=190,0.001
sarsa,0,22,40,524.300000,0,,,0.001
sarsa,0,23,40,862.600000,0,,,0.001
sarsa,0,24,40,781.200000,0,,,0.001
sarsa,0,25,23,694.470000,1,22,reward_spike>=190,0.001
sarsa,0,26,25,753.750000,1,24,reward_spike>=190,0.001
sarsa,0,27,40,753.400000,1,39,reward_spike>=190,0.001
sarsa,0,28,40,153.900000,0,,,0.001
sarsa,0,29,23,487.070000,1,22,reward_spike>=190,0.001
sarsa,0,30,14,411.460000,1,13,reward_spike>=190,0.000
sarsa,0,31,28,488.820000,1,27,reward_spike>=190,0.001
sarsa,0,32,40,634.600000,0,,,0.001
sarsa,0,33,18,526.420000,1,17,reward_spike>=190,0.000
sarsa,0,34,40,482.500000,0,,,0.001
sarsa,0,35,19,525.310000,1,18,reward_spike>=190,0.000
sarsa,0,36,40,570.700000,0,,,0.001
sarsa,0,37,37,954.830000,1,36,reward_spike>=190,0.001
sarsa,0,38,40,876.100000,0,,,0.001
sarsa,0,39,26,712.340000,1,25,reward_spike>=190,0.001
sarsa,0,40,36,884.840000,1,35,reward_spike>=190,0.001
sarsa,0,41,36,954.240000,1,35,reward_spike>=190,0.001
sarsa,0,42,38,719.320000,1,37,reward_spike>=190,0.001
sarsa,0,43,15,466.950000,1,14,reward_spike>=190,0.000
sarsa,0,44,21,752.190000,1,20,reward_spike>=190,0.001
sarsa,0,45,17,468.430000,1,16,reward_spike>=190,0.000
sarsa,0,46,40,815.700000,0,,,0.001
sarsa,0,47,40,576.400000,0,,,0.001
sarsa,0,48,28,827.420000,1,27,reward_spike>=190,0.001
sarsa,0,49,30,819.300000,1,29,reward_spike>=190,0.001
sarsa,0,50,40,525.000000,0,,,0.001
sarsa,0,51,40,797.600000,0,,,0.001
sarsa,0,52,15,638.750000,1,14,reward_spike>=190,0.000
sarsa,0,53,40,1071.200000,0,,,0.001
sarsa,0,54,30,828.100000,1,29,reward_spike>=190,0.001
sarsa,0,55,40,758.600000,0,,,0.001
sarsa,0,56,28,808.120000,1,27,reward_spike>=190,0.001
sarsa,0,57,33,638.170000,1,32,reward_spike>=190,0.001
sarsa,0,58,31,878.790000,1,30,reward_spike>=190,0.001
sarsa,0,59,17,578.330000,1,16,reward_spike>=190,0.000
sarsa,0,60,40,840.300000,0,,,0.001
