policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,29,740.610000,1,28,reward_spike>=190,0.001
sarsa,0,1,40,861.300000,0,,,0.001
sarsa,0,2,40,651.600000,0,,,0.001
sarsa,0,3,33,996.770000,1,32,reward_spike>=190,0.001
sarsa,0,4,40,570.100000,0,,,0.001
sarsa,0,5,39,693.510000,1,38,reward_spike>=190,0.001
sarsa,0,6,40,732.400000,0,,,0.001
sarsa,0,7,40,408.600000,0,,,0.001
sarsa,0,8,19,412.210000,1,18,reward_spike>=190,0.000
sarsa,0,9,17,635.130000,1,16,reward_spike>=190,0.000
sarsa,0,10,40,592.600000,0,,,0.001
sarsa,0,11,40,650.300000,0,,,0.001
sarsa,0,12,16,691.240000,1,15,reward_spike>=190,0.000
sarsa,0,13,40,817.000000,0,,,0.001
sarsa,0,14,15,467.450000,1,14,reward_spike>=190,0.000
sarsa,0,15,22,580.380000,1,21,reward_spike>=190,0.001
sarsa,0,16,40,607.300000,0,,,0.001
sarsa,0,17,25,920.850000,1,24,reward_spike>=190,0.001
sarsa,0,18,16,522.640000,1,15,reward_spike>=190,0.000
sarsa,0,19,34,866.160000,1,33,reward_spike>=190,0.001
sarsa,0,20,23,634.870000,1,22,reward_spike>=190,0.001
sarsa,0,21,40,762.400000,0,,,0.001
sarsa,0,22,31,824.190000,1,30,reward_spike>=190,0.001
sarsa,0,23,24,693.660000,1,23,reward_spike>=190,0.001
sarsa,0,24,40,500.900000,0,,,0.001
sarsa,0,25,17,634.830000,1,16,reward_spike>=190,0.000
sarsa,0,26,38,650.220000,1,37,reward_spike>=190,0.001
sarsa,0,27,25,750.850000,1,24,reward_spike>=190,0.001
sarsa,0,28,39,868.110000,1,38,reward_spike>=190,0.001
sarsa,0,29,29,886.410000,1,28,reward_spike>=190,0.001
sarsa,0,30,31,597.790000,1,30,reward_spike>=190,0.001
sarsa,0,31,38,921.220000,1,37,reward_spike>=190,0.001
sarsa,0,32,18,524.520000,1,17,reward_spike>=190,0.000
sarsa,0,33,40,933.800000,0,,,0.001
sarsa,0,34,31,764.490000,1,30,reward_spike>=190,0.001
sarsa,0,35,27,727.930000,1,26,reward_spike>=190,0.001
sarsa,0,36,40,672.000000,0,,,0.001
sarsa,0,37,40,746.800000,0,,,0.001
sarsa,0,38,40,846.200000,0,,,0.001
sarsa,0,39,28,807.020000,1,27,reward_spike>=190,0.001
sarsa,0,40,26,931.740000,1,25,reward_spike>=190,0.001
sarsa,0,41,40,743.200000,0,,,0.001
sarsa,0,42,40,555.500000,0,,,0.001
sarsa,0,43,40,602.900000,0,,,0.001
sarsa,0,44,40,741.600000,0,,,0.001
sarsa,0,45,40,654.600000,0,,,0.001
sarsa,0,46,40,618.000000,0,,,0.001
sarsa,0,47,40,804.900000,0,,,0.001
sarsa,0,48,30,840.800000,1,29,reward_spike>=190,0.001
sarsa,0,49,40,773.400000,0,,,0.001
sarsa,0,50,26,994.640000,1,25,reward_spike>=190,0.001
sarsa,0,51,40,849.900000,1,39,reward_spike>=190,0.001
sarsa,0,52,36,926.540000,1,35,reward_spike>=190,0.001
sarsa,0,53,38,995.020000,1,37,reward_spike>=190,0.001
sarsa,0,54,34,836.960000,1,33,reward_spike>=190,0.001
sarsa,0,55,33,1024.970000,1,32,reward_spike>=190,0.001
sarsa,0,56,21,822.890000,1,20,reward_spike>=190,0.001
sarsa,0,57,26,826.140000,1,25,reward_spike>=190,0.001
sarsa,0,58,30,827.700000,1,29,reward_spike>=190,0.001
sarsa,0,59,25,883.450000,1,24,reward_spike>=190,0.001
sarsa,0,60,29,879.610000,1,28,reward_spike>=190,0.001
sarsa,0,61,40,745.600000,0,,,0.001
sarsa,0,62,32,956.180000,1,31,reward_spike>=190,0.001
sarsa,0,63,40,951.400000,0,,,0.001
sarsa,0,64,18,596.920000,0,,,0.000
sarsa,0,65,37,1069.830000,1,36,reward_spike>=190,0.001
sarsa,0,66,20,651.000000,1,19,reward_spike>=190,0.001
sarsa,0,67,25,877.350000,1,24,reward_spike>=190,0.001
sarsa,0,68,39,752.910000,1,38,reward_spike>=190,0.001
sarsa,0,69,40,663.600000,0,,,0.001
sarsa,0,70,37,698.530000,1,36,reward_spike>=190,0.001
sarsa,0,71,40,722.400000,0,,,0.001
sarsa,0,72,27,654.730000,1,26,reward_spike>=190,0.001
sarsa,0,73,37,995.630000,1,36,reward_spike>=190,0.001
sarsa,0,74,39,589.810000,1,38,reward_spike>=190,0.001
sarsa,0,75,38,855.020000,1,37,reward_spike>=190,0.001
sarsa,0,76,22,821.280000,1,21,reward_spike>=190,0.001
sarsa,0,77,40,678.200000,0,,,0.001
sarsa,0,78,40,705.800000,0,,,0.001
sarsa,0,79,40,914.700000,0,,,0.001
sarsa,0,80,30,826.700000,1,29,reward_spike>=190,0.001
sarsa,0,81,24,751.160000,1,23,reward_spike>=190,0.001
sarsa,0,82,40,622.900000,0,,,0.001
sarsa,0,83,31,825.690000,1,30,reward_spike>=190,0.001
sarsa,0,84,19,635.110000,1,18,reward_spike>=190,0.001
sarsa,0,85,15,693.550000,1,14,reward_spike>=190,0.000
sarsa,0,86,40,744.600000,0,,,0.001
sarsa,0,87,25,753.850000,1,24,reward_spike>=190,0.001
sarsa,0,88,19,802.810000,1,18,reward_spike>=190,0.000
sarsa,0,89,40,764.000000,0,,,0.001
sarsa,0,90,40,579.000000,0,,,0.001
sarsa,0,91,40,551.200000,0,,,0.001
sarsa,0,92,28,536.820000,1,27,reward_spike>=190,0.001
sarsa,0,93,21,635.890000,1,20,reward_spike>=190,0.001
sarsa,0,94,40,738.000000,0,,,0.001
sarsa,0,95,40,913.600000,1,39,reward_spike>=190,0.001
sarsa,0,96,34,1111.960000,1,33,reward_spike>=190,0.001
sarsa,0,97,40,559.300000,0,,,0.001
sarsa,0,98,23,580.070000,1,22,reward_spike>=190,0.001
sarsa,0,99,23,581.370000,1,22,reward_spike>=190,0.001
sarsa,0,100,28,752.020000,1,27,reward_spike>=190,0.001
sarsa,0,101,31,865.690000,1,30,reward_spike>=190,0.001
sarsa,0,102,36,735.040000,1,35,reward_spike>=190,0.001
sarsa,0,103,40,621.800000,0,,,0.001
sarsa,0,104,34,954.360000,1,33,reward_spike>=190,0.001
sarsa,0,105,36,698.840000,1,35,reward_spike>=190,0.001
sarsa,0,106,40,835.600000,0,,,0.001
