policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,25,863.450000,1,24,reward_spike>=190,0.001
sarsa,0,1,20,580.400000,1,19,reward_spike>=190,0.001
sarsa,0,2,40,778.000000,0,,,0.001
sarsa,0,3,40,487.200000,0,,,0.001
sarsa,0,4,23,694.370000,1,22,reward_spike>=190,0.001
sarsa,0,5,40,910.500000,1,39,reward_spike>=190,0.002
sarsa,0,6,39,689.410000,1,38,reward_spike>=190,0.001
sarsa,0,7,40,592.200000,0,,,0.001
sarsa,0,8,40,672.300000,0,,,0.001
sarsa,0,9,23,694.470000,1,22,reward_spike>=190,0.001
sarsa,0,10,40,635.000000,0,,,0.001
sarsa,0,11,23,486.570000,1,22,reward_spike>=190,0.001
sarsa,0,12,37,924.230000,1,36,reward_spike>=190,0.001
sarsa,0,13,40,651.600000,0,,,0.001
sarsa,0,14,14,465.760000,1,13,reward_spike>=190,0.000
sarsa,0,15,36,925.040000,1,35,reward_spike>=190,0.001
sarsa,0,16,25,532.050000,1,24,reward_spike>=190,0.001
sarsa,0,17,40,845.600000,0,,,0.001
sarsa,0,18,17,580.630000,1,16,reward_spike>=190,0.000
sarsa,0,19,40,786.700000,0,,,0.001
sarsa,0,20,40,513.900000,0,,,0.001
sarsa,0,21,32,858.980000,0,,,0.001
sarsa,0,22,39,975.410000,1,38,reward_spike>=190,0.001
sarsa,0,23,40,569.300000,0,,,0.001
sarsa,0,24,30,882.900000,0,,,0.001
sarsa,0,25,38,1279.520000,0,,,0.001
sarsa,0,26,40,568.600000,0,,,0.001
sarsa,0,27,40,622.000000,0,,,0.001
sarsa,0,28,27,657.930000,1,26,reward_spike>=190,0.001
sarsa,0,29,29,700.710000,1,28,reward_spike>=190,0.001
sarsa,0,30,23,594.970000,1,22,reward_spike>=190,0.001
sarsa,0,31,40,646.700000,0,,,0.001
sarsa,0,32,23,697.170000,1,22,reward_spike>=190,0.001
sarsa,0,33,37,814.030000,1,36,reward_spike>=190,0.001
sarsa,0,34,34,659.760000,0,,,0.001
sarsa,0,35,37,1143.130000,1,36,reward_spike>=190,0.001
sarsa,0,36,40,665.300000,0,,,0.001
sarsa,0,37,23,808.770000,1,22,reward_spike>=190,0.001
sarsa,0,38,40,810.400000,0,,,0.001
sarsa,0,39,26,836.840000,1,25,reward_spike>=190,0.001
sarsa,0,40,31,702.790000,1,30,reward_spike>=190,0.001
sarsa,0,41,32,663.280000,1,31,reward_spike>=190,0.001
sarsa,0,42,40,896.400000,0,,,0.001
sarsa,0,43,13,578.870000,1,12,reward_spike>=190,0.000
sarsa,0,44,31,594.090000,1,30,reward_spike>=190,0.001
sarsa,0,45,40,619.600000,0,,,0.001
sarsa,0,46,40,647.800000,0,,,0.001
sarsa,0,47,40,810.100000,0,,,0.001
sarsa,0,48,32,797.680000,1,31,reward_spike>=190,0.001
sarsa,0,49,33,896.670000,1,32,reward_spike>=190,0.001
sarsa,0,50,15,580.350000,1,14,reward_spike>=190,0.000
sarsa,0,51,27,483.930000,1,26,reward_spike>=190,0.001
sarsa,0,52,22,639.680000,1,21,reward_spike>=190,0.001
sarsa,0,53,36,1054.440000,1,35,reward_spike>=190,0.001
sarsa,0,54,29,713.510000,1,28,reward_spike>=190,0.001
sarsa,0,55,40,687.900000,0,,,0.001
sarsa,0,56,39,829.010000,1,38,reward_spike>=190,0.001
sarsa,0,57,11,578.690000,1,10,reward_spike>=190,0.000
sarsa,0,58,27,712.230000,1,26,reward_spike>=190,0.001
sarsa,0,59,40,825.200000,0,,,0.001
sarsa,0,60,40,638.700000,0,,,0.001
sarsa,0,61,40,926.700000,0,,,0.001
sarsa,0,62,34,833.960000,1,33,reward_spike>=190,0.001
sarsa,0,63,40,1064.100000,0,,,0.001
sarsa,0,64,40,781.000000,0,,,0.001
sarsa,0,65,18,692.320000,1,17,reward_spike>=190,0.001
sarsa,0,66,40,920.600000,0,,,0.001
sarsa,0,67,35,761.850000,0,,,0.001
sarsa,0,68,40,804.800000,0,,,0.001
sarsa,0,69,17,524.330000,1,16,reward_spike>=190,0.000
sarsa,0,70,40,732.200000,0,,,0.001
sarsa,0,71,25,698.950000,1,24,reward_spike>=190,0.001
sarsa,0,72,40,906.100000,0,,,0.001
sarsa,0,73,33,899.870000,0,,,0.001
sarsa,0,74,40,723.200000,0,,,0.001
sarsa,0,75,32,808.980000,1,31,reward_spike>=190,0.001
sarsa,0,76,40,903.200000,1,39,reward_spike>=190,0.001
sarsa,0,77,40,454.300000,0,,,0.001
sarsa,0,78,40,473.200000,0,,,0.001
sarsa,0,79,40,605.300000,0,,,0.001
sarsa,0,80,40,465.400000,0,,,0.001
sarsa,0,81,30,692.000000,1,29,reward_spike>=190,0.001
sarsa,0,82,40,787.600000,0,,,0.001
sarsa,0,83,26,822.540000,1,25,reward_spike>=190,0.001
sarsa,0,84,29,771.810000,1,28,reward_spike>=190,0.001
sarsa,0,85,25,686.150000,1,24,reward_spike>=190,0.001
sarsa,0,86,38,754.920000,1,37,reward_spike>=190,0.001
sarsa,0,87,26,751.840000,1,25,reward_spike>=190,0.001
sarsa,0,88,24,937.160000,1,23,reward_spike>=190,0.001
sarsa,0,89,24,580.160000,1,23,reward_spike>=190,0.001
sarsa,0,90,38,813.020000,1,37,reward_spike>=190,0.001
sarsa,0,91,35,723.350000,1,34,reward_spike>=190,0.001
sarsa,0,92,30,579.200000,1,29,reward_spike>=190,0.001
sarsa,0,93,27,938.230000,1,26,reward_spike>=190,0.001
sarsa,0,94,23,752.270000,1,22,reward_spike>=190,0.001
sarsa,0,95,40,861.200000,0,,,0.001
sarsa,0,96,36,966.440000,1,35,reward_spike>=190,0.001
sarsa,0,97,30,946.400000,1,29,reward_spike>=190,0.001
sarsa,0,98,19,580.010000,1,18,reward_spike>=190,0.000
sarsa,0,99,40,724.200000,0,,,0.001
sarsa,0,100,34,799.860000,1,33,reward_spike>=190,0.001
sarsa,0,101,40,695.400000,0,,,0.001
sarsa,0,102,28,725.320000,1,27,reward_spike>=190,0.001
sarsa,0,103,40,487.900000,0,,,0.001
sarsa,0,104,40,666.500000,0,,,0.001
sarsa,0,105,35,953.150000,1,34,reward_spike>=190,0.001
sarsa,0,106,29,725.510000,1,28,reward_spike>=190,0.001
sarsa,0,107,38,790.720000,1,37,reward_spike>=190,0.001
sarsa,0,108,40,895.400000,0,,,0.001
sarsa,0,109,40,489.500000,0,,,0.001
sarsa,0,110,34,843.260000,1,33,reward_spike>=190,0.001
sarsa,0,111,40,622.300000,0,,,0.001
sarsa,0,112,24,595.160000,1,23,reward_spike>=190,0.001
sarsa,0,113,40,709.900000,0,,,0.001
sarsa,0,114,25,826.650000,0,,,0.001
sarsa,0,115,15,540.250000,1,14,reward_spike>=190,0.000
sarsa,0,116,40,415.000000,0,,,0.001
sarsa,0,117,29,994.710000,1,28,reward_spike>=190,0.001
sarsa,0,118,18,751.920000,1,17,reward_spike>=190,0.000
sarsa,0,119,20,750.200000,1,19,reward_spike>=190,0.001
sarsa,0,120,20,639.900000,1,19,reward_spike>=190,0.001
sarsa,0,121,31,711.290000,1,30,reward_spike>=190,0.001
sarsa,0,122,19,694.010000,1,18,reward_spike>=190,0.000
sarsa,0,123,22,527.480000,1,21,reward_spike>=190,0.001
sarsa,0,124,15,468.250000,1,14,reward_spike>=190,0.000
sarsa,0,125,19,579.510000,1,18,reward_spike>=190,0.000
