episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,576.5,100,1.6666666666666667,0,0,0.2988
1,427.00000000000034,100,1.3333333333333333,0,0,0.2976048
2,509.0000000000014,100,2.0,0,0,0.2964143808
3,487.0000000000007,100,1.0,0,0,0.2952287232768
4,815.8000000000002,100,1.6666666666666667,0,0,0.2940478083836928
5,646.1000000000001,100,1.0,0,0,0.292871617150158
6,850.0999999999988,100,2.0,0,0,0.29170013068155737
7,468.60000000000076,100,1.0,0,0,0.29053333015883115
8,670.2999999999988,100,1.0,0,0,0.28937119683819584
9,774.9000000000007,100,2.0,0,0,0.28821371205084306
10,411.09999999999894,100,1.6666666666666667,0,0,0.2870608572026397
11,1021.8999999999995,100,1.0,0,0,0.28591261377382915
12,1009.6999999999996,100,2.0,0,0,0.28476896331873386
13,626.4000000000005,100,1.6666666666666667,0,0,0.2836298874654589
14,665.6999999999997,100,2.0,0,0,0.2824953679155971
15,627.8999999999988,100,1.0,0,0,0.2813653864439347
16,666.9999999999997,100,2.0,0,0,0.28023992489815897
17,1031.8000000000004,100,2.3333333333333335,0,0,0.2791189651985663
18,527.1,100,1.0,0,0,0.27800248933777205
19,795.1999999999981,100,1.3333333333333333,0,0,0.27689047938042094
20,1197.5999999999983,100,1.0,0,0,0.27578291746289924
21,746.4999999999989,100,1.0,0,0,0.27467978579304764
22,1384.1999999999985,100,2.6666666666666665,1,0,0.27358106664987547
23,681.0999999999997,100,1.6666666666666667,0,0,0.27248674238327597
24,606.8000000000008,100,1.0,0,0,0.27139679541374284
25,627.3999999999995,100,1.3333333333333333,0,0,0.2703112082320879
26,874.8999999999999,100,2.0,0,0,0.2692299633991595
27,787.4999999999987,100,2.0,0,0,0.26815304354556285
28,790.4999999999991,100,1.3333333333333333,0,0,0.2670804313713806
29,1101.4,100,1.6666666666666667,0,0,0.26601210964589506
30,786.6999999999996,100,1.6666666666666667,0,0,0.26494806120731146
31,694.899999999999,100,1.6666666666666667,0,0,0.2638882689624822
32,590.8999999999991,100,1.3333333333333333,0,0,0.26283271588663226
33,517.0999999999997,100,2.0,0,0,0.26178138502308573
34,884.5999999999992,100,1.3333333333333333,0,0,0.2607342594829934
35,807.0999999999996,100,1.3333333333333333,0,0,0.25969132244506143
36,784.6000000000014,100,1.6666666666666667,0,0,0.2586525571552812
37,847.2999999999988,100,1.0,0,0,0.25761794692666007
38,1025.54,66,3.0,1,1,0.2565874751389534
39,528.4000000000007,100,2.0,0,0,0.2555611252383976
40,693.800000000001,100,1.3333333333333333,0,0,0.25453888073744396
41,646.1999999999998,100,1.3333333333333333,0,0,0.2535207252144942
42,1357.1999999999987,100,1.3333333333333333,0,0,0.25250664231363623
43,912.0000000000003,100,2.0,0,0,0.2514966157443817
44,709.8,100,2.0,0,0,0.2504906292814042
45,1009.4400000000004,86,3.0,1,1,0.24948866676427858
46,666.2000000000008,100,1.6666666666666667,0,0,0.24849071209722146
47,795.2999999999985,100,1.0,0,0,0.24749674924883258
48,652.7000000000014,100,2.0,0,0,0.24650676225183726
49,826.1999999999996,100,2.0,0,0,0.2455207352028299
50,846.4999999999982,100,1.3333333333333333,0,0,0.2445386522620186
51,1025.199999999999,100,2.0,0,0,0.24356049765297053
52,587.4000000000012,100,1.6666666666666667,0,0,0.24258625566235864
53,968.2999999999986,100,1.6666666666666667,0,0,0.2416159106397092
54,591.2000000000003,100,1.6666666666666667,0,0,0.24064944699715035
55,934.0000000000013,100,1.6666666666666667,0,0,0.23968684920916175
56,742.3000000000017,100,2.0,0,0,0.2387281018123251
57,912.7000000000004,100,1.6666666666666667,0,0,0.2377731894050758
58,866.5999999999989,100,1.3333333333333333,0,0,0.2368220966474555
59,467.40000000000134,100,1.6666666666666667,0,0,0.23587480826086565
60,1317.0999999999988,100,1.3333333333333333,0,0,0.2349313090278222
61,839.7999999999998,100,1.6666666666666667,0,0,0.2339915837917109
62,1205.999999999997,100,1.6666666666666667,0,0,0.23305561745654405
63,1517.7999999999965,100,2.0,0,0,0.23212339498671786
64,1234.3999999999992,100,2.3333333333333335,0,0,0.231194901406771
65,971.3999999999993,100,2.0,0,0,0.2302701218011439
66,1106.5000000000002,100,1.6666666666666667,0,0,0.22934904131393932
67,1247.2999999999986,100,2.0,0,0,0.22843164514868355
68,1441.4999999999989,100,2.6666666666666665,1,0,0.2275179185680888
69,726.4999999999992,100,1.3333333333333333,0,0,0.22660784689381647
70,949.5000000000007,100,2.6666666666666665,1,0,0.2257014155062412
71,1556.7200000000003,98,3.0,1,1,0.22479860984421624
72,1196.0999999999976,100,1.6666666666666667,0,0,0.22389941540483937
73,1067.3999999999985,100,1.3333333333333333,0,0,0.22300381774322
74,741.1000000000006,100,2.0,0,0,0.22211180247224713
75,770.9000000000011,100,1.3333333333333333,0,0,0.22122335526235815
76,606.2000000000007,100,1.3333333333333333,0,0,0.2203384618413087
77,955.1999999999992,100,2.0,0,0,0.21945710799394347
78,1925.1999999999969,100,2.0,0,0,0.21857927956196768
79,1160.099999999999,100,1.3333333333333333,0,0,0.2177049624437198
80,1148.2999999999997,100,2.3333333333333335,0,0,0.21683414259394493
81,1458.9999999999982,100,2.0,0,0,0.21596680602356916
82,737.6000000000006,100,1.0,0,0,0.21510293879947487
83,684.8,100,2.0,0,0,0.21424252704427696
84,772.2000000000002,100,1.6666666666666667,0,0,0.21338555693609984
85,1303.6999999999994,100,2.0,0,0,0.21253201470835545
86,1282.2999999999995,100,1.6666666666666667,0,0,0.21168188664952203
87,446.9000000000007,100,1.6666666666666667,0,0,0.21083515910292394
88,1187.6999999999994,100,2.0,0,0,0.20999181846651224
89,1119.4999999999982,100,2.0,0,0,0.2091518511926462
90,1250.0999999999992,100,1.0,0,0,0.2083152437878756
91,914.2000000000011,100,2.6666666666666665,1,0,0.20748198281272412
92,931.8999999999995,100,1.3333333333333333,0,0,0.20665205488147323
93,1314.3000000000002,100,1.3333333333333333,0,0,0.20582544666194733
94,1165.799999999999,100,2.0,0,0,0.20500214487529952
95,1412.4999999999975,100,2.3333333333333335,0,0,0.20418213629579832
96,692.1000000000005,100,1.3333333333333333,0,0,0.20336540775061512
97,974.8000000000012,100,1.3333333333333333,0,0,0.20255194611961266
98,1257.4999999999977,100,2.6666666666666665,1,0,0.2017417383351342
99,1001.6100000000004,69,3.0,1,1,0.20093477138179366
100,710.0999999999995,100,1.3333333333333333,0,0,0.2001310322962665
101,908.3,100,2.0,0,0,0.19933050816708142
102,554.4000000000007,100,2.0,0,0,0.1985331861344131
103,1561.499999999997,100,2.3333333333333335,0,0,0.19773905338987544
104,1097.9000000000005,100,2.3333333333333335,0,0,0.19694809717631592
105,1080.1000000000008,100,1.0,0,0,0.19616030478761065
106,851.4999999999985,100,1.0,0,0,0.1953756635684602
107,1553.079999999998,92,3.0,1,1,0.19459416091418635
108,1056.7000000000003,100,1.3333333333333333,0,0,0.19381578427052962
109,1216.8999999999996,100,1.6666666666666667,0,0,0.1930405211334475
110,1336.999999999998,100,2.3333333333333335,0,0,0.1922683590489137
111,1463.8399999999988,86,3.0,1,1,0.19149928561271806
112,1497.599999999999,100,2.3333333333333335,0,0,0.1907332884702672
113,766.2999999999992,100,1.0,0,0,0.18997035531638612
114,814.6999999999999,100,1.3333333333333333,0,0,0.18921047389512058
115,752.1000000000008,100,1.0,0,0,0.1884536319995401
116,1029.62,78,3.0,1,1,0.18769981747154194
117,988.0999999999982,100,2.0,0,0,0.18694901820165577
118,692.700000000001,100,2.0,0,0,0.18620122212884915
119,1069.0999999999988,100,2.0,0,0,0.18545641724033377
120,881.6000000000008,100,2.0,0,0,0.18471459157137243
121,859.699999999999,100,1.6666666666666667,0,0,0.18397573320508695
122,869.9999999999985,100,2.0,0,0,0.1832398302722666
123,919.299999999998,100,2.6666666666666665,1,0,0.1825068709511775
124,1017.6999999999997,100,1.6666666666666667,0,0,0.1817768434673728
125,1271.5999999999992,100,1.3333333333333333,0,0,0.1810497360935033
126,828.0,100,1.6666666666666667,0,0,0.1803255371491293
127,1181.5,100,1.3333333333333333,0,0,0.17960423500053277
128,1263.0099999999998,79,3.0,1,1,0.17888581806053064
129,676.1199999999997,58,3.0,1,1,0.1781702747882885
130,1256.8600000000015,84,3.0,1,1,0.17745759368913536
131,1173.7000000000005,100,2.6666666666666665,1,0,0.1767477633143788
132,733.3000000000011,100,2.3333333333333335,0,0,0.17604077226112128
133,929.7999999999997,100,2.0,0,0,0.1753366091720768
134,1736.9999999999986,100,2.3333333333333335,0,0,0.17463526273538849
135,1179.0500000000002,95,3.0,1,1,0.17393672168444693
136,1337.1999999999996,100,2.0,0,0,0.17324097479770914
137,1435.1999999999978,100,1.6666666666666667,0,0,0.17254801089851832
138,1486.5999999999974,100,1.0,0,0,0.17185781885492424
139,1465.6999999999975,100,1.6666666666666667,0,0,0.17117038757950453
140,929.7999999999988,100,2.0,0,0,0.17048570602918653
141,1554.3799999999992,82,3.0,1,1,0.1698037632050698
142,1248.150000000001,85,3.0,1,1,0.1691245481522495
143,994.1999999999992,100,1.3333333333333333,0,0,0.1684480499596405
144,1260.1999999999962,100,2.0,0,0,0.16777425775980193
145,947.2999999999987,100,2.0,0,0,0.16710316072876272
146,1725.0999999999983,100,2.3333333333333335,0,0,0.16643474808584766
147,1240.5999999999985,100,2.0,0,0,0.16576900909350425
148,1427.0999999999974,100,2.3333333333333335,0,0,0.16510593305713023
149,801.3000000000013,100,2.6666666666666665,1,0,0.1644455093249017
150,1141.3999999999996,100,2.6666666666666665,1,0,0.1637877272876021
151,1777.7999999999977,100,2.3333333333333335,0,0,0.1631325763784517
152,1038.1199999999994,68,3.0,1,1,0.16248004607293787
153,1009.9999999999995,100,2.0,0,0,0.16183012588864612
154,1559.5999999999983,100,2.3333333333333335,0,0,0.16118280538509153
155,1128.3999999999999,100,2.6666666666666665,1,0,0.16053807416355115
156,1607.7099999999996,69,3.0,1,1,0.15989592186689694
157,1043.0999999999992,100,2.3333333333333335,0,0,0.15925633817942936
158,1275.7700000000013,83,3.0,1,1,0.15861931282671163
159,1573.8999999999985,100,2.6666666666666665,1,0,0.15798483557540477
160,896.2000000000002,100,1.3333333333333333,0,0,0.15735289623310314
161,817.9999999999989,100,1.0,0,0,0.15672348464817074
162,1005.6999999999981,100,1.6666666666666667,0,0,0.15609659070957804
163,1211.4999999999973,100,1.0,0,0,0.15547220434673972
164,1355.2699999999986,83,3.0,1,1,0.15485031552935277
165,1086.6999999999991,100,2.0,0,0,0.15423091426723537
166,976.3999999999999,100,2.0,0,0,0.15361399061016642
167,629.1999999999997,100,2.0,0,0,0.15299953464772575
168,1742.699999999998,100,2.6666666666666665,1,0,0.15238753650913486
169,1171.7999999999995,100,2.0,0,0,0.15177798636309833
170,1218.7999999999997,100,1.6666666666666667,0,0,0.15117087441764593
171,788.0999999999979,100,2.3333333333333335,0,0,0.15056619091997533
172,1487.7999999999975,100,2.0,0,0,0.14996392615629545
173,981.2000000000015,100,1.6666666666666667,0,0,0.14936407045167027
174,1072.9000000000003,100,2.3333333333333335,0,0,0.1487666141698636
175,1493.1999999999991,100,1.6666666666666667,0,0,0.14817154771318414
176,1089.199999999998,100,2.6666666666666665,1,0,0.1475788615223314
177,1199.5000000000005,90,3.0,1,1,0.1469885460762421
178,1141.9300000000003,77,3.0,1,1,0.14640059189193713
179,1010.2000000000003,100,1.0,0,0,0.1458149895243694
180,952.2999999999997,100,1.6666666666666667,0,0,0.14523172956627192
181,1046.3999999999992,100,1.0,0,0,0.14465080264800684
182,1422.3999999999999,100,2.0,0,0,0.1440721994374148
