episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,56.74999999999995,100,1.6666666666666667,0,0,0.2988
1,38.499999999999936,100,1.3333333333333333,0,0,0.2976048
2,48.249999999999936,100,2.0,0,0,0.2964143808
3,44.649999999999935,100,1.0,0,0,0.2952287232768
4,86.20000000000005,100,1.6666666666666667,0,0,0.2940478083836928
5,58.39999999999993,100,1.0,0,0,0.292871617150158
6,47.44999999999994,100,1.3333333333333333,0,0,0.29170013068155737
7,42.49999999999995,100,1.0,0,0,0.29053333015883115
8,64.24999999999999,100,1.0,0,0,0.28937119683819584
9,66.04999999999997,100,2.3333333333333335,0,0,0.28821371205084306
10,59.90000000000003,100,1.0,0,0,0.2870608572026397
11,101.65000000000015,100,1.0,0,0,0.28591261377382915
12,54.14999999999994,100,1.3333333333333333,0,0,0.28476896331873386
13,58.749999999999936,100,1.6666666666666667,0,0,0.2836298874654589
14,64.89999999999995,100,2.3333333333333335,0,0,0.2824953679155971
15,61.34999999999992,100,1.0,0,0,0.2813653864439347
16,65.64999999999993,100,2.0,0,0,0.28023992489815897
17,95.15000000000008,100,2.0,0,0,0.2791189651985663
18,50.54999999999993,100,1.0,0,0,0.27800248933777205
19,79.50000000000011,100,2.0,0,0,0.27689047938042094
20,141.2500000000001,100,2.3333333333333335,0,0,0.27578291746289924
21,66.60000000000015,100,1.0,0,0,0.27467978579304764
22,127.10000000000008,100,1.3333333333333333,0,0,0.27358106664987547
23,69.14999999999998,100,1.3333333333333333,0,0,0.27248674238327597
24,79.49999999999999,100,1.3333333333333333,0,0,0.27139679541374284
25,79.45000000000002,100,1.3333333333333333,0,0,0.2703112082320879
26,58.69999999999999,100,1.6666666666666667,0,0,0.2692299633991595
27,113.85000000000029,100,2.3333333333333335,0,0,0.26815304354556285
28,74.25000000000009,100,1.0,0,0,0.2670804313713806
29,67.8000000000001,100,1.0,0,0,0.26601210964589506
30,69.40000000000012,100,1.3333333333333333,0,0,0.26494806120731146
31,59.79999999999997,100,2.3333333333333335,0,0,0.2638882689624822
32,51.19999999999994,100,2.0,0,0,0.26283271588663226
33,119.75,100,1.6666666666666667,0,0,0.26178138502308573
34,78.95000000000002,100,1.3333333333333333,0,0,0.2607342594829934
35,67.34999999999997,100,2.0,0,0,0.25969132244506143
36,111.64999999999998,85,3.0,1,1,0.2586525571552812
37,60.19999999999993,100,1.0,0,0,0.25761794692666007
38,91.20000000000005,100,1.3333333333333333,0,0,0.2565874751389534
39,78.99999999999999,100,2.0,0,0,0.2555611252383976
40,55.449999999999946,100,2.0,0,0,0.25453888073744396
41,75.59999999999995,100,1.3333333333333333,0,0,0.2535207252144942
42,78.35000000000007,100,1.0,0,0,0.25250664231363623
43,110.80000000000001,100,2.0,0,0,0.2514966157443817
44,97.35000000000016,100,2.0,0,0,0.2504906292814042
45,105.25000000000009,100,1.3333333333333333,0,0,0.24948866676427858
46,87.27000000000001,83,3.0,1,1,0.24849071209722146
47,64.89999999999998,100,2.0,0,0,0.24749674924883258
48,72.14999999999996,100,1.6666666666666667,0,0,0.24650676225183726
49,106.15000000000005,100,2.3333333333333335,0,0,0.2455207352028299
50,43.04999999999995,100,1.0,0,0,0.2445386522620186
51,61.44999999999993,100,1.6666666666666667,0,0,0.24356049765297053
52,63.55,100,2.0,0,0,0.24258625566235864
53,57.99999999999996,100,1.6666666666666667,0,0,0.2416159106397092
54,87.95000000000013,100,1.0,0,0,0.24064944699715035
55,50.34999999999995,100,2.0,0,0,0.23968684920916175
56,64.25000000000001,100,2.3333333333333335,0,0,0.2387281018123251
57,76.35000000000005,100,1.6666666666666667,0,0,0.2377731894050758
58,78.04999999999997,100,2.0,0,0,0.2368220966474555
59,58.74999999999994,100,1.0,0,0,0.23587480826086565
60,115.55000000000025,100,1.3333333333333333,0,0,0.2349313090278222
61,84.3000000000001,100,1.6666666666666667,0,0,0.2339915837917109
62,92.97,78,3.0,1,1,0.23305561745654405
63,145.64999999999998,100,2.0,0,0,0.23212339498671786
64,95.85,100,2.0,0,0,0.231194901406771
65,80.7000000000001,100,1.0,0,0,0.2302701218011439
66,87.69999999999996,90,3.0,1,1,0.22934904131393932
67,99.20000000000006,100,1.3333333333333333,0,0,0.22843164514868355
68,72.5,100,1.3333333333333333,0,0,0.2275179185680888
69,68.54999999999998,100,2.0,0,0,0.22660784689381647
70,119.55000000000018,100,2.0,0,0,0.2257014155062412
71,68.38,32,3.0,1,1,0.22479860984421624
72,89.30000000000007,100,1.6666666666666667,0,0,0.22389941540483937
73,81.10000000000012,100,1.0,0,0,0.22300381774322
74,72.80000000000004,100,1.0,0,0,0.22211180247224713
75,100.80000000000021,100,1.6666666666666667,0,0,0.22122335526235815
76,96.20000000000022,100,1.6666666666666667,0,0,0.2203384618413087
77,72.95000000000007,100,2.0,0,0,0.21945710799394347
78,80.64999999999996,100,2.3333333333333335,0,0,0.21857927956196768
79,98.65,100,2.0,0,0,0.2177049624437198
80,82.19999999999999,100,2.3333333333333335,0,0,0.21683414259394493
81,103.95000000000002,100,1.3333333333333333,0,0,0.21596680602356916
82,99.90000000000012,100,1.6666666666666667,0,0,0.21510293879947487
83,125.20000000000022,100,2.0,0,0,0.21424252704427696
84,59.449999999999946,100,1.3333333333333333,0,0,0.21338555693609984
85,113.55000000000014,100,2.6666666666666665,1,0,0.21253201470835545
86,95.50000000000016,100,2.0,0,0,0.21168188664952203
87,97.75000000000006,100,2.0,0,0,0.21083515910292394
88,96.80000000000001,100,2.0,0,0,0.20999181846651224
89,55.79999999999994,100,1.6666666666666667,0,0,0.2091518511926462
90,97.95,100,2.0,0,0,0.2083152437878756
91,90.75000000000009,100,1.6666666666666667,0,0,0.20748198281272412
92,49.480000000000004,27,3.0,1,1,0.20665205488147323
93,91.80000000000013,100,1.3333333333333333,0,0,0.20582544666194733
94,89.86999999999998,68,3.0,1,1,0.20500214487529952
95,131.4500000000001,100,1.6666666666666667,0,0,0.20418213629579832
96,102.55000000000007,100,1.0,0,0,0.20336540775061512
97,100.78999999999996,96,3.0,1,1,0.20255194611961266
98,75.15000000000022,100,1.0,0,0,0.2017417383351342
99,114.41999999999996,68,3.0,1,1,0.20093477138179366
100,83.35000000000007,100,1.3333333333333333,0,0,0.2001310322962665
101,69.29999999999995,100,2.0,0,0,0.19933050816708142
102,117.0500000000002,100,1.6666666666666667,0,0,0.1985331861344131
103,90.20000000000003,100,2.0,0,0,0.19773905338987544
104,114.60000000000005,100,2.6666666666666665,1,0,0.19694809717631592
105,76.59999999999998,100,1.6666666666666667,0,0,0.19616030478761065
106,90.00000000000006,100,1.3333333333333333,0,0,0.1953756635684602
107,96.59999999999998,100,2.0,0,0,0.19459416091418635
108,79.74999999999997,100,2.3333333333333335,0,0,0.19381578427052962
109,93.10000000000005,100,1.0,0,0,0.1930405211334475
110,102.75000000000001,100,1.6666666666666667,0,0,0.1922683590489137
111,86.75000000000007,100,1.3333333333333333,0,0,0.19149928561271806
112,86.55000000000003,100,1.6666666666666667,0,0,0.1907332884702672
113,66.54999999999998,100,2.0,0,0,0.18997035531638612
114,94.60000000000012,100,1.3333333333333333,0,0,0.18921047389512058
115,138.64999999999998,100,1.6666666666666667,0,0,0.1884536319995401
116,85.45000000000012,100,1.0,0,0,0.18769981747154194
117,104.60000000000007,100,2.3333333333333335,0,0,0.18694901820165577
118,99.6500000000001,100,1.3333333333333333,0,0,0.18620122212884915
119,79.6,100,2.0,0,0,0.18545641724033377
120,64.44999999999996,100,2.0,0,0,0.18471459157137243
121,80.40000000000015,100,1.6666666666666667,0,0,0.18397573320508695
122,120.95000000000009,100,2.0,0,0,0.1832398302722666
123,125.75000000000014,100,2.6666666666666665,1,0,0.1825068709511775
124,71.60000000000002,100,1.0,0,0,0.1817768434673728
125,76.25000000000001,100,1.6666666666666667,0,0,0.1810497360935033
126,100.55000000000013,100,2.0,0,0,0.1803255371491293
127,83.75000000000004,100,1.3333333333333333,0,0,0.17960423500053277
128,107.63999999999999,61,3.0,1,1,0.17888581806053064
129,108.45000000000006,100,2.0,0,0,0.1781702747882885
130,113.90000000000029,100,1.6666666666666667,0,0,0.17745759368913536
131,83.6000000000001,100,1.3333333333333333,0,0,0.1767477633143788
132,86.95000000000003,100,2.6666666666666665,1,0,0.17604077226112128
133,83.90000000000009,100,1.0,0,0,0.1753366091720768
134,99.50000000000028,100,1.3333333333333333,0,0,0.17463526273538849
135,73.45000000000012,100,1.6666666666666667,0,0,0.17393672168444693
136,76.40000000000003,100,2.0,0,0,0.17324097479770914
137,127.25000000000027,100,1.6666666666666667,0,0,0.17254801089851832
138,108.19999999999999,100,2.0,0,0,0.17185781885492424
139,80.90000000000008,100,1.3333333333333333,0,0,0.17117038757950453
140,115.3000000000001,100,1.0,0,0,0.17048570602918653
141,116.50000000000007,100,1.6666666666666667,0,0,0.1698037632050698
142,95.05000000000003,100,2.0,0,0,0.1691245481522495
143,67.00000000000004,100,1.6666666666666667,0,0,0.1684480499596405
144,123.60000000000021,100,1.6666666666666667,0,0,0.16777425775980193
145,97.55000000000011,100,1.6666666666666667,0,0,0.16710316072876272
146,104.98000000000002,67,3.0,1,1,0.16643474808584766
147,123.20000000000006,100,2.6666666666666665,1,0,0.16576900909350425
148,124.5000000000002,100,2.0,0,0,0.16510593305713023
149,143.40000000000018,100,2.0,0,0,0.1644455093249017
150,54.149999999999956,100,2.0,0,0,0.1637877272876021
151,89.70000000000007,100,1.6666666666666667,0,0,0.1631325763784517
152,70.20000000000002,100,1.6666666666666667,0,0,0.16248004607293787
153,118.96000000000012,74,3.0,1,1,0.16183012588864612
154,57.49999999999995,100,1.6666666666666667,0,0,0.16118280538509153
155,105.0500000000001,100,2.0,0,0,0.16053807416355115
156,116.45000000000023,100,1.0,0,0,0.15989592186689694
157,122.01000000000002,64,3.0,1,1,0.15925633817942936
158,99.90000000000005,100,2.0,0,0,0.15861931282671163
159,102.42000000000002,93,3.0,1,1,0.15798483557540477
160,99.80000000000015,100,2.3333333333333335,0,0,0.15735289623310314
161,114.35000000000018,100,2.0,0,0,0.15672348464817074
