policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,23,601.970000,1,0.001
sarsa,0,1,,27,639.530000,1,0.001
sarsa,0,2,,38,903.320000,1,0.001
sarsa,0,3,,40,568.900000,0,0.001
sarsa,0,4,,40,946.700000,0,0.001
sarsa,0,5,,40,334.900000,0,0.001
sarsa,0,6,,40,428.500000,0,0.001
sarsa,0,7,,40,900.000000,0,0.001
sarsa,0,8,,38,868.920000,1,0.001
sarsa,0,9,,33,698.670000,1,0.001
sarsa,0,10,,36,567.340000,1,0.001
sarsa,0,11,,40,735.600000,0,0.001
sarsa,0,12,,40,712.300000,0,0.001
sarsa,0,13,,40,822.100000,0,0.001
sarsa,0,14,,40,637.800000,0,0.001
sarsa,0,15,,40,807.300000,0,0.001
sarsa,0,16,,40,1081.900000,0,0.001
sarsa,0,17,,25,727.850000,1,0.001
sarsa,0,18,,39,1013.310000,1,0.001
sarsa,0,19,,25,770.250000,1,0.001
sarsa,0,20,,30,752.500000,1,0.001
sarsa,0,21,,38,1223.220000,1,0.001
sarsa,0,22,,40,842.900000,1,0.001
sarsa,0,23,,36,842.840000,1,0.001
sarsa,0,24,,18,579.420000,1,0.000
sarsa,0,25,,31,713.290000,1,0.001
sarsa,0,26,,24,524.160000,1,0.001
sarsa,0,27,,40,943.100000,0,0.001
sarsa,0,28,,31,805.590000,1,0.001
sarsa,0,29,,28,655.920000,1,0.001
sarsa,0,30,,29,755.710000,1,0.001
sarsa,0,31,,40,492.600000,0,0.001
sarsa,0,32,,40,844.700000,0,0.001
sarsa,0,33,,40,729.600000,0,0.001
sarsa,0,34,,40,640.000000,0,0.001
sarsa,0,35,,40,513.800000,0,0.001
sarsa,0,36,,34,632.160000,1,0.001
sarsa,0,37,,40,804.200000,0,0.001
sarsa,0,38,,30,658.500000,1,0.001
sarsa,0,39,,17,523.730000,1,0.000
sarsa,0,40,,37,828.230000,1,0.001
sarsa,0,41,,15,523.250000,1,0.000
sarsa,0,42,,25,752.150000,1,0.001
sarsa,0,43,,40,843.700000,0,0.001
sarsa,0,44,,40,879.100000,1,0.001
sarsa,0,45,,23,692.870000,1,0.001
sarsa,0,46,,40,395.400000,0,0.001
sarsa,0,47,,40,687.600000,0,0.001
sarsa,0,48,,16,525.040000,1,0.000
sarsa,0,49,,40,792.200000,0,0.001
sarsa,0,50,,17,580.430000,1,0.000
sarsa,0,51,,27,638.430000,1,0.001
sarsa,0,52,,21,579.490000,1,0.001
sarsa,0,53,,40,637.300000,0,0.001
sarsa,0,54,,33,787.670000,1,0.001
sarsa,0,55,,27,977.130000,1,0.001
sarsa,0,56,,40,511.700000,0,0.001
sarsa,0,57,,21,637.390000,1,0.001
sarsa,0,58,,37,1037.330000,1,0.001
sarsa,0,59,,40,777.300000,0,0.001
sarsa,0,60,,39,958.110000,1,0.001
sarsa,0,61,,17,579.430000,1,0.000
sarsa,0,62,,17,541.130000,1,0.000
sarsa,0,63,,34,999.260000,1,0.001
sarsa,0,64,,29,938.510000,1,0.001
sarsa,0,65,,40,666.700000,0,0.001
sarsa,0,66,,40,654.900000,0,0.001
sarsa,0,67,,22,805.180000,1,0.001
sarsa,0,68,,33,911.670000,1,0.001
sarsa,0,69,,22,638.980000,1,0.001
sarsa,0,70,,40,868.400000,0,0.001
sarsa,0,71,,32,500.580000,1,0.001
sarsa,0,72,,40,793.100000,0,0.001
sarsa,0,73,,36,944.240000,1,0.001
sarsa,0,74,,23,749.670000,1,0.001
sarsa,0,75,,40,524.900000,0,0.001
sarsa,0,76,,31,773.090000,1,0.001
sarsa,0,77,,40,843.600000,0,0.001
sarsa,0,78,,22,638.480000,1,0.001
sarsa,0,79,,29,812.610000,1,0.001
sarsa,0,80,,40,864.100000,0,0.001
sarsa,0,81,,40,576.400000,0,0.001
sarsa,0,82,,40,1010.700000,0,0.001
sarsa,0,83,,27,817.930000,1,0.001
sarsa,0,84,,40,793.400000,0,0.001
sarsa,0,85,,17,763.530000,1,0.000
