seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
0,Random,0,0,24,35.6,mastery,24.0,35.6
0,Random,1,0,18,41.2,mastery,21.0,38.4
0,Random,2,0,23,106.7,mastery,21.667,61.167
0,Random,3,0,10,46.0,mastery,18.75,57.375
0,Random,4,0,13,90.7,mastery,17.6,64.04
0,Random,5,0,18,41.2,mastery,17.667,60.233
0,Random,6,0,8,41.2,mastery,16.286,57.514
0,Random,7,0,13,47.7,mastery,15.875,56.288
0,Random,8,0,12,39.8,mastery,15.444,54.456
0,Random,9,0,5,26.5,mastery,14.4,51.66
0,Random,10,0,19,37.1,mastery,14.818,50.336
0,Random,11,0,23,53.7,mastery,15.5,50.617
0,Random,12,0,11,63.9,mastery,15.154,51.638
0,Random,13,0,12,63.8,mastery,14.929,52.507
0,Random,14,0,6,26.4,mastery,14.333,50.767
0,Random,15,0,26,52.4,mastery,15.062,50.869
0,Random,16,0,25,9.5,mastery,15.647,48.435
0,Random,17,0,16,139.4,mastery,15.667,53.489
0,Random,18,0,4,42.6,mastery,15.053,52.916
0,Random,19,0,7,55.3,mastery,14.65,53.035
0,Random,20,0,12,23.8,mastery,14.524,51.643
0,Random,21,0,7,67.3,mastery,14.182,52.355
0,Random,22,0,12,80.8,mastery,14.087,53.591
0,Random,23,0,8,44.2,mastery,13.833,53.2
0,Random,24,0,23,176.7,mastery,14.2,58.14
0,Random,25,0,40,173.0,timeout,15.192,62.558
0,Random,26,0,12,34.8,mastery,15.074,61.53
0,Random,27,0,10,25.0,mastery,14.893,60.225
0,Random,28,0,8,65.2,mastery,14.655,60.397
0,Random,29,0,22,39.8,mastery,14.9,59.71
0,Random,30,0,12,70.8,mastery,14.806,60.068
0,Random,31,0,9,70.1,mastery,14.625,60.381
0,Random,32,0,20,81.0,mastery,14.788,61.006
0,Random,33,0,22,65.8,mastery,15.0,61.147
0,Random,34,0,4,37.6,mastery,14.686,60.474
0,Random,35,0,16,103.4,mastery,14.722,61.667
0,Random,36,0,7,38.3,mastery,14.514,61.035
0,Random,37,0,11,55.9,mastery,14.421,60.9
0,Random,38,0,40,212.0,timeout,15.077,64.774
0,Random,39,0,12,68.8,mastery,15.0,64.875
0,Random,40,0,40,-3.0,timeout,15.61,63.22
0,Random,41,0,12,99.8,mastery,15.524,64.09
0,Random,42,0,8,77.2,mastery,15.349,64.395
0,Random,43,0,26,163.4,mastery,15.591,66.645
0,Random,44,0,14,121.6,mastery,15.556,67.867
0,Random,45,0,21,160.9,mastery,15.674,69.889
0,Random,46,0,7,31.3,mastery,15.489,69.068
0,Random,47,0,23,70.7,mastery,15.646,69.102
0,Random,48,0,25,38.5,mastery,15.837,68.478
0,Random,49,1,9,39.1,mastery,15.7,67.89
0,SARSA,0,0,18,22.2,mastery,18.0,22.2
0,SARSA,1,0,8,36.2,mastery,13.0,29.2
0,SARSA,2,0,7,38.3,mastery,11.0,32.233
0,SARSA,3,0,14,88.6,mastery,11.75,46.325
0,SARSA,4,0,28,85.2,mastery,15.0,54.1
0,SARSA,5,0,13,59.7,mastery,14.667,55.033
0,SARSA,6,0,12,75.8,mastery,14.286,58.0
0,SARSA,7,0,37,93.3,mastery,17.125,62.413
0,SARSA,8,0,21,147.9,mastery,17.556,71.911
0,SARSA,9,0,22,92.8,mastery,18.0,74.0
0,SARSA,10,0,13,88.7,mastery,17.545,75.336
0,SARSA,11,0,30,176.0,mastery,18.583,83.725
0,SARSA,12,0,27,87.3,mastery,19.231,84.0
0,SARSA,13,0,40,179.0,timeout,20.714,90.786
0,SARSA,14,0,13,58.7,mastery,20.2,88.647
0,SARSA,15,0,17,132.3,mastery,20.0,91.375
0,SARSA,16,0,22,162.8,mastery,20.118,95.576
0,SARSA,17,0,21,68.9,mastery,20.167,94.094
0,SARSA,18,0,22,157.8,mastery,20.263,97.447
0,SARSA,19,0,15,93.5,mastery,20.0,97.25
0,SARSA,20,0,13,80.7,mastery,19.667,96.462
0,SARSA,21,0,26,110.4,mastery,19.955,97.095
0,SARSA,22,0,40,186.0,timeout,20.826,100.961
0,SARSA,23,0,18,58.2,mastery,20.708,99.179
0,SARSA,24,0,40,137.0,timeout,21.48,100.692
0,SARSA,25,0,40,177.0,timeout,22.192,103.627
0,SARSA,26,0,40,151.0,mastery,22.852,105.381
0,SARSA,27,0,40,266.0,timeout,23.464,111.118
0,SARSA,28,0,12,68.8,mastery,23.069,109.659
0,SARSA,29,0,33,200.7,mastery,23.4,112.693
0,SARSA,30,0,40,239.0,timeout,23.935,116.768
0,SARSA,31,0,40,195.0,timeout,24.438,119.213
0,SARSA,32,0,17,123.3,mastery,24.212,119.336
0,SARSA,33,0,40,286.0,timeout,24.676,124.238
0,SARSA,34,0,40,118.0,timeout,25.114,124.06
0,SARSA,35,0,30,185.0,mastery,25.25,125.753
0,SARSA,36,0,17,166.3,mastery,25.027,126.849
0,SARSA,37,0,40,209.0,timeout,25.421,129.011
0,SARSA,38,0,40,158.0,timeout,25.795,129.754
0,SARSA,39,0,19,145.1,mastery,25.625,130.138
0,SARSA,40,0,40,107.0,timeout,25.976,129.573
0,SARSA,41,0,40,132.0,timeout,26.31,129.631
0,SARSA,42,0,40,98.0,timeout,26.628,128.895
0,SARSA,43,0,13,124.7,mastery,26.318,128.8
0,SARSA,44,0,38,234.2,mastery,26.578,131.142
0,SARSA,45,0,10,63.0,mastery,26.217,129.661
0,SARSA,46,0,12,123.8,mastery,25.915,129.536
0,SARSA,47,0,19,83.1,mastery,25.771,128.569
0,SARSA,48,0,40,254.0,timeout,26.061,131.129
0,SARSA,49,1,40,338.0,timeout,26.34,135.266
1,Random,0,0,14,105.6,mastery,14.0,105.6
1,Random,1,0,27,10.3,mastery,20.5,57.95
1,Random,2,0,35,90.5,mastery,25.333,68.8
1,Random,3,0,4,37.6,mastery,20.0,61.0
1,Random,4,0,6,50.4,mastery,17.2,58.88
1,Random,5,0,40,211.0,timeout,21.0,84.233
1,Random,6,0,20,20.0,mastery,20.857,75.057
1,Random,7,0,8,43.2,mastery,19.25,71.075
1,Random,8,0,20,146.0,mastery,19.333,79.4
1,Random,9,0,8,22.2,mastery,18.2,73.68
1,Random,10,0,7,31.3,mastery,17.182,69.827
1,Random,11,0,33,64.7,mastery,18.5,69.4
1,Random,12,0,13,37.7,mastery,18.077,66.962
1,Random,13,0,40,251.0,timeout,19.643,80.107
1,Random,14,0,7,53.3,mastery,18.8,78.32
1,Random,15,0,5,35.5,mastery,17.938,75.644
1,Random,16,0,9,32.1,mastery,17.412,73.082
1,Random,17,0,12,46.8,mastery,17.111,71.622
1,Random,18,0,10,61.0,mastery,16.737,71.063
1,Random,19,0,18,120.2,mastery,16.8,73.52
1,Random,20,0,9,58.1,mastery,16.429,72.786
1,Random,21,0,10,78.0,mastery,16.136,73.023
1,Random,22,0,4,28.6,mastery,15.609,71.091
1,Random,23,0,5,35.5,mastery,15.167,69.608
1,Random,24,0,8,53.2,mastery,14.88,68.952
1,Random,25,0,21,106.9,mastery,15.115,70.412
1,Random,26,0,6,45.4,mastery,14.778,69.485
1,Random,27,0,5,47.5,mastery,14.429,68.7
1,Random,28,0,12,63.8,mastery,14.345,68.531
1,Random,29,0,9,51.1,mastery,14.167,67.95
1,Random,30,0,17,95.3,mastery,14.258,68.832
1,Random,31,0,10,49.0,mastery,14.125,68.213
1,Random,32,0,28,120.2,mastery,14.545,69.788
1,Random,33,0,9,30.1,mastery,14.382,68.621
1,Random,34,0,11,96.9,mastery,14.286,69.429
1,Random,35,0,12,32.8,mastery,14.222,68.411
1,Random,36,0,8,41.2,mastery,14.054,67.676
1,Random,37,0,8,29.2,mastery,13.895,66.663
1,Random,38,0,8,41.2,mastery,13.744,66.01
1,Random,39,0,6,33.4,mastery,13.55,65.195
1,Random,40,0,16,45.4,mastery,13.61,64.712
1,Random,41,0,12,39.8,mastery,13.571,64.119
1,Random,42,0,6,50.4,mastery,13.395,63.8
1,Random,43,0,7,36.3,mastery,13.25,63.175
1,Random,44,0,9,75.1,mastery,13.156,63.44
1,Random,45,0,30,80.0,mastery,13.522,63.8
1,Random,46,0,5,28.5,mastery,13.34,63.049
1,Random,47,0,11,108.9,mastery,13.292,64.004
1,Random,48,0,24,-2.4,mastery,13.51,62.649
1,Random,49,1,27,21.3,mastery,13.78,61.822
1,SARSA,0,0,40,194.0,timeout,40.0,194.0
1,SARSA,1,0,40,158.0,timeout,40.0,176.0
1,SARSA,2,0,40,242.0,timeout,40.0,198.0
1,SARSA,3,0,40,251.0,timeout,40.0,211.25
1,SARSA,4,0,40,296.0,timeout,40.0,228.2
1,SARSA,5,0,40,242.0,timeout,40.0,230.5
1,SARSA,6,0,14,26.6,mastery,36.286,201.371
1,SARSA,7,0,14,131.6,mastery,33.5,192.65
1,SARSA,8,0,40,298.0,timeout,34.222,204.356
1,SARSA,9,0,21,123.9,mastery,32.9,196.31
1,SARSA,10,0,40,191.0,mastery,33.545,195.827
1,SARSA,11,0,28,200.2,mastery,33.083,196.192
1,SARSA,12,0,23,113.7,mastery,32.308,189.846
1,SARSA,13,0,6,29.4,mastery,30.429,178.386
1,SARSA,14,0,40,93.0,timeout,31.067,172.693
1,SARSA,15,0,40,282.0,timeout,31.625,179.525
1,SARSA,16,0,40,190.0,timeout,32.118,180.141
1,SARSA,17,0,14,49.6,mastery,31.111,172.889
1,SARSA,18,0,13,53.7,mastery,30.158,166.616
1,SARSA,19,0,35,205.5,mastery,30.4,168.56
1,SARSA,20,0,40,158.0,timeout,30.857,168.057
1,SARSA,21,0,9,39.1,mastery,29.864,162.195
1,SARSA,22,0,23,169.7,mastery,29.565,162.522
1,SARSA,23,0,15,50.5,mastery,28.958,157.854
1,SARSA,24,0,12,48.8,mastery,28.28,153.492
1,SARSA,25,0,13,32.7,mastery,27.692,148.846
1,SARSA,26,0,40,224.0,timeout,28.148,151.63
1,SARSA,27,0,9,41.1,mastery,27.464,147.682
1,SARSA,28,0,40,123.0,timeout,27.897,146.831
1,SARSA,29,0,27,160.3,mastery,27.867,147.28
1,SARSA,30,0,40,144.0,timeout,28.258,147.174
1,SARSA,31,0,40,193.0,timeout,28.625,148.606
1,SARSA,32,0,40,156.0,timeout,28.97,148.83
1,SARSA,33,0,40,172.0,timeout,29.294,149.512
1,SARSA,34,0,40,165.0,timeout,29.6,149.954
1,SARSA,35,0,40,111.0,timeout,29.889,148.872
1,SARSA,36,0,40,197.0,timeout,30.162,150.173
1,SARSA,37,0,6,35.4,mastery,29.526,147.153
1,SARSA,38,0,40,151.0,timeout,29.795,147.251
1,SARSA,39,0,39,193.1,mastery,30.025,148.398
1,SARSA,40,0,40,165.0,timeout,30.268,148.802
1,SARSA,41,0,40,144.0,timeout,30.5,148.688
1,SARSA,42,0,7,52.3,mastery,29.953,146.447
1,SARSA,43,0,14,79.6,mastery,29.591,144.927
1,SARSA,44,0,40,108.0,timeout,29.822,144.107
1,SARSA,45,0,40,146.0,timeout,30.043,144.148
1,SARSA,46,0,40,179.0,timeout,30.255,144.889
1,SARSA,47,0,40,179.0,timeout,30.458,145.6
1,SARSA,48,0,40,193.0,timeout,30.653,146.567
1,SARSA,49,1,40,186.0,timeout,30.84,147.356
2,Random,0,0,11,24.9,mastery,11.0,24.9
2,Random,1,0,11,49.9,mastery,11.0,37.4
2,Random,2,0,9,41.1,mastery,10.333,38.633
2,Random,3,0,7,31.3,mastery,9.5,36.8
2,Random,4,0,32,23.8,mastery,14.0,34.2
2,Random,5,0,19,68.1,mastery,14.833,39.85
2,Random,6,0,26,35.4,mastery,16.429,39.214
2,Random,7,0,8,29.2,mastery,15.375,37.962
2,Random,8,0,11,55.9,mastery,14.889,39.956
2,Random,9,0,5,42.5,mastery,13.9,40.21
2,Random,10,0,13,54.7,mastery,13.818,41.527
2,Random,11,0,33,51.7,mastery,15.417,42.375
2,Random,12,0,6,24.4,mastery,14.692,40.992
2,Random,13,0,38,53.2,mastery,16.357,41.864
2,Random,14,0,8,60.2,mastery,15.8,43.087
2,Random,15,0,12,85.8,mastery,15.562,45.756
2,Random,16,0,20,44.0,mastery,15.824,45.653
2,Random,17,0,6,31.4,mastery,15.278,44.861
2,Random,18,0,13,66.7,mastery,15.158,46.011
2,Random,19,0,40,102.0,timeout,16.4,48.81
2,Random,20,0,40,15.0,mastery,17.524,47.2
2,Random,21,0,40,135.0,timeout,18.545,51.191
2,Random,22,0,22,53.8,mastery,18.696,51.304
2,Random,23,0,11,75.9,mastery,18.375,52.329
2,Random,24,0,20,51.0,mastery,18.44,52.276
