tag,seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
b,0,Random,0,0,24,58.4,mastery,24.0,58.4
b,0,Random,1,0,18,64.3,mastery,21.0,61.35
b,0,Random,2,0,23,131.55,mastery,21.667,84.75
b,0,Random,3,0,10,69.5,mastery,18.75,80.937
b,0,Random,4,0,13,114.05,mastery,17.6,87.56
b,0,Random,5,0,18,64.3,mastery,17.667,83.683
b,0,Random,6,0,8,64.8,mastery,16.286,80.986
b,0,Random,7,0,13,71.05,mastery,15.875,79.744
b,0,Random,8,0,12,63.2,mastery,15.444,77.906
b,0,Random,9,0,5,49.25,mastery,14.4,75.04
b,0,Random,10,0,19,60.15,mastery,14.818,73.686
b,0,Random,11,0,23,78.55,mastery,15.5,74.092
b,0,Random,12,0,11,87.35,mastery,15.154,75.112
b,0,Random,13,0,12,87.2,mastery,14.929,75.975
b,0,Random,14,0,6,50.1,mastery,14.333,74.25
b,0,Random,15,0,26,77.1,mastery,15.062,74.428
b,0,Random,16,0,25,33.25,mastery,15.647,72.006
b,0,Random,17,0,16,163.6,mastery,15.667,77.094
b,0,Random,18,0,4,66.4,mastery,15.053,76.532
b,0,Random,19,0,7,78.95,mastery,14.65,76.653
b,0,Random,20,0,12,46.2,mastery,14.524,75.202
b,0,Random,21,0,7,90.95,mastery,14.182,75.918
b,0,Random,22,0,12,104.2,mastery,14.087,77.148
b,0,Random,23,0,8,66.8,mastery,13.833,76.717
b,0,Random,24,0,23,202.55,mastery,14.2,81.75
b,0,Random,25,0,35,144.75,timeout,15.0,84.173
b,0,Random,26,0,6,57.1,mastery,14.667,83.17
b,0,Random,27,0,13,68.05,mastery,14.607,82.63
b,0,Random,28,0,23,88.55,mastery,14.897,82.834
b,0,Random,29,0,12,70.2,mastery,14.8,82.413
b,0,Random,30,0,5,49.25,mastery,14.484,81.344
b,0,Random,31,0,35,127.75,timeout,15.125,82.794
b,0,Random,32,0,16,93.6,mastery,15.152,83.121
b,0,Random,33,0,13,133.05,mastery,15.088,84.59
b,0,Random,34,0,7,78.95,mastery,14.857,84.429
b,0,Random,35,0,7,73.95,mastery,14.639,84.137
b,0,Random,36,0,7,54.95,mastery,14.432,83.349
b,0,Random,37,0,35,170.75,timeout,14.974,85.649
b,0,Random,38,0,34,87.9,mastery,15.462,85.706
b,0,Random,39,0,7,61.95,mastery,15.25,85.112
b,0,Random,40,0,12,56.2,mastery,15.171,84.407
b,0,Random,41,0,7,71.95,mastery,14.976,84.111
b,0,Random,42,0,12,99.2,mastery,14.907,84.462
b,0,Random,43,0,17,132.45,mastery,14.955,85.552
b,0,Random,44,0,12,49.2,mastery,14.889,84.744
b,0,Random,45,0,7,68.95,mastery,14.717,84.401
b,0,Random,46,0,7,66.95,mastery,14.553,84.03
b,0,Random,47,0,17,131.45,mastery,14.604,85.018
b,0,Random,48,0,35,6.75,timeout,15.02,83.42
b,0,Random,49,1,35,98.75,timeout,15.42,83.727
b,0,SARSA,0,0,18,45.3,mastery,18.0,45.3
b,0,SARSA,1,0,7,39.95,mastery,12.5,42.625
b,0,SARSA,2,0,5,59.25,mastery,10.0,48.167
b,0,SARSA,3,0,17,134.45,mastery,11.75,69.737
b,0,SARSA,4,0,35,9.75,timeout,16.4,57.74
b,0,SARSA,5,0,7,54.95,mastery,14.833,57.275
b,0,SARSA,6,0,10,67.5,mastery,14.143,58.736
b,0,SARSA,7,0,22,78.7,mastery,15.125,61.231
b,0,SARSA,8,0,6,57.1,mastery,14.111,60.772
b,0,SARSA,9,0,6,62.1,mastery,13.3,60.905
b,0,SARSA,10,0,10,83.5,mastery,13.0,62.959
