tag,seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
b,1,Random,18,0,16,89.8,mastery,17.211,81.874
b,1,Random,19,0,8,71.4,mastery,16.75,81.35
b,1,Random,20,0,20,69.0,mastery,16.905,80.762
b,1,Random,21,0,11,52.8,mastery,16.636,79.491
b,1,Random,22,0,13,82.4,mastery,16.478,79.617
b,1,Random,23,0,25,163.0,mastery,16.833,83.092
b,1,Random,24,0,12,76.6,mastery,16.64,82.832
b,1,Random,25,0,16,83.8,mastery,16.615,82.869
b,1,Random,26,0,28,57.4,mastery,17.037,81.926
b,1,Random,27,0,5,85.0,mastery,16.607,82.036
b,1,Random,28,0,9,100.2,mastery,16.345,82.662
b,1,Random,29,0,20,66.0,mastery,16.467,82.107
b,1,Random,30,0,19,157.2,mastery,16.548,84.529
b,1,Random,31,0,11,65.8,mastery,16.375,83.944
b,1,Random,32,0,19,72.2,mastery,16.455,83.588
b,1,Random,33,0,9,100.2,mastery,16.235,84.076
b,1,Random,34,0,7,80.6,mastery,15.971,83.977
b,1,Random,35,0,16,62.8,mastery,15.972,83.389
b,1,Random,36,0,7,73.6,mastery,15.73,83.124
b,1,Random,37,0,30,22.0,timeout,16.105,81.516
b,1,Random,38,0,10,74.0,mastery,15.949,81.323
b,1,Random,39,0,17,130.6,mastery,15.975,82.555
b,1,Random,40,0,14,72.2,mastery,15.927,82.302
b,1,Random,41,0,22,141.6,mastery,16.071,83.714
b,1,Random,42,0,30,132.0,timeout,16.395,84.837
b,1,Random,43,0,13,115.4,mastery,16.318,85.532
b,1,Random,44,0,26,51.8,mastery,16.533,84.782
b,1,Random,45,0,27,77.6,mastery,16.761,84.626
b,1,Random,46,0,29,121.2,mastery,17.021,85.404
b,1,Random,47,0,12,129.6,mastery,16.917,86.325
b,1,Random,48,0,25,52.0,mastery,17.082,85.624
b,1,Random,49,1,23,66.4,mastery,17.2,85.24
b,1,SARSA,0,0,4,75.2,mastery,4.0,75.2
b,1,SARSA,1,0,8,66.4,mastery,6.0,70.8
b,1,SARSA,2,0,8,66.4,mastery,6.667,69.333
b,1,SARSA,3,0,4,75.2,mastery,6.0,70.8
b,1,SARSA,4,0,5,73.0,mastery,5.8,71.24
b,1,SARSA,5,0,18,88.4,mastery,7.833,74.1
b,1,SARSA,6,0,8,66.4,mastery,7.857,73.0
b,1,SARSA,7,0,8,66.4,mastery,7.875,72.175
b,1,SARSA,8,0,9,75.2,mastery,8.0,72.511
b,1,SARSA,9,0,6,70.8,mastery,7.8,72.34
b,1,SARSA,10,0,26,59.8,mastery,9.455,71.2
b,1,SARSA,11,0,4,75.2,mastery,9.0,71.533
b,1,SARSA,12,0,6,84.8,mastery,8.769,72.554
b,1,SARSA,13,0,6,70.8,mastery,8.571,72.429
b,1,SARSA,14,0,12,64.6,mastery,8.8,71.907
b,1,SARSA,15,0,12,68.6,mastery,9.0,71.7
b,1,SARSA,16,0,4,75.2,mastery,8.706,71.906
b,1,SARSA,17,0,9,71.2,mastery,8.722,71.867
b,1,SARSA,18,0,6,74.8,mastery,8.579,72.021
b,1,SARSA,19,0,8,66.4,mastery,8.55,71.74
b,1,SARSA,20,0,7,68.6,mastery,8.476,71.59
b,1,SARSA,21,0,8,73.4,mastery,8.455,71.673
b,1,SARSA,22,0,6,70.8,mastery,8.348,71.635
b,1,SARSA,23,0,7,68.6,mastery,8.292,71.508
b,1,SARSA,24,0,7,68.6,mastery,8.24,71.392
b,1,SARSA,25,0,11,73.8,mastery,8.346,71.485
b,1,SARSA,26,0,7,75.6,mastery,8.296,71.637
b,1,SARSA,27,0,9,78.2,mastery,8.321,71.871
b,1,SARSA,28,0,7,68.6,mastery,8.276,71.759
b,1,SARSA,29,0,7,68.6,mastery,8.233,71.653
b,1,SARSA,30,0,16,59.8,mastery,8.484,71.271
b,1,SARSA,31,0,5,73.0,mastery,8.375,71.325
b,1,SARSA,32,0,5,73.0,mastery,8.273,71.376
b,1,SARSA,33,0,10,62.0,mastery,8.324,71.1
b,1,SARSA,34,0,4,75.2,mastery,8.2,71.217
b,1,SARSA,35,0,9,71.2,mastery,8.222,71.217
b,1,SARSA,36,0,10,71.0,mastery,8.27,71.211
b,1,SARSA,37,0,6,72.8,mastery,8.211,71.253
b,1,SARSA,38,0,7,68.6,mastery,8.179,71.185
b,1,SARSA,39,0,8,73.4,mastery,8.175,71.24
b,1,SARSA,40,0,6,70.8,mastery,8.122,71.229
b,1,SARSA,41,0,7,68.6,mastery,8.095,71.167
b,1,SARSA,42,0,4,75.2,mastery,8.0,71.26
b,1,SARSA,43,0,6,77.8,mastery,7.955,71.409
b,1,SARSA,44,0,6,70.8,mastery,7.911,71.396
b,1,SARSA,45,0,16,80.8,mastery,8.087,71.6
b,1,SARSA,46,0,4,75.2,mastery,8.0,71.677
b,1,SARSA,47,0,5,73.0,mastery,7.938,71.704
b,1,SARSA,48,0,5,73.0,mastery,7.878,71.731
b,1,SARSA,49,1,4,75.2,mastery,7.8,71.8
b,2,Random,0,0,30,-3.0,timeout,30.0,-3.0
b,2,Random,1,0,5,71.0,mastery,17.5,34.0
b,2,Random,2,0,9,88.2,mastery,14.667,52.067
b,2,Random,3,0,17,88.6,mastery,15.25,61.2
b,2,Random,4,0,7,68.6,mastery,13.6,62.68
b,2,Random,5,0,6,70.8,mastery,12.333,64.033
b,2,Random,6,0,8,78.4,mastery,11.714,66.086
b,2,Random,7,0,15,58.0,mastery,12.125,65.075
b,2,Random,8,0,25,50.0,mastery,13.556,63.4
b,2,Random,9,0,14,117.2,mastery,13.6,68.78
b,2,Random,10,0,13,60.4,mastery,13.545,68.018
b,2,Random,11,0,30,105.0,timeout,14.917,71.1
b,2,Random,12,0,10,81.0,mastery,14.538,71.862
b,2,Random,13,0,28,163.4,mastery,15.5,78.4
b,2,Random,14,0,30,41.0,timeout,16.467,75.907
b,2,Random,15,0,8,95.4,mastery,15.938,77.125
b,2,Random,16,0,28,120.4,mastery,16.647,79.671
b,2,Random,17,0,6,68.8,mastery,16.056,79.067
b,2,Random,18,0,14,142.2,mastery,15.947,82.389
b,2,Random,19,0,30,-22.0,timeout,16.65,77.17
b,2,Random,20,0,12,85.6,mastery,16.429,77.571
b,2,Random,21,0,6,70.8,mastery,15.955,77.264
b,2,Random,22,0,30,98.0,timeout,16.565,78.165
b,2,Random,23,0,12,88.6,mastery,16.375,78.6
b,2,Random,24,0,9,71.2,mastery,16.08,78.304
b,2,Random,25,0,30,3.0,timeout,16.615,75.408
b,2,Random,26,0,11,102.8,mastery,16.407,76.422
b,2,Random,27,0,13,51.4,mastery,16.286,75.529
b,2,Random,28,0,30,38.0,timeout,16.759,74.234
b,2,Random,29,0,6,59.8,mastery,16.4,73.753
b,2,Random,30,0,28,226.4,mastery,16.774,78.677
b,2,Random,31,0,8,66.4,mastery,16.5,78.294
b,2,Random,32,0,24,201.2,mastery,16.727,82.018
b,2,Random,33,0,19,79.2,mastery,16.794,81.935
b,2,Random,34,0,30,106.0,timeout,17.171,82.623
b,2,Random,35,0,30,-15.0,timeout,17.528,79.911
b,2,Random,36,0,21,60.8,mastery,17.622,79.395
b,2,Random,37,0,5,66.0,mastery,17.289,79.042
b,2,Random,38,0,8,78.4,mastery,17.051,79.026
b,2,Random,39,0,6,59.8,mastery,16.775,78.545
b,2,Random,40,0,6,75.8,mastery,16.512,78.478
b,2,Random,41,0,16,103.8,mastery,16.5,79.081
b,2,Random,42,0,18,96.4,mastery,16.535,79.484
b,2,Random,43,0,9,112.2,mastery,16.364,80.227
b,2,Random,44,0,12,57.6,mastery,16.267,79.724
b,2,Random,45,0,12,74.6,mastery,16.174,79.613
b,2,Random,46,0,4,75.2,mastery,15.915,79.519
b,2,Random,47,0,22,63.6,mastery,16.042,79.188
b,2,Random,48,0,9,81.2,mastery,15.898,79.229
b,2,Random,49,1,8,83.4,mastery,15.74,79.312
b,2,SARSA,0,0,6,70.8,mastery,6.0,70.8
b,2,SARSA,1,0,6,70.8,mastery,6.0,70.8
b,2,SARSA,2,0,8,66.4,mastery,6.667,69.333
b,2,SARSA,3,0,30,78.0,timeout,12.5,71.5
b,2,SARSA,4,0,30,124.0,timeout,16.0,82.0
b,2,SARSA,5,0,30,119.0,timeout,18.333,88.167
b,2,SARSA,6,0,30,138.0,timeout,20.0,95.286
b,2,SARSA,7,0,30,116.0,timeout,21.25,97.875
b,2,SARSA,8,0,30,130.0,timeout,22.222,101.444
b,2,SARSA,9,0,30,137.0,timeout,23.0,105.0
b,2,SARSA,10,0,30,137.0,timeout,23.636,107.909
b,2,SARSA,11,0,30,130.0,timeout,24.167,109.75
b,2,SARSA,12,0,30,135.0,timeout,24.615,111.692
b,2,SARSA,13,0,30,116.0,timeout,25.0,112.0
b,2,SARSA,14,0,5,78.0,mastery,23.667,109.733
b,2,SARSA,15,0,10,91.0,mastery,22.812,108.562
b,2,SARSA,16,0,13,84.4,mastery,22.235,107.141
b,2,SARSA,17,0,10,79.0,mastery,21.556,105.578
b,2,SARSA,18,0,30,123.0,timeout,22.0,106.495
b,2,SARSA,19,0,22,155.6,mastery,22.0,108.95
b,2,SARSA,20,0,30,130.0,timeout,22.381,109.952
b,2,SARSA,21,0,30,115.0,timeout,22.727,110.182
b,2,SARSA,22,0,30,123.0,timeout,23.043,110.739
b,2,SARSA,23,0,30,137.0,timeout,23.333,111.833
b,2,SARSA,24,0,30,132.0,timeout,23.6,112.64
b,2,SARSA,25,0,30,137.0,timeout,23.846,113.577
b,2,SARSA,26,0,30,137.0,timeout,24.074,114.444
b,2,SARSA,27,0,30,130.0,timeout,24.286,115.0
b,2,SARSA,28,0,6,70.8,mastery,23.655,113.476
b,2,SARSA,29,0,9,83.2,mastery,23.167,112.467
b,2,SARSA,30,0,8,66.4,mastery,22.677,110.981
b,2,SARSA,31,0,9,78.2,mastery,22.25,109.956
b,2,SARSA,32,0,13,66.4,mastery,21.97,108.636
b,2,SARSA,33,0,7,68.6,mastery,21.529,107.459
b,2,SARSA,34,0,4,75.2,mastery,21.029,106.537
b,2,SARSA,35,0,5,73.0,mastery,20.583,105.606
b,2,SARSA,36,0,9,64.2,mastery,20.27,104.486
b,2,SARSA,37,0,7,70.6,mastery,19.921,103.595
b,2,SARSA,38,0,7,68.6,mastery,19.59,102.697
b,2,SARSA,39,0,6,70.8,mastery,19.25,101.9
b,2,SARSA,40,0,6,70.8,mastery,18.927,101.141
b,2,SARSA,41,0,21,52.8,mastery,18.976,99.99
b,2,SARSA,42,0,25,66.0,mastery,19.116,99.2
b,2,SARSA,43,0,6,70.8,mastery,18.818,98.555
b,2,SARSA,44,0,6,70.8,mastery,18.533,97.938
b,2,SARSA,45,0,30,91.0,timeout,18.783,97.787
b,2,SARSA,46,0,30,58.0,timeout,19.021,96.94
b,2,SARSA,47,0,30,53.0,timeout,19.25,96.025
b,2,SARSA,48,0,30,137.0,timeout,19.469,96.861
b,2,SARSA,49,1,30,137.0,timeout,19.68,97.664
b,3,Random,0,0,7,104.6,mastery,7.0,104.6
b,3,Random,1,0,15,70.0,mastery,11.0,87.3
b,3,Random,2,0,11,84.8,mastery,11.0,86.467
b,3,Random,3,0,6,59.8,mastery,9.75,79.8
b,3,Random,4,0,26,85.8,mastery,13.0,81.0
b,3,Random,5,0,10,110.0,mastery,12.5,85.833
b,3,Random,6,0,3,59.4,mastery,11.143,82.057
b,3,Random,7,0,17,124.6,mastery,11.875,87.375
b,3,Random,8,0,10,93.0,mastery,11.667,88.0
b,3,Random,9,0,13,70.4,mastery,11.8,86.24
b,3,Random,10,0,11,102.8,mastery,11.727,87.745
b,3,Random,11,0,8,78.4,mastery,11.417,86.967
b,3,Random,12,0,5,78.0,mastery,10.923,86.277
b,3,Random,13,0,6,77.8,mastery,10.571,85.671
b,3,Random,14,0,21,193.8,mastery,11.267,92.88
b,3,Random,15,0,11,85.8,mastery,11.25,92.437
b,3,Random,16,0,25,73.0,mastery,12.059,91.294
b,3,Random,17,0,13,83.4,mastery,12.111,90.856
b,3,Random,18,0,9,64.2,mastery,11.947,89.453
b,3,Random,19,0,21,96.8,mastery,12.4,89.82
b,3,Random,20,0,9,95.2,mastery,12.238,90.076
b,3,Random,21,0,10,76.0,mastery,12.136,89.436
b,3,Random,22,0,11,114.8,mastery,12.087,90.539
b,3,Random,23,0,4,57.2,mastery,11.75,89.15
b,3,Random,24,0,19,57.2,mastery,12.04,87.872
b,3,Random,25,0,6,82.8,mastery,11.808,87.677
b,3,Random,26,0,19,68.2,mastery,12.074,86.956
b,3,Random,27,0,19,49.2,mastery,12.321,85.607
b,3,Random,28,0,17,77.6,mastery,12.483,85.331
b,3,Random,29,0,20,87.0,mastery,12.733,85.387
b,3,Random,30,0,15,86.0,mastery,12.806,85.406
b,3,Random,31,0,8,66.4,mastery,12.656,84.812
b,3,Random,32,0,15,110.0,mastery,12.727,85.576
b,3,Random,33,0,5,86.0,mastery,12.5,85.588
b,3,Random,34,0,30,130.0,timeout,13.0,86.857
b,3,Random,35,0,25,59.0,mastery,13.333,86.083
b,3,Random,36,0,19,61.2,mastery,13.486,85.411
b,3,Random,37,0,11,66.8,mastery,13.421,84.921
b,3,Random,38,0,30,-17.0,timeout,13.846,82.308
b,3,Random,39,0,17,106.6,mastery,13.925,82.915
b,3,Random,40,0,20,89.0,mastery,14.073,83.063
b,3,Random,41,0,10,115.0,mastery,13.976,83.824
b,3,Random,42,0,30,10.0,timeout,14.349,82.107
b,3,Random,43,0,20,92.0,mastery,14.477,82.332
b,3,Random,44,0,5,74.0,mastery,14.267,82.147
b,3,Random,45,0,12,73.6,mastery,14.217,81.961
b,3,Random,46,0,15,102.0,mastery,14.234,82.387
b,3,Random,47,0,13,107.4,mastery,14.208,82.908
b,3,Random,48,0,23,47.4,mastery,14.388,82.184
b,3,Random,49,1,19,99.2,mastery,14.48,82.524
b,3,SARSA,0,0,30,130.0,timeout,30.0,130.0
b,3,SARSA,1,0,30,137.0,timeout,30.0,133.5
b,3,SARSA,2,0,30,137.0,timeout,30.0,134.667
b,3,SARSA,3,0,30,142.0,timeout,30.0,136.5
b,3,SARSA,4,0,30,114.0,timeout,30.0,132.0
b,3,SARSA,5,0,30,137.0,timeout,30.0,132.833
b,3,SARSA,6,0,30,137.0,timeout,30.0,133.429
b,3,SARSA,7,0,30,137.0,timeout,30.0,133.875
b,3,SARSA,8,0,30,137.0,timeout,30.0,134.222
b,3,SARSA,9,0,30,137.0,timeout,30.0,134.5
b,3,SARSA,10,0,30,137.0,timeout,30.0,134.727
b,3,SARSA,11,0,30,137.0,timeout,30.0,134.917
b,3,SARSA,12,0,30,135.0,timeout,30.0,134.923
b,3,SARSA,13,0,30,86.0,timeout,30.0,131.429
b,3,SARSA,14,0,13,81.4,mastery,28.867,128.093
b,3,SARSA,15,0,10,76.0,mastery,27.688,124.838
b,3,SARSA,16,0,6,70.8,mastery,26.412,121.659
b,3,SARSA,17,0,6,74.8,mastery,25.278,119.056
b,3,SARSA,18,0,12,68.6,mastery,24.579,116.4
b,3,SARSA,19,0,9,80.2,mastery,23.8,114.59
b,3,SARSA,20,0,11,80.8,mastery,23.19,112.981
b,3,SARSA,21,0,10,73.0,mastery,22.591,111.164
b,3,SARSA,22,0,5,80.0,mastery,21.826,109.809
b,3,SARSA,23,0,9,75.2,mastery,21.292,108.367
b,3,SARSA,24,0,5,73.0,mastery,20.64,106.952
b,3,SARSA,25,0,6,70.8,mastery,20.077,105.562
b,3,SARSA,26,0,8,73.4,mastery,19.63,104.37
b,3,SARSA,27,0,5,73.0,mastery,19.107,103.25
b,3,SARSA,28,0,7,75.6,mastery,18.69,102.297
b,3,SARSA,29,0,7,72.6,mastery,18.3,101.307
b,3,SARSA,30,0,9,75.2,mastery,18.0,100.465
b,3,SARSA,31,0,5,73.0,mastery,17.594,99.606
b,3,SARSA,32,0,30,58.0,timeout,17.97,98.345
b,3,SARSA,33,0,5,73.0,mastery,17.588,97.6
b,3,SARSA,34,0,7,77.6,mastery,17.286,97.029
b,3,SARSA,35,0,30,95.0,timeout,17.639,96.972
b,3,SARSA,36,0,4,75.2,mastery,17.27,96.384
b,3,SARSA,37,0,12,75.6,mastery,17.132,95.837
b,3,SARSA,38,0,9,71.2,mastery,16.923,95.205
b,3,SARSA,39,0,4,75.2,mastery,16.6,94.705
b,3,SARSA,40,0,5,75.0,mastery,16.317,94.224
b,3,SARSA,41,0,10,73.0,mastery,16.167,93.719
b,3,SARSA,42,0,8,66.4,mastery,15.977,93.084
b,3,SARSA,43,0,5,73.0,mastery,15.727,92.627
b,3,SARSA,44,0,7,68.6,mastery,15.533,92.093
b,3,SARSA,45,0,8,73.4,mastery,15.37,91.687
b,3,SARSA,46,0,7,75.6,mastery,15.191,91.345
b,3,SARSA,47,0,5,73.0,mastery,14.979,90.962
b,3,SARSA,48,0,4,75.2,mastery,14.755,90.641
b,3,SARSA,49,1,6,70.8,mastery,14.58,90.244
b,4,Random,0,0,8,59.4,mastery,8.0,59.4
b,4,Random,1,0,4,57.2,mastery,6.0,58.3
b,4,Random,2,0,10,74.0,mastery,7.333,63.533
b,4,Random,3,0,4,75.2,mastery,6.5,66.45
b,4,Random,4,0,12,70.6,mastery,7.6,67.28
