seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
0,Random,0,0,24,41.2,mastery,24.0,41.2
0,Random,1,0,18,47.4,mastery,21.0,44.3
0,Random,2,0,23,116.4,mastery,21.667,68.333
0,Random,3,0,10,53.0,mastery,18.75,64.5
0,Random,4,0,13,97.4,mastery,17.6,71.08
0,Random,5,0,18,47.4,mastery,17.667,67.133
0,Random,6,0,8,48.4,mastery,16.286,64.457
0,Random,7,0,13,54.4,mastery,15.875,63.2
0,Random,8,0,12,46.6,mastery,15.444,61.356
0,Random,9,0,5,32.0,mastery,14.4,58.42
0,Random,10,0,19,43.2,mastery,14.818,57.036
0,Random,11,0,23,63.4,mastery,15.5,57.567
0,Random,12,0,11,70.8,mastery,15.154,58.585
0,Random,13,0,12,70.6,mastery,14.929,59.443
0,Random,14,0,6,33.8,mastery,14.333,57.733
0,Random,15,0,26,61.8,mastery,15.062,57.987
0,Random,16,0,25,17.0,mastery,15.647,55.576
0,Random,17,0,16,147.8,mastery,15.667,60.7
0,Random,18,0,4,50.2,mastery,15.053,60.147
0,Random,19,0,7,62.6,mastery,14.65,60.27
0,Random,20,0,12,28.6,mastery,14.524,58.762
0,Random,21,0,7,74.6,mastery,14.182,59.482
0,Random,22,0,12,87.6,mastery,14.087,60.704
0,Random,23,0,8,49.4,mastery,13.833,60.233
0,Random,24,0,23,188.4,mastery,14.2,65.36
0,Random,25,0,40,183.0,timeout,15.192,69.885
0,Random,26,0,12,41.6,mastery,15.074,68.837
0,Random,27,0,10,32.0,mastery,14.893,67.521
0,Random,28,0,8,72.4,mastery,14.655,67.69
0,Random,29,0,22,45.6,mastery,14.9,66.953
0,Random,30,0,12,77.6,mastery,14.806,67.297
0,Random,31,0,9,77.2,mastery,14.625,67.606
0,Random,32,0,20,87.0,mastery,14.788,68.194
0,Random,33,0,22,75.6,mastery,15.0,68.412
0,Random,34,0,4,45.2,mastery,14.686,67.749
0,Random,35,0,16,111.8,mastery,14.722,68.972
0,Random,36,0,7,45.6,mastery,14.514,68.341
0,Random,37,0,11,62.8,mastery,14.421,68.195
0,Random,38,0,40,226.0,timeout,15.077,72.241
0,Random,39,0,12,77.6,mastery,15.0,72.375
0,Random,40,0,40,1.0,timeout,15.61,70.634
0,Random,41,0,12,108.6,mastery,15.524,71.538
0,Random,42,0,8,84.4,mastery,15.349,71.837
0,Random,43,0,26,170.8,mastery,15.591,74.086
0,Random,44,0,14,132.2,mastery,15.556,75.378
0,Random,45,0,21,170.8,mastery,15.674,77.452
0,Random,46,0,7,38.6,mastery,15.489,76.626
0,Random,47,0,23,80.4,mastery,15.646,76.704
0,Random,48,0,25,46.0,mastery,15.837,76.078
0,Random,49,1,9,46.2,mastery,15.7,75.48
0,SARSA,0,0,18,28.4,mastery,18.0,28.4
0,SARSA,1,0,8,43.4,mastery,13.0,35.9
0,SARSA,2,0,7,45.6,mastery,11.0,39.133
0,SARSA,3,0,14,95.2,mastery,11.75,53.15
0,SARSA,4,0,28,90.4,mastery,15.0,60.6
0,SARSA,5,0,13,66.4,mastery,14.667,61.567
0,SARSA,6,0,15,88.0,mastery,14.714,65.343
0,SARSA,7,0,11,58.8,mastery,14.25,64.525
0,SARSA,8,0,17,116.6,mastery,14.556,70.311
0,SARSA,9,0,5,45.0,mastery,13.6,67.78
0,SARSA,10,0,6,40.8,mastery,12.909,65.327
0,SARSA,11,0,7,55.6,mastery,12.417,64.517
0,SARSA,12,0,5,36.0,mastery,11.846,62.323
0,SARSA,13,0,17,28.6,mastery,12.214,59.914
0,SARSA,14,0,7,31.6,mastery,11.867,58.027
0,SARSA,15,0,5,48.0,mastery,11.438,57.4
0,SARSA,16,0,7,38.6,mastery,11.176,56.294
0,SARSA,17,0,18,19.4,mastery,11.556,54.244
0,SARSA,18,0,40,163.0,timeout,13.053,59.968
0,SARSA,19,0,29,135.2,mastery,13.85,63.73
0,SARSA,20,0,28,123.4,mastery,14.524,66.571
0,SARSA,21,0,40,151.0,timeout,15.682,70.409
0,SARSA,22,0,12,74.6,mastery,15.522,70.591
0,SARSA,23,0,40,119.0,timeout,16.542,72.608
0,SARSA,24,0,40,132.0,timeout,17.48,74.984
0,SARSA,25,0,5,43.0,mastery,17.0,73.754
0,SARSA,26,0,7,38.6,mastery,16.63,72.452
0,SARSA,27,0,37,167.6,mastery,17.357,75.85
0,SARSA,28,0,5,45.0,mastery,16.931,74.786
0,SARSA,29,0,40,165.0,timeout,17.7,77.793
0,SARSA,30,0,40,153.0,timeout,18.419,80.219
0,SARSA,31,0,7,49.6,mastery,18.062,79.262
