seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
0,Random,0,0,24,71.2,mastery,24.0,71.2
0,Random,1,0,18,77.4,mastery,21.0,74.3
0,Random,2,0,23,146.4,mastery,21.667,98.333
0,Random,3,0,10,83.0,mastery,18.75,94.5
0,Random,4,0,13,127.4,mastery,17.6,101.08
0,Random,5,0,18,77.4,mastery,17.667,97.133
0,Random,6,0,8,78.4,mastery,16.286,94.457
0,Random,7,0,13,84.4,mastery,15.875,93.2
0,Random,8,0,12,76.6,mastery,15.444,91.356
0,Random,9,0,5,62.0,mastery,14.4,88.42
0,Random,10,0,19,73.2,mastery,14.818,87.036
0,Random,11,0,23,93.4,mastery,15.5,87.567
0,Random,12,0,11,100.8,mastery,15.154,88.585
0,Random,13,0,12,100.6,mastery,14.929,89.443
0,Random,14,0,6,63.8,mastery,14.333,87.733
0,Random,15,0,26,91.8,mastery,15.062,87.987
0,Random,16,0,25,47.0,mastery,15.647,85.576
0,Random,17,0,16,177.8,mastery,15.667,90.7
0,Random,18,0,4,80.2,mastery,15.053,90.147
0,Random,19,0,7,92.6,mastery,14.65,90.27
0,Random,20,0,12,58.6,mastery,14.524,88.762
0,Random,21,0,7,104.6,mastery,14.182,89.482
0,Random,22,0,12,117.6,mastery,14.087,90.704
0,Random,23,0,8,79.4,mastery,13.833,90.233
0,Random,24,0,23,218.4,mastery,14.2,95.36
0,Random,25,0,30,108.0,timeout,14.808,95.846
0,Random,26,0,11,61.8,mastery,14.667,94.585
0,Random,27,0,13,81.4,mastery,14.607,94.114
0,Random,28,0,23,103.4,mastery,14.897,94.434
0,Random,29,0,12,83.6,mastery,14.8,94.073
0,Random,30,0,5,62.0,mastery,14.484,93.039
0,Random,31,0,30,102.0,timeout,14.969,93.319
0,Random,32,0,30,6.0,timeout,15.424,90.673
0,Random,33,0,14,67.2,mastery,15.382,89.982
0,Random,34,0,12,146.6,mastery,15.286,91.6
0,Random,35,0,4,64.2,mastery,14.972,90.839
0,Random,36,0,30,192.0,timeout,15.378,93.573
0,Random,37,0,14,58.2,mastery,15.342,92.642
0,Random,38,0,7,73.6,mastery,15.128,92.154
0,Random,39,0,12,114.6,mastery,15.05,92.715
0,Random,40,0,6,72.8,mastery,14.829,92.229
0,Random,41,0,18,56.4,mastery,14.905,91.376
0,Random,42,0,6,87.8,mastery,14.698,91.293
0,Random,43,0,30,144.0,timeout,15.045,92.491
0,Random,44,0,14,70.2,mastery,15.022,91.996
0,Random,45,0,6,63.8,mastery,14.826,91.383
0,Random,46,0,20,125.0,mastery,14.936,92.098
0,Random,47,0,21,132.8,mastery,15.062,92.946
0,Random,48,0,5,80.0,mastery,14.857,92.682
0,Random,49,1,9,76.2,mastery,14.74,92.352
0,SARSA,0,0,18,58.4,mastery,18.0,58.4
0,SARSA,1,0,20,126.0,mastery,19.0,92.2
0,SARSA,2,0,10,110.0,mastery,16.0,98.133
0,SARSA,3,0,6,94.8,mastery,13.5,97.3
0,SARSA,4,0,12,50.6,mastery,13.2,87.96
0,SARSA,5,0,13,96.4,mastery,13.167,89.367
0,SARSA,6,0,16,108.8,mastery,13.571,92.143
0,SARSA,7,0,16,84.8,mastery,13.875,91.225
0,SARSA,8,0,13,103.4,mastery,13.778,92.578
0,SARSA,9,0,6,63.8,mastery,13.0,89.7
