tag,seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
a,0,SARSA,33,0,6,64.1,mastery,12.324,61.181
a,0,SARSA,34,0,8,59.8,mastery,12.2,61.141
a,0,SARSA,35,0,5,59.25,mastery,12.0,61.089
a,0,SARSA,36,0,4,61.4,mastery,11.784,61.097
a,0,SARSA,37,0,12,54.2,mastery,11.789,60.916
a,0,SARSA,38,0,10,58.5,mastery,11.744,60.854
a,0,SARSA,39,0,5,59.25,mastery,11.575,60.814
a,0,SARSA,40,0,28,135.8,mastery,11.976,62.643
a,0,SARSA,41,0,10,58.5,mastery,11.929,62.544
a,0,SARSA,42,0,6,57.1,mastery,11.791,62.417
a,0,SARSA,43,0,10,55.5,mastery,11.75,62.26
a,0,SARSA,44,0,12,54.2,mastery,11.756,62.081
a,0,SARSA,45,0,4,61.4,mastery,11.587,62.066
a,0,SARSA,46,0,5,59.25,mastery,11.447,62.006
a,0,SARSA,47,0,23,155.55,mastery,11.688,63.955
a,0,SARSA,48,0,9,57.65,mastery,11.633,63.827
a,0,SARSA,49,1,9,62.65,mastery,11.58,63.803
a,1,Random,0,0,13,141.05,mastery,13.0,141.05
a,1,Random,1,0,7,40.95,mastery,10.0,91.0
a,1,Random,2,0,35,-33.25,timeout,18.333,49.583
a,1,Random,3,0,17,64.45,mastery,18.0,53.3
a,1,Random,4,0,21,101.85,mastery,18.6,63.01
a,1,Random,5,0,7,58.95,mastery,16.667,62.333
a,1,Random,6,0,20,49.0,mastery,17.143,60.429
a,1,Random,7,0,24,165.4,mastery,18.0,73.55
a,1,Random,8,0,22,161.7,mastery,18.444,83.344
a,1,Random,9,0,9,55.65,mastery,17.5,80.575
a,1,Random,10,0,11,77.35,mastery,16.909,80.282
a,1,Random,11,0,8,42.8,mastery,16.167,77.158
a,1,Random,12,0,7,54.95,mastery,15.462,75.45
a,1,Random,13,0,26,84.1,mastery,16.214,76.068
a,1,Random,14,0,6,69.1,mastery,15.533,75.603
a,1,Random,15,0,15,56.75,mastery,15.5,74.425
a,1,Random,16,0,15,117.75,mastery,15.471,76.974
a,1,Random,17,0,31,221.35,mastery,16.333,84.994
a,1,Random,18,0,35,70.75,timeout,17.316,84.245
a,1,Random,19,0,23,216.55,mastery,17.6,90.86
a,1,Random,20,0,16,90.6,mastery,17.524,90.848
a,1,Random,21,0,9,57.65,mastery,17.136,89.339
a,1,Random,22,0,35,-19.25,timeout,17.913,84.617
a,1,Random,23,0,20,72.0,mastery,18.0,84.092
a,1,Random,24,0,5,66.25,mastery,17.48,83.378
a,1,Random,25,0,15,75.75,mastery,17.385,83.085
a,1,Random,26,0,17,113.45,mastery,17.37,84.209
a,1,Random,27,0,15,165.75,mastery,17.286,87.121
a,1,Random,28,0,11,126.35,mastery,17.069,88.474
a,1,Random,29,0,10,79.5,mastery,16.833,88.175
a,1,Random,30,0,5,52.25,mastery,16.452,87.016
a,1,Random,31,0,7,44.95,mastery,16.156,85.702
a,1,Random,32,0,22,39.7,mastery,16.333,84.308
a,1,Random,33,0,6,62.1,mastery,16.029,83.654
a,1,Random,34,0,9,98.65,mastery,15.829,84.083
a,1,Random,35,0,6,52.1,mastery,15.556,83.194
a,1,Random,36,0,11,53.35,mastery,15.432,82.388
a,1,Random,37,0,4,51.4,mastery,15.132,81.572
a,1,Random,38,0,27,120.95,mastery,15.436,82.582
a,1,Random,39,0,2,45.7,mastery,15.1,81.66
a,1,Random,40,0,35,73.75,timeout,15.585,81.467
